freight_id,source_port_id,destination_port_id,container_type,freight_cost_usd,transit_days,service_type,currency
105,2,43,20FT,504,9,Multimodal,USD
106,2,43,40FT,840,9,Multimodal,USD
107,2,44,20FT,504,9,Multimodal,USD
108,2,44,40FT,840,9,Multimodal,USD
109,2,49,20FT,2090,19,Direct,USD
110,2,49,40FT,3520,19,Direct,USD
111,2,50,20FT,2090,19,Direct,USD
112,2,50,40FT,3520,19,Direct,USD
113,2,51,20FT,2090,19,Direct,USD
114,2,51,40FT,3520,19,Direct,USD
115,2,52,20FT,2090,19,Direct,USD
116,2,52,40FT,3520,19,Direct,USD
117,2,57,20FT,2700,27,Transshipment,USD
118,2,57,40FT,4400,27,Transshipment,USD
119,2,58,20FT,2700,27,Transshipment,USD
120,2,58,40FT,4400,27,Transshipment,USD
121,2,59,20FT,2800,28,Transshipment,USD
122,2,59,40FT,4600,28,Transshipment,USD
123,2,60,20FT,2800,28,Transshipment,USD
124,2,60,40FT,4600,28,Transshipment,USD
125,2,88,20FT,1008,10,Direct,USD
126,2,88,40FT,1736,10,Direct,USD
127,2,89,20FT,1008,10,Direct,USD
128,2,89,40FT,1736,10,Direct,USD
129,2,90,20FT,2800,28,Transshipment,USD
130,2,90,40FT,4600,28,Transshipment,USD
131,2,91,20FT,2800,28,Transshipment,USD
132,2,91,40FT,4600,28,Transshipment,USD
133,3,5,20FT,855,7,Direct,USD
134,3,5,40FT,1485,7,Direct,USD
135,3,6,20FT,855,7,Direct,USD
136,3,6,40FT,1485,7,Direct,USD
137,3,7,20FT,855,7,Direct,USD
138,3,7,40FT,1485,7,Direct,USD
139,3,8,20FT,855,7,Direct,USD
140,3,8,40FT,1485,7,Direct,USD
141,3,21,20FT,900,9,Direct,USD
142,3,21,40FT,1550,9,Direct,USD
143,3,26,20FT,1150,12,Direct,USD
144,3,26,40FT,1950,12,Direct,USD
145,3,27,20FT,1150,12,Direct,USD
146,3,27,40FT,1950,12,Direct,USD
147,3,28,20FT,1150,12,Direct,USD
148,3,28,40FT,1950,12,Direct,USD
149,3,29,20FT,1150,12,Direct,USD
150,3,29,40FT,1950,12,Direct,USD
151,3,33,20FT,1200,13,Direct,USD
152,3,33,40FT,2000,13,Direct,USD
153,3,34,20FT,1200,13,Direct,USD
154,3,34,40FT,2000,13,Direct,USD
155,3,35,20FT,1200,13,Direct,USD
156,3,35,40FT,2000,13,Direct,USD
157,3,36,20FT,1200,13,Direct,USD
158,3,36,40FT,2000,13,Direct,USD
159,3,37,20FT,434,7,Direct,USD
160,3,37,40FT,744,7,Direct,USD
161,3,38,20FT,434,7,Direct,USD
162,3,38,40FT,744,7,Direct,USD
163,3,39,20FT,434,7,Direct,USD
164,3,39,40FT,744,7,Direct,USD
165,3,40,20FT,420,4,Direct,USD
166,3,40,40FT,700,4,Direct,USD
167,3,41,20FT,420,4,Direct,USD
168,3,41,40FT,700,4,Direct,USD
169,3,42,20FT,420,4,Direct,USD
170,3,42,40FT,700,4,Direct,USD
171,3,43,20FT,450,8,Multimodal,USD
172,3,43,40FT,750,8,Multimodal,USD
173,3,44,20FT,450,8,Multimodal,USD
174,3,44,40FT,750,8,Multimodal,USD
175,3,49,20FT,2185,19,Direct,USD
176,3,49,40FT,3680,19,Direct,USD
177,3,50,20FT,2185,19,Direct,USD
178,3,50,40FT,3680,19,Direct,USD
179,3,51,20FT,2185,19,Direct,USD
180,3,51,40FT,3680,19,Direct,USD
181,3,52,20FT,2185,19,Direct,USD
182,3,52,40FT,3680,19,Direct,USD
183,3,57,20FT,2484,27,Transshipment,USD
184,3,57,40FT,4048,27,Transshipment,USD
185,3,58,20FT,2484,27,Transshipment,USD
186,3,58,40FT,4048,27,Transshipment,USD
187,3,59,20FT,2576,28,Transshipment,USD
188,3,59,40FT,4232,28,Transshipment,USD
189,3,60,20FT,2576,28,Transshipment,USD
190,3,60,40FT,4232,28,Transshipment,USD
191,3,88,20FT,900,9,Direct,USD
192,3,88,40FT,1550,9,Direct,USD
193,3,89,20FT,900,9,Direct,USD
194,3,89,40FT,1550,9,Direct,USD
195,3,90,20FT,2576,28,Transshipment,USD
196,3,90,40FT,4232,28,Transshipment,USD
197,3,91,20FT,2576,28,Transshipment,USD
198,3,91,40FT,4232,28,Transshipment,USD
199,4,5,20FT,836,7,Direct,USD
200,4,5,40FT,1452,7,Direct,USD
201,4,6,20FT,836,7,Direct,USD
202,4,6,40FT,1452,7,Direct,USD
203,4,7,20FT,836,7,Direct,USD
204,4,7,40FT,1452,7,Direct,USD
205,4,8,20FT,836,7,Direct,USD
206,4,8,40FT,1452,7,Direct,USD
207,4,21,20FT,900,9,Direct,USD
208,4,21,40FT,1550,9,Direct,USD
209,4,26,20FT,1150,12,Direct,USD
210,4,26,40FT,1950,12,Direct,USD
211,4,27,20FT,1150,12,Direct,USD
212,4,27,40FT,1950,12,Direct,USD
213,4,28,20FT,1150,12,Direct,USD
214,4,28,40FT,1950,12,Direct,USD
215,4,29,20FT,1150,12,Direct,USD
216,4,29,40FT,1950,12,Direct,USD
217,4,33,20FT,1200,13,Direct,USD
218,4,33,40FT,2000,13,Direct,USD
219,4,34,20FT,1200,13,Direct,USD
220,4,34,40FT,2000,13,Direct,USD
221,4,35,20FT,1200,13,Direct,USD
222,4,35,40FT,2000,13,Direct,USD
223,4,36,20FT,1200,13,Direct,USD
224,4,36,40FT,2000,13,Direct,USD
225,4,37,20FT,427,7,Direct,USD
226,4,37,40FT,732,7,Direct,USD
227,4,38,20FT,427,7,Direct,USD
228,4,38,40FT,732,7,Direct,USD
229,4,39,20FT,427,7,Direct,USD
230,4,39,40FT,732,7,Direct,USD
231,4,40,20FT,420,4,Direct,USD
232,4,40,40FT,700,4,Direct,USD
233,4,41,20FT,420,4,Direct,USD
234,4,41,40FT,700,4,Direct,USD
235,4,42,20FT,420,4,Direct,USD
236,4,42,40FT,700,4,Direct,USD
237,4,43,20FT,450,8,Multimodal,USD
238,4,43,40FT,750,8,Multimodal,USD
239,4,44,20FT,450,8,Multimodal,USD
240,4,44,40FT,750,8,Multimodal,USD
241,4,49,20FT,1900,18,Direct,USD
242,4,49,40FT,3200,18,Direct,USD
243,4,50,20FT,1900,18,Direct,USD
244,4,50,40FT,3200,18,Direct,USD
245,4,51,20FT,1900,18,Direct,USD
246,4,51,40FT,3200,18,Direct,USD
247,4,52,20FT,1900,18,Direct,USD
248,4,52,40FT,3200,18,Direct,USD
249,4,57,20FT,2430,26,Transshipment,USD
250,4,57,40FT,3960,26,Transshipment,USD
251,4,58,20FT,2430,26,Transshipment,USD
252,4,58,40FT,3960,26,Transshipment,USD
253,4,59,20FT,2520,27,Transshipment,USD
254,4,59,40FT,4140,27,Transshipment,USD
255,4,60,20FT,2520,27,Transshipment,USD
256,4,60,40FT,4140,27,Transshipment,USD
257,4,88,20FT,900,9,Direct,USD
258,4,88,40FT,1550,9,Direct,USD
259,4,89,20FT,900,9,Direct,USD
260,4,89,40FT,1550,9,Direct,USD
261,4,90,20FT,2520,27,Transshipment,USD
262,4,90,40FT,4140,27,Transshipment,USD
263,4,91,20FT,2520,27,Transshipment,USD
264,4,91,40FT,4140,27,Transshipment,USD
265,5,5,20FT,950,8,Direct,USD
266,5,5,40FT,1650,8,Direct,USD
267,5,6,20FT,950,8,Direct,USD
268,5,6,40FT,1650,8,Direct,USD
269,5,7,20FT,950,8,Direct,USD
270,5,7,40FT,1650,8,Direct,USD
271,5,8,20FT,950,8,Direct,USD
272,5,8,40FT,1650,8,Direct,USD
273,5,21,20FT,900,9,Direct,USD
274,5,21,40FT,1550,9,Direct,USD
275,5,26,20FT,1150,12,Direct,USD
276,5,26,40FT,1950,12,Direct,USD
277,5,27,20FT,1150,12,Direct,USD
278,5,27,40FT,1950,12,Direct,USD
279,5,28,20FT,1150,12,Direct,USD
280,5,28,40FT,1950,12,Direct,USD
281,5,29,20FT,1150,12,Direct,USD
282,5,29,40FT,1950,12,Direct,USD
283,5,33,20FT,1200,13,Direct,USD
284,5,33,40FT,2000,13,Direct,USD
285,5,34,20FT,1200,13,Direct,USD
286,5,34,40FT,2000,13,Direct,USD
287,5,35,20FT,1200,13,Direct,USD
288,5,35,40FT,2000,13,Direct,USD
289,5,36,20FT,1200,13,Direct,USD
290,5,36,40FT,2000,13,Direct,USD
291,5,37,20FT,350,5,Direct,USD
292,5,37,40FT,600,5,Direct,USD
293,5,38,20FT,350,5,Direct,USD
294,5,38,40FT,600,5,Direct,USD
295,5,39,20FT,350,5,Direct,USD
296,5,39,40FT,600,5,Direct,USD
297,5,40,20FT,420,4,Direct,USD
298,5,40,40FT,700,4,Direct,USD
299,5,41,20FT,420,4,Direct,USD
300,5,41,40FT,700,4,Direct,USD
301,5,42,20FT,420,4,Direct,USD
302,5,42,40FT,700,4,Direct,USD
303,5,43,20FT,450,8,Multimodal,USD
304,5,43,40FT,750,8,Multimodal,USD
305,5,44,20FT,450,8,Multimodal,USD
306,5,44,40FT,750,8,Multimodal,USD
307,5,49,20FT,1900,18,Direct,USD
308,5,49,40FT,3200,18,Direct,USD
309,5,50,20FT,1900,18,Direct,USD
310,5,50,40FT,3200,18,Direct,USD
311,5,51,20FT,1900,18,Direct,USD
312,5,51,40FT,3200,18,Direct,USD
313,5,52,20FT,1900,18,Direct,USD
314,5,52,40FT,3200,18,Direct,USD
315,5,57,20FT,2700,27,Transshipment,USD
316,5,57,40FT,4400,27,Transshipment,USD
317,5,58,20FT,2700,27,Transshipment,USD
318,5,58,40FT,4400,27,Transshipment,USD
319,5,59,20FT,2800,28,Transshipment,USD
320,5,59,40FT,4600,28,Transshipment,USD
321,5,60,20FT,2800,28,Transshipment,USD
322,5,60,40FT,4600,28,Transshipment,USD
323,5,88,20FT,900,9,Direct,USD
324,5,88,40FT,1550,9,Direct,USD
325,5,89,20FT,900,9,Direct,USD
326,5,89,40FT,1550,9,Direct,USD
327,5,90,20FT,2800,28,Transshipment,USD
328,5,90,40FT,4600,28,Transshipment,USD
329,5,91,20FT,2800,28,Transshipment,USD
330,5,91,40FT,4600,28,Transshipment,USD
331,6,5,20FT,950,8,Direct,USD
332,6,5,40FT,1650,8,Direct,USD
333,6,6,20FT,950,8,Direct,USD
334,6,6,40FT,1650,8,Direct,USD
335,6,7,20FT,950,8,Direct,USD
336,6,7,40FT,1650,8,Direct,USD
337,6,8,20FT,950,8,Direct,USD
338,6,8,40FT,1650,8,Direct,USD
339,6,21,20FT,900,9,Direct,USD
340,6,21,40FT,1550,9,Direct,USD
341,6,26,20FT,1150,12,Direct,USD
342,6,26,40FT,1950,12,Direct,USD
343,6,27,20FT,1150,12,Direct,USD
344,6,27,40FT,1950,12,Direct,USD
345,6,28,20FT,1150,12,Direct,USD
346,6,28,40FT,1950,12,Direct,USD
347,6,29,20FT,1150,12,Direct,USD
348,6,29,40FT,1950,12,Direct,USD
349,6,33,20FT,1200,13,Direct,USD
350,6,33,40FT,2000,13,Direct,USD
351,6,34,20FT,1200,13,Direct,USD
352,6,34,40FT,2000,13,Direct,USD
353,6,35,20FT,1200,13,Direct,USD
354,6,35,40FT,2000,13,Direct,USD
355,6,36,20FT,1200,13,Direct,USD
356,6,36,40FT,2000,13,Direct,USD
357,6,37,20FT,350,5,Direct,USD
358,6,37,40FT,600,5,Direct,USD
359,6,38,20FT,350,5,Direct,USD
360,6,38,40FT,600,5,Direct,USD
361,6,39,20FT,350,5,Direct,USD
362,6,39,40FT,600,5,Direct,USD
363,6,40,20FT,420,4,Direct,USD
364,6,40,40FT,700,4,Direct,USD
365,6,41,20FT,420,4,Direct,USD
366,6,41,40FT,700,4,Direct,USD
367,6,42,20FT,420,4,Direct,USD
368,6,42,40FT,700,4,Direct,USD
369,6,43,20FT,450,8,Multimodal,USD
370,6,43,40FT,750,8,Multimodal,USD
371,6,44,20FT,450,8,Multimodal,USD
372,6,44,40FT,750,8,Multimodal,USD
373,6,49,20FT,1900,18,Direct,USD
374,6,49,40FT,3200,18,Direct,USD
375,6,50,20FT,1900,18,Direct,USD
376,6,50,40FT,3200,18,Direct,USD
377,6,51,20FT,1900,18,Direct,USD
378,6,51,40FT,3200,18,Direct,USD
379,6,52,20FT,1900,18,Direct,USD
380,6,52,40FT,3200,18,Direct,USD
381,6,57,20FT,2700,27,Transshipment,USD
382,6,57,40FT,4400,27,Transshipment,USD
383,6,58,20FT,2700,27,Transshipment,USD
384,6,58,40FT,4400,27,Transshipment,USD
385,6,59,20FT,2800,28,Transshipment,USD
386,6,59,40FT,4600,28,Transshipment,USD
387,6,60,20FT,2800,28,Transshipment,USD
388,6,60,40FT,4600,28,Transshipment,USD
389,6,88,20FT,900,9,Direct,USD
390,6,88,40FT,1550,9,Direct,USD
391,6,89,20FT,900,9,Direct,USD
392,6,89,40FT,1550,9,Direct,USD
393,6,90,20FT,2800,28,Transshipment,USD
394,6,90,40FT,4600,28,Transshipment,USD
395,6,91,20FT,2800,28,Transshipment,USD
396,6,91,40FT,4600,28,Transshipment,USD
397,7,5,20FT,1092,9,Direct,USD
398,7,5,40FT,1897,9,Direct,USD
399,7,6,20FT,1092,9,Direct,USD
400,7,6,40FT,1897,9,Direct,USD
401,7,7,20FT,1092,9,Direct,USD
402,7,7,40FT,1897,9,Direct,USD
403,7,8,20FT,1092,9,Direct,USD
404,7,8,40FT,1897,9,Direct,USD
405,7,21,20FT,810,8,Direct,USD
406,7,21,40FT,1395,8,Direct,USD
407,7,26,20FT,1058,12,Direct,USD
408,7,26,40FT,1794,12,Direct,USD
409,7,27,20FT,1058,12,Direct,USD
410,7,27,40FT,1794,12,Direct,USD
411,7,28,20FT,1058,12,Direct,USD
412,7,28,40FT,1794,12,Direct,USD
413,7,29,20FT,1058,12,Direct,USD
414,7,29,40FT,1794,12,Direct,USD
415,7,33,20FT,1140,13,Direct,USD
416,7,33,40FT,1900,13,Direct,USD
417,7,34,20FT,1140,13,Direct,USD
418,7,34,40FT,1900,13,Direct,USD
419,7,35,20FT,1140,13,Direct,USD
420,7,35,40FT,1900,13,Direct,USD
421,7,36,20FT,1140,13,Direct,USD
422,7,36,40FT,1900,13,Direct,USD
423,7,37,20FT,385,6,Direct,USD
424,7,37,40FT,660,6,Direct,USD
425,7,38,20FT,385,6,Direct,USD
426,7,38,40FT,660,6,Direct,USD
427,7,39,20FT,385,6,Direct,USD
428,7,39,40FT,660,6,Direct,USD
429,7,40,20FT,386,4,Direct,USD
430,7,40,40FT,644,4,Direct,USD
431,7,41,20FT,386,4,Direct,USD
432,7,41,40FT,644,4,Direct,USD
433,7,42,20FT,386,4,Direct,USD
434,7,42,40FT,644,4,Direct,USD
435,7,43,20FT,531,9,Multimodal,USD
436,7,43,40FT,885,9,Multimodal,USD
437,7,44,20FT,531,9,Multimodal,USD
438,7,44,40FT,885,9,Multimodal,USD
439,7,49,20FT,1748,18,Direct,USD
440,7,49,40FT,2944,18,Direct,USD
441,7,50,20FT,1748,18,Direct,USD
442,7,50,40FT,2944,18,Direct,USD
443,7,51,20FT,1748,18,Direct,USD
444,7,51,40FT,2944,18,Direct,USD
445,7,52,20FT,1748,18,Direct,USD
446,7,52,40FT,2944,18,Direct,USD
447,7,57,20FT,2916,27,Transshipment,USD
448,7,57,40FT,4752,27,Transshipment,USD
449,7,58,20FT,2916,27,Transshipment,USD
450,7,58,40FT,4752,27,Transshipment,USD
451,7,59,20FT,3024,28,Transshipment,USD
452,7,59,40FT,4968,28,Transshipment,USD
453,7,60,20FT,3024,28,Transshipment,USD
454,7,60,40FT,4968,28,Transshipment,USD
455,7,88,20FT,810,8,Direct,USD
456,7,88,40FT,1395,8,Direct,USD
457,7,89,20FT,810,8,Direct,USD
458,7,89,40FT,1395,8,Direct,USD
459,7,90,20FT,3024,28,Transshipment,USD
460,7,90,40FT,4968,28,Transshipment,USD
461,7,91,20FT,3024,28,Transshipment,USD
462,7,91,40FT,4968,28,Transshipment,USD
463,8,5,20FT,950,8,Direct,USD
464,8,5,40FT,1650,8,Direct,USD
465,8,6,20FT,950,8,Direct,USD
466,8,6,40FT,1650,8,Direct,USD
467,8,7,20FT,950,8,Direct,USD
468,8,7,40FT,1650,8,Direct,USD
469,8,8,20FT,950,8,Direct,USD
470,8,8,40FT,1650,8,Direct,USD
471,8,21,20FT,828,9,Direct,USD
472,8,21,40FT,1426,9,Direct,USD
473,8,26,20FT,1150,12,Direct,USD
474,8,26,40FT,1950,12,Direct,USD
475,8,27,20FT,1150,12,Direct,USD
476,8,27,40FT,1950,12,Direct,USD
477,8,28,20FT,1150,12,Direct,USD
478,8,28,40FT,1950,12,Direct,USD
479,8,29,20FT,1150,12,Direct,USD
480,8,29,40FT,1950,12,Direct,USD
481,8,33,20FT,1200,13,Direct,USD
482,8,33,40FT,2000,13,Direct,USD
483,8,34,20FT,1200,13,Direct,USD
484,8,34,40FT,2000,13,Direct,USD
485,8,35,20FT,1200,13,Direct,USD
486,8,35,40FT,2000,13,Direct,USD
487,8,36,20FT,1200,13,Direct,USD
488,8,36,40FT,2000,13,Direct,USD
489,8,37,20FT,392,6,Direct,USD
490,8,37,40FT,672,6,Direct,USD
491,8,38,20FT,392,6,Direct,USD
492,8,38,40FT,672,6,Direct,USD
493,8,39,20FT,392,6,Direct,USD
494,8,39,40FT,672,6,Direct,USD
495,8,40,20FT,399,4,Direct,USD
496,8,40,40FT,665,4,Direct,USD
497,8,41,20FT,399,4,Direct,USD
498,8,41,40FT,665,4,Direct,USD
499,8,42,20FT,399,4,Direct,USD
500,8,42,40FT,665,4,Direct,USD
501,8,43,20FT,450,8,Multimodal,USD
502,8,43,40FT,750,8,Multimodal,USD
503,8,44,20FT,450,8,Multimodal,USD
504,8,44,40FT,750,8,Multimodal,USD
505,8,49,20FT,1900,18,Direct,USD
506,8,49,40FT,3200,18,Direct,USD
507,8,50,20FT,1900,18,Direct,USD
508,8,50,40FT,3200,18,Direct,USD
509,8,51,20FT,1900,18,Direct,USD
510,8,51,40FT,3200,18,Direct,USD
511,8,52,20FT,1900,18,Direct,USD
512,8,52,40FT,3200,18,Direct,USD
513,8,57,20FT,2700,27,Transshipment,USD
514,8,57,40FT,4400,27,Transshipment,USD
515,8,58,20FT,2700,27,Transshipment,USD
516,8,58,40FT,4400,27,Transshipment,USD
517,8,59,20FT,2800,28,Transshipment,USD
518,8,59,40FT,4600,28,Transshipment,USD
519,8,60,20FT,2800,28,Transshipment,USD
520,8,60,40FT,4600,28,Transshipment,USD
521,8,88,20FT,828,9,Direct,USD
522,8,88,40FT,1426,9,Direct,USD
523,8,89,20FT,828,9,Direct,USD
524,8,89,40FT,1426,9,Direct,USD
525,8,90,20FT,2800,28,Transshipment,USD
526,8,90,40FT,4600,28,Transshipment,USD
527,8,91,20FT,2800,28,Transshipment,USD
528,8,91,40FT,4600,28,Transshipment,USD
529,9,5,20FT,950,8,Direct,USD
530,9,5,40FT,1650,8,Direct,USD
531,9,6,20FT,950,8,Direct,USD
532,9,6,40FT,1650,8,Direct,USD
533,9,7,20FT,950,8,Direct,USD
534,9,7,40FT,1650,8,Direct,USD
535,9,8,20FT,950,8,Direct,USD
536,9,8,40FT,1650,8,Direct,USD
537,9,21,20FT,900,9,Direct,USD
538,9,21,40FT,1550,9,Direct,USD
539,9,26,20FT,1150,12,Direct,USD
540,9,26,40FT,1950,12,Direct,USD
541,9,27,20FT,1150,12,Direct,USD
542,9,27,40FT,1950,12,Direct,USD
543,9,28,20FT,1150,12,Direct,USD
544,9,28,40FT,1950,12,Direct,USD
545,9,29,20FT,1150,12,Direct,USD
546,9,29,40FT,1950,12,Direct,USD
547,9,33,20FT,1200,13,Direct,USD
548,9,33,40FT,2000,13,Direct,USD
549,9,34,20FT,1200,13,Direct,USD
550,9,34,40FT,2000,13,Direct,USD
551,9,35,20FT,1200,13,Direct,USD
552,9,35,40FT,2000,13,Direct,USD
553,9,36,20FT,1200,13,Direct,USD
554,9,36,40FT,2000,13,Direct,USD
555,9,37,20FT,350,5,Direct,USD
556,9,37,40FT,600,5,Direct,USD
557,9,38,20FT,350,5,Direct,USD
558,9,38,40FT,600,5,Direct,USD
559,9,39,20FT,350,5,Direct,USD
560,9,39,40FT,600,5,Direct,USD
561,9,40,20FT,336,3,Direct,USD
562,9,40,40FT,560,3,Direct,USD
563,9,41,20FT,336,3,Direct,USD
564,9,41,40FT,560,3,Direct,USD
565,9,42,20FT,336,3,Direct,USD
566,9,42,40FT,560,3,Direct,USD
567,9,43,20FT,450,8,Multimodal,USD
568,9,43,40FT,750,8,Multimodal,USD
569,9,44,20FT,450,8,Multimodal,USD
570,9,44,40FT,750,8,Multimodal,USD
571,9,49,20FT,1900,18,Direct,USD
572,9,49,40FT,3200,18,Direct,USD
573,9,50,20FT,1900,18,Direct,USD
574,9,50,40FT,3200,18,Direct,USD
575,9,51,20FT,1900,18,Direct,USD
576,9,51,40FT,3200,18,Direct,USD
577,9,52,20FT,1900,18,Direct,USD
578,9,52,40FT,3200,18,Direct,USD
579,9,57,20FT,2700,27,Transshipment,USD
580,9,57,40FT,4400,27,Transshipment,USD
581,9,58,20FT,2700,27,Transshipment,USD
582,9,58,40FT,4400,27,Transshipment,USD
583,9,59,20FT,2800,28,Transshipment,USD
584,9,59,40FT,4600,28,Transshipment,USD
585,9,60,20FT,2800,28,Transshipment,USD
586,9,60,40FT,4600,28,Transshipment,USD
587,9,88,20FT,900,9,Direct,USD
588,9,88,40FT,1550,9,Direct,USD
589,9,89,20FT,900,9,Direct,USD
590,9,89,40FT,1550,9,Direct,USD
591,9,90,20FT,2800,28,Transshipment,USD
592,9,90,40FT,4600,28,Transshipment,USD
593,9,91,20FT,2800,28,Transshipment,USD
594,9,91,40FT,4600,28,Transshipment,USD
595,10,5,20FT,950,8,Direct,USD
596,10,5,40FT,1650,8,Direct,USD
597,10,6,20FT,950,8,Direct,USD
598,10,6,40FT,1650,8,Direct,USD
599,10,7,20FT,950,8,Direct,USD
600,10,7,40FT,1650,8,Direct,USD
601,10,8,20FT,950,8,Direct,USD
602,10,8,40FT,1650,8,Direct,USD
603,10,21,20FT,900,9,Direct,USD
604,10,21,40FT,1550,9,Direct,USD
605,10,26,20FT,1150,12,Direct,USD
606,10,26,40FT,1950,12,Direct,USD
607,10,27,20FT,1150,12,Direct,USD
608,10,27,40FT,1950,12,Direct,USD
609,10,28,20FT,1150,12,Direct,USD
610,10,28,40FT,1950,12,Direct,USD
611,10,29,20FT,1150,12,Direct,USD
612,10,29,40FT,1950,12,Direct,USD
613,10,33,20FT,1200,13,Direct,USD
614,10,33,40FT,2000,13,Direct,USD
615,10,34,20FT,1200,13,Direct,USD
616,10,34,40FT,2000,13,Direct,USD
617,10,35,20FT,1200,13,Direct,USD
618,10,35,40FT,2000,13,Direct,USD
619,10,36,20FT,1200,13,Direct,USD
620,10,36,40FT,2000,13,Direct,USD
621,10,37,20FT,350,5,Direct,USD
622,10,37,40FT,600,5,Direct,USD
623,10,38,20FT,350,5,Direct,USD
624,10,38,40FT,600,5,Direct,USD
625,10,39,20FT,350,5,Direct,USD
626,10,39,40FT,600,5,Direct,USD
627,10,40,20FT,357,3,Direct,USD
628,10,40,40FT,595,3,Direct,USD
629,10,41,20FT,357,3,Direct,USD
