Date,Total_Arrivals_MT,Weighted_Min_Price,Weighted_Modal_Price,Weighted_Max_Price,Markets_Reported
2021-02-07,748.0,4326.18,4475.56,4560.52,8.0
2021-02-08,1850.0,3958.62,4333.43,4698.25,31.0
2021-02-09,7406.0,4051.69,4510.72,4764.81,79.0
2021-02-10,6719.0,4002.29,4492.89,4726.04,73.0
2021-02-11,3158.0,3852.25,4317.11,4657.53,47.0
2021-02-12,6163.0,3967.26,4489.16,4712.93,74.0
2021-02-13,4547.0,4021.79,4470.14,4725.87,51.0
2021-02-14,484.0,4503.27,4593.38,4656.98,7.0
2021-02-15,5160.0,3961.56,4490.04,4799.4,69.0
2021-02-16,5058.0,3985.9,4674.66,4892.57,65.0
2021-02-17,5607.0,4209.14,4688.71,4929.76,64.0
2021-02-18,5162.0,4259.68,4707.18,4941.61,58.0
2021-02-19,338.0,4289.01,4595.07,4822.87,10.0
2021-02-20,4851.0,4223.51,4672.25,4945.62,55.0
2021-02-21,228.0,4133.95,4574.1,4744.32,9.0
2021-02-22,5519.0,4210.88,4715.61,4953.44,65.0
2021-02-23,7096.0,4245.85,4807.94,5006.61,67.0
2021-02-24,6912.0,4085.1,4817.15,5036.75,72.0
2021-02-25,6119.0,4460.22,4870.7,5094.63,64.0
2021-02-26,3438.0,4269.05,4788.59,5059.04,42.0
2021-02-27,1860.0,4365.36,4857.2,5060.84,45.0
2021-02-28,108.0,4469.81,4649.07,4819.91,5.0
2021-03-01,4507.0,4446.33,4842.85,5109.71,66.0
2021-03-02,5093.0,4274.57,4923.77,5139.97,53.0
2021-03-03,4061.0,4684.14,4973.1,5146.38,53.0
2021-03-04,3869.0,4629.05,4913.89,5088.04,66.0
2021-03-05,2722.0,4817.05,5090.33,5238.22,47.0
2021-03-06,3006.0,4557.78,4872.72,5047.7,35.0
2021-03-07,482.0,4896.7,4948.39,4984.47,9.0
2021-03-08,3713.0,4608.64,4989.07,5211.18,69.0
2021-03-09,4205.0,4575.66,4969.97,5196.25,62.0
2021-03-10,3326.0,4506.13,4992.97,5197.96,61.0
2021-03-11,98.0,4506.63,4778.05,4882.65,7.0
2021-03-12,2739.0,4714.11,5109.07,5272.07,46.0
2021-03-13,766.0,4579.76,5008.83,5288.89,19.0
2021-03-14,64.0,3768.75,4657.94,5108.84,5.0
2021-03-15,3682.0,4779.0,5118.49,5346.29,48.0
2021-03-16,1642.0,5089.71,5221.62,5361.17,10.0
2021-03-20,980.0,4869.96,5230.59,5388.7,21.0
2021-03-21,274.0,5299.2,5401.95,5429.95,6.0
2021-03-22,1770.0,4925.39,5246.09,5480.02,48.0
2021-03-23,2801.0,5187.16,5480.18,5666.18,50.0
2021-03-24,4052.0,4939.44,5332.49,5590.76,51.0
2021-03-25,3040.0,5218.56,5518.51,5710.05,41.0
2021-03-26,2528.0,4983.77,5417.58,5639.96,40.0
2021-03-27,1087.0,4860.1,5458.69,5684.36,13.0
2021-03-28,12.0,5000.0,5400.0,6050.0,1.0
2021-03-29,30.0,4200.0,4300.0,4400.0,2.0
2021-03-30,90.0,4643.96,4970.21,5204.49,11.0
2021-03-31,24.0,4702.92,5214.62,5669.54,8.0
2021-04-01,359.0,5088.21,5584.39,5883.89,16.0
2021-04-02,125.0,5386.42,5810.48,6151.82,7.0
2021-04-03,1597.0,5681.12,5915.2,6087.8,31.0
2021-04-04,160.0,5794.25,6015.88,6142.62,3.0
2021-04-05,1969.0,5244.14,5974.7,6252.14,54.0
2021-04-06,2696.0,5236.27,6137.16,6403.61,50.0
2021-04-07,2514.0,5968.95,6264.93,6441.27,49.0
2021-04-08,1406.0,5494.49,6092.49,6389.65,44.0
2021-04-09,1401.0,5772.47,6244.65,6521.17,45.0
2021-04-10,172.0,5727.08,6233.74,6447.03,7.0
2021-04-11,13.0,5530.77,6393.85,6620.0,2.0
2021-04-12,1712.0,5732.79,6521.51,6847.17,36.0
2021-04-13,1037.0,6743.24,6914.39,6993.29,28.0
2021-04-14,34.0,5528.68,5923.53,6175.74,7.0
2021-04-15,1843.0,6350.54,6770.77,7033.23,46.0
2021-04-16,2909.0,6629.06,6986.55,7257.94,48.0
2021-04-17,1393.0,6736.97,7037.2,7279.26,22.0
2021-04-18,261.0,7102.87,7424.33,7764.18,3.0
2021-04-19,1678.0,6620.55,7039.18,7360.46,40.0
2021-04-20,1711.0,6525.21,7130.63,7450.96,31.0
2021-04-21,8.0,5762.5,6256.25,6750.0,2.0
2021-04-22,943.0,6461.47,7089.0,7678.55,28.0
2021-04-23,687.0,6386.74,7222.26,7733.17,22.0
2021-04-24,261.0,6832.95,7271.26,7606.48,7.0
2021-04-25,8.0,5736.0,6800.0,7300.0,1.0
2021-04-26,1073.0,6364.45,6830.97,7149.53,30.0
2021-04-27,614.0,6074.64,6447.92,6833.77,18.0
2021-04-28,1049.0,6484.41,6833.25,7140.24,23.0
2021-04-29,1042.0,6393.36,6954.58,7158.25,25.0
2021-04-30,960.0,6555.87,6890.37,7076.81,23.0
2021-05-01,24.0,5733.33,6092.5,6562.08,5.0
2021-05-02,42.0,6525.9,6893.71,7110.95,4.0
2021-05-03,1491.0,6322.03,6932.11,7089.52,34.0
2021-05-04,1889.0,6747.39,7097.2,7238.06,36.0
2021-05-05,1546.0,6407.16,7022.5,7364.05,37.0
2021-05-06,1702.0,6663.32,7198.76,7481.04,38.0
2021-05-07,1035.0,6417.3,7147.54,7477.59,28.0
2021-05-08,609.0,6262.45,6725.59,7118.81,19.0
2021-05-09,4.0,6000.0,6700.0,7140.0,1.0
2021-05-10,220.0,4997.15,6676.33,7465.49,17.0
2021-05-11,155.0,6204.59,6851.44,7211.52,16.0
2021-05-12,157.0,5753.95,7068.68,7496.9,17.0
2021-05-13,234.0,6236.96,6990.08,7325.97,18.0
2021-05-14,12.0,6241.67,6475.0,6679.17,4.0
2021-05-15,196.0,6333.21,7064.84,7328.24,9.0
2021-05-16,36.0,6572.17,6695.78,6819.39,4.0
2021-05-17,970.0,6962.74,7343.96,7537.68,30.0
2021-05-18,1304.0,6933.78,7364.63,7613.71,31.0
2021-05-19,990.0,7004.51,7384.52,7618.07,26.0
2021-05-20,1842.0,6673.54,7207.39,7409.99,38.0
2021-05-21,988.0,6362.88,7011.12,7252.99,26.0
2021-05-22,1470.0,6662.72,6898.23,7155.73,15.0
2021-05-23,28.0,5024.82,5192.29,5381.29,5.0
2021-05-24,1398.0,5938.11,6788.12,7036.44,35.0
2021-05-25,1935.0,6473.23,6837.05,7085.6,41.0
2021-05-26,70.0,4504.94,6673.11,7171.73,9.0
2021-05-27,2616.0,6370.78,7035.35,7324.6,44.0
2021-05-28,1815.0,6519.83,7012.83,7219.71,40.0
2021-05-29,1639.0,6603.65,6933.27,7211.08,22.0
2021-05-30,172.0,6919.55,7066.62,7128.39,5.0
2021-05-31,2383.0,6656.25,6993.19,7206.53,51.0
2021-06-01,1769.0,6280.91,6804.98,7091.59,57.0
2021-06-02,1476.0,6259.0,6885.63,7129.55,49.0
2021-06-03,2604.0,6551.95,6937.69,7226.23,53.0
2021-06-04,1338.0,6441.34,6926.61,7125.19,47.0
2021-06-05,1056.0,6561.39,6848.49,7067.01,22.0
2021-06-06,170.0,6636.47,6813.06,7131.38,4.0
2021-06-07,882.0,6622.28,6919.4,7308.53,34.0
2021-06-08,1385.0,6272.95,6914.87,7260.61,43.0
2021-06-09,1004.0,5822.7,6291.9,6536.49,38.0
2021-06-10,1647.0,6392.96,7033.12,7305.86,35.0
2021-06-11,738.0,6350.52,6949.67,7108.61,35.0
2021-06-12,850.0,6565.56,6918.48,7118.48,26.0
2021-06-13,125.0,6528.73,6645.24,6835.12,8.0
2021-06-14,1441.0,6414.71,7041.18,7470.25,55.0
2021-06-15,1275.0,6294.94,6852.04,7464.55,57.0
2021-06-16,1568.0,6246.72,6972.58,7365.72,56.0
2021-06-17,1274.0,6582.02,6978.05,7327.1,43.0
2021-06-18,811.0,6281.52,6752.75,6972.21,46.0
2021-06-19,1049.0,6356.77,7078.03,7539.59,30.0
2021-06-20,69.0,6456.41,6826.35,7132.48,7.0
2021-06-21,1425.0,6310.8,7277.37,7864.44,56.0
2021-06-22,1187.0,6317.08,7337.56,8163.93,50.0
2021-06-23,1439.0,6521.55,7266.04,7900.26,44.0
2021-06-24,1361.0,6087.49,6844.15,7181.28,45.0
2021-06-25,1285.0,6374.13,6956.12,7298.34,48.0
2021-06-26,1029.0,6638.74,6957.17,7290.57,38.0
2021-06-27,78.0,6787.44,7087.5,7282.12,4.0
2021-06-28,1498.0,6469.45,6878.45,7200.11,56.0
2021-06-29,1380.0,6036.83,6818.34,7251.03,51.0
2021-06-30,1283.0,6375.94,6943.05,7272.15,44.0
2021-07-01,419.0,6502.19,6858.87,7394.19,26.0
2021-07-02,726.0,6459.1,7168.45,7432.82,42.0
2021-07-03,701.0,6847.08,7241.77,16195.26,22.0
2021-07-04,61.0,6926.49,7158.62,7282.56,6.0
2021-07-05,174.0,5910.68,7052.85,7396.46,27.0
2021-07-06,158.0,6118.42,7050.7,7381.46,19.0
2021-07-07,132.0,5885.83,7251.83,7580.12,22.0
2021-07-08,177.0,6381.21,6969.66,7133.27,23.0
2021-07-09,79.0,6070.66,6953.11,7323.97,19.0
2021-07-10,86.0,6283.73,7177.56,7317.91,12.0
2021-07-11,4.0,6600.0,6700.0,7137.5,2.0
2021-07-12,488.0,6355.14,7161.59,7563.92,40.0
2021-07-13,559.0,6651.48,7297.87,7666.67,34.0
2021-07-14,635.0,6656.98,7268.15,7575.33,36.0
2021-07-15,837.0,6498.13,7314.31,7692.06,35.0
2021-07-16,553.0,6364.1,7133.1,7695.25,28.0
2021-07-17,1134.0,6984.33,7594.6,7885.58,32.0
2021-07-18,52.0,7227.96,7556.31,7831.13,6.0
2021-07-19,834.0,7018.51,7632.1,7993.24,38.0
2021-07-20,120.0,6493.71,7382.82,7848.37,18.0
2021-07-21,7.0,5335.86,7633.43,7833.29,5.0
2021-07-22,1018.0,7092.53,7914.84,8327.24,41.0
2021-07-23,1000.0,7242.77,8130.61,8504.1,36.0
2021-07-24,993.0,7155.66,7864.52,8611.55,33.0
2021-07-25,78.0,8491.03,8695.15,8799.1,3.0
2021-07-26,927.0,7683.71,8499.63,9114.38,52.0
2021-07-27,874.0,8178.61,9127.73,9633.86,46.0
2021-07-28,851.0,8352.18,9280.94,9637.27,44.0
2021-07-29,646.0,8082.53,9135.08,9439.25,46.0
2021-07-30,851.0,8255.98,9406.04,9874.39,44.0
2021-07-31,831.0,8484.54,9528.76,9839.56,29.0
2021-08-01,15.0,8584.0,9540.0,10030.2,2.0
2021-08-02,887.0,8556.5,9690.16,10113.97,50.0
2021-08-03,776.0,8028.58,9536.33,9918.54,44.0
2021-08-04,866.0,8532.91,9418.8,9875.9,37.0
2021-08-05,237.0,8053.42,9389.47,10355.01,16.0
2021-08-06,671.0,8210.59,9677.76,10161.58,48.0
2021-08-07,526.0,8657.7,9606.48,10145.4,34.0
2021-08-08,10.0,7280.0,9455.0,9920.8,3.0
2021-08-09,594.0,8050.31,9160.79,9502.8,47.0
2021-08-10,602.0,7124.41,8257.27,8728.51,40.0
2021-08-11,399.0,7161.31,8242.27,8621.15,42.0
2021-08-12,367.0,7457.91,8657.99,8989.16,37.0
2021-08-13,83.0,6385.59,7753.88,8044.93,21.0
2021-08-14,196.0,7542.38,8642.84,9029.17,18.0
2021-08-15,8.0,6700.0,8000.0,8500.0,1.0
2021-08-16,136.0,7112.73,8990.58,9259.85,13.0
2021-08-17,433.0,7365.52,8379.23,8806.48,36.0
2021-08-18,285.0,7674.92,8480.03,8867.64,33.0
2021-08-19,37.0,6943.24,7924.32,8721.76,5.0
2021-08-20,308.0,7190.06,8182.54,8913.56,34.0
2021-08-21,293.0,7605.81,8677.31,9099.91,22.0
2021-08-22,2.0,6700.0,7000.0,8800.0,1.0
2021-08-23,271.0,7413.65,8606.46,9088.94,29.0
2021-08-24,350.0,7755.04,8810.56,9123.98,39.0
2021-08-25,343.0,7782.94,8665.6,8931.15,35.0
2021-08-26,341.0,7183.84,8409.86,8737.66,33.0
2021-08-27,266.0,7401.24,8603.4,8866.82,26.0
2021-08-28,204.0,7268.25,8779.0,9040.87,21.0
2021-08-29,28.0,8028.61,8443.93,8542.68,4.0
2021-08-30,100.0,7024.2,7873.99,8445.53,28.0
2021-08-31,237.0,7602.83,8331.03,8687.59,23.0
2021-09-01,280.0,7389.82,8666.39,9090.2,25.0
2021-09-02,347.0,7522.33,8758.6,9091.73,37.0
2021-09-03,254.0,7487.76,8709.61,9103.88,29.0
2021-09-04,214.0,7879.02,8752.02,9184.34,21.0
2021-09-05,10.0,6670.2,7820.0,8689.3,3.0
2021-09-06,4.0,5800.0,7552.0,8500.0,1.0
2021-09-07,213.0,6432.54,7731.81,8599.85,15.0
2021-09-08,198.0,6926.81,8286.97,8690.95,29.0
2021-09-09,318.0,7004.6,8550.83,8846.64,31.0
2021-09-10,14.0,6572.79,7646.43,8314.57,4.0
2021-09-11,92.0,7425.62,8310.32,9015.11,16.0
2021-09-12,9.0,6933.78,7818.67,8188.89,3.0
2021-09-13,41.0,6163.54,7929.63,8331.34,8.0
2021-09-14,423.0,6179.82,7607.47,8575.84,33.0
2021-09-15,433.0,6208.28,7688.81,8225.92,37.0
2021-09-16,440.0,6409.0,7853.91,8377.86,36.0
2021-09-17,347.0,6293.06,7442.26,8010.22,23.0
2021-09-18,657.0,6274.78,7385.31,7863.37,35.0
2021-09-19,68.0,6850.0,7015.44,7121.18,3.0
2021-09-20,2120.0,4821.26,5758.26,6123.81,62.0
2021-09-21,1425.0,4763.86,5561.47,6026.46,50.0
2021-09-22,2052.0,5058.88,5938.7,6304.58,42.0
2021-09-23,2020.0,5664.07,6642.27,6938.06,53.0
2021-09-24,1620.0,5371.03,6592.41,6978.87,49.0
2021-09-25,811.0,5210.45,5964.42,6375.68,41.0
2021-09-26,110.0,5579.28,5710.09,6147.45,5.0
2021-09-27,917.0,4519.55,5769.06,6338.7,37.0
2021-09-28,1274.0,4897.48,6144.15,6665.37,38.0
2021-09-29,1769.0,4882.22,6168.22,6681.68,46.0
2021-09-30,1634.0,4549.55,5801.39,6450.3,46.0
2021-10-01,2082.0,4165.92,5713.71,6261.88,42.0
2021-10-02,248.0,4752.42,5441.38,5835.76,9.0
2021-10-03,363.0,4786.36,5006.62,5560.0,8.0
2021-10-04,4549.0,3987.63,5014.86,5622.28,68.0
2021-10-05,4773.0,3993.09,5071.45,5614.12,73.0
2021-10-06,754.0,4000.34,5384.06,5813.55,30.0
2021-10-07,5684.0,4077.03,5068.37,5769.86,69.0
2021-10-08,6331.0,4154.57,5127.72,5739.62,72.0
2021-10-09,5284.7,4179.98,5173.77,5694.32,55.0
2021-10-10,1004.0,4326.89,4728.13,5236.86,10.0
2021-10-11,1504.0,4256.83,4852.87,5286.41,36.0
2021-10-12,11150.0,3948.9,4764.83,5254.73,82.0
2021-10-13,9907.0,3974.24,4838.69,5290.85,75.0
2021-10-14,8089.0,3763.97,4670.86,5092.34,69.0
2021-10-15,1472.0,4064.38,4877.09,5205.54,26.0
2021-10-16,9185.0,3956.25,4784.0,5072.93,71.0
2021-10-17,1078.0,4387.8,4778.5,4964.87,11.0
2021-10-18,10250.0,3802.37,4651.54,5092.81,81.0
2021-10-19,1380.0,3710.6,4654.52,4998.9,27.0
2021-10-20,13549.0,3906.83,4710.67,5089.03,94.0
2021-10-21,14019.0,3945.23,4746.98,5109.16,100.0
2021-10-22,14233.0,3892.31,4700.78,5084.07,89.0
2021-10-23,12676.0,3934.24,4775.24,5097.58,76.0
2021-10-24,1789.0,4310.44,4693.35,4939.74,16.0
2021-10-25,20445.0,3910.91,4613.8,4919.31,102.0
2021-10-26,15974.0,3977.26,4596.13,4887.69,90.0
2021-10-27,16460.0,3990.42,4658.97,4960.42,97.0
2021-10-28,14529.0,3988.08,4764.37,5050.28,97.0
2021-10-29,11637.0,4061.76,4789.81,5104.91,78.0
2021-10-30,14662.0,3691.68,4381.6,4702.13,71.0
2021-10-31,1505.0,4367.04,4864.49,5176.64,12.0
2021-11-01,8359.0,4186.84,4866.3,5282.11,68.0
2021-11-02,3219.0,4062.87,4817.45,5201.87,43.0
2021-11-03,945.0,4292.06,4979.33,5403.58,27.0
2021-11-04,80.0,4856.25,5057.55,5219.08,4.0
2021-11-05,4211.0,4539.33,5060.19,5265.98,31.0
2021-11-06,1087.0,4584.64,5084.73,5280.74,22.0
2021-11-07,1199.0,4633.82,4986.43,5160.97,13.0
2021-11-08,11313.0,4205.83,4833.41,5161.77,99.0
2021-11-09,15247.0,4288.19,4944.93,5235.93,100.0
2021-11-10,12274.0,4363.64,4979.12,5290.41,105.0
2021-11-11,12611.0,4422.95,5120.8,5506.39,101.0
2021-11-12,10603.0,4488.03,5177.94,5572.86,96.0
2021-11-13,11288.0,4460.06,5212.74,5562.84,84.0
2021-11-14,1922.0,4895.73,5291.18,5494.1,15.0
2021-11-15,14568.0,4737.66,5476.18,5898.13,105.0
2021-11-16,11637.0,4696.05,5455.34,5931.91,96.0
2021-11-17,12692.0,4971.8,5611.51,6058.18,99.0
2021-11-18,12298.0,4970.4,5719.9,6068.96,95.0
2021-11-19,2869.0,5264.71,5873.35,6125.5,34.0
2021-11-20,11945.0,5021.21,5785.27,6274.28,83.0
2021-11-21,990.0,5684.7,5923.42,6104.18,14.0
2021-11-22,12361.0,5377.25,6108.6,6584.15,101.0
2021-11-23,15269.0,5837.28,6469.52,6906.27,101.0
2021-11-24,12849.0,5616.73,6299.57,6738.94,105.0
2021-11-25,11429.0,5570.77,6318.42,6703.9,102.0
2021-11-26,13385.0,5668.33,6351.46,6741.91,112.0
2021-11-27,7492.0,5621.79,6336.55,6734.14,82.0
2021-11-28,991.0,6027.5,6278.64,6462.45,14.0
2021-11-29,9085.0,5350.6,5976.75,6391.83,94.0
2021-11-30,9408.0,5286.07,5938.93,6275.3,102.0
2021-12-01,7526.0,5384.25,6003.09,6372.98,101.0
2021-12-02,7878.0,5485.31,6111.47,6460.29,89.0
2021-12-03,7220.0,5533.24,6184.97,6668.28,93.0
2021-12-04,6766.0,5526.31,6409.9,6970.03,59.0
2021-12-05,1523.0,6027.36,6383.96,6729.47,20.0
2021-12-06,9335.0,5664.28,6507.49,6939.3,104.0
2021-12-07,13789.0,5596.39,6341.79,6800.38,107.0
2021-12-08,11114.0,5703.78,6440.5,6834.51,105.0
2021-12-09,7972.0,5665.26,6323.87,6650.98,87.0
2021-12-10,10035.0,5727.99,6343.42,6814.39,112.0
2021-12-11,7014.0,5685.66,6346.58,6871.86,77.0
2021-12-12,914.0,5808.48,6224.93,6428.59,17.0
2021-12-13,9162.0,5753.52,6365.31,6744.83,103.0
2021-12-14,9402.0,5505.31,6214.52,6544.36,100.0
2021-12-15,6485.0,5507.88,6099.38,6613.4,100.0
2021-12-16,5396.0,5458.38,6249.56,6643.76,101.0
2021-12-17,5856.0,5508.81,6140.89,6565.12,105.0
2021-12-18,3352.0,5489.45,6230.16,6800.96,76.0
2021-12-19,379.0,5513.46,5993.74,6327.12,14.0
2021-12-20,5298.0,5307.93,5938.16,6345.74,101.0
2021-12-21,4344.0,5285.36,5913.2,6306.55,94.0
2021-12-22,4768.0,5262.03,5986.23,6426.19,98.0
2021-12-23,5053.0,5305.14,6057.62,6426.65,97.0
2021-12-24,5376.0,5453.11,6149.62,6574.42,105.0
2021-12-25,691.0,5388.4,6038.72,6384.36,26.0
2021-12-26,728.0,5831.92,6164.0,6321.49,13.0
2021-12-27,5782.0,5348.95,5946.97,6328.03,96.0
2021-12-28,5338.0,5538.07,6151.01,6595.63,97.0
2021-12-29,3577.0,5460.04,6113.42,6517.26,93.0
2021-12-30,5203.0,5495.48,6201.07,6602.22,86.0
2021-12-31,4498.0,5510.35,6090.94,6476.05,85.0
2022-01-01,3548.0,5399.711104847802,6024.114148816235,6481.96420518602,75.0
2022-01-02,317.0,5506.624605678234,5855.173501577287,6083.690851735016,9.0
2022-01-03,6684.0,5516.142579293836,6099.144225014961,6412.83842010772,97.0
2022-01-04,6865.0,5815.438747268755,6306.368681718864,6624.278222869629,91.0
2022-01-05,5815.0,5647.770249355116,6183.374204643164,6491.624419604471,76.0
2022-01-06,3442.0,5657.409355026148,6118.817838466008,6381.43811737362,54.0
2022-01-07,9471.0,5565.198289515362,6124.089325308838,6466.076760637737,103.0
2022-01-08,6486.0,5595.596669750231,6161.094819611471,6488.067838421215,71.0
2022-01-09,775.0,5632.5561290322585,6199.935483870968,6266.709677419355,9.0
2022-01-10,3704.0,5471.129859611231,6132.622300215983,6459.626889848812,81.0
2022-01-11,6293.0,5548.839980931193,6183.473065310663,6409.939456539011,75.0
2022-01-12,3470.0,5596.907204610951,6060.753025936599,6356.630547550432,57.0
2022-01-13,2930.0,5722.931058020477,6080.239931740614,6326.334129692833,44.0
2022-01-14,2214.0,5360.425022583559,5977.690605239386,6410.953929539295,52.0
2022-01-15,1656.0,5695.663043478261,6017.885869565217,6336.946256038647,36.0
2022-01-16,458.0,5677.124454148472,6028.46943231441,6171.14847161572,12.0
2022-01-17,8381.0,5414.437060016705,6005.429662331464,6298.701109652786,101.0
2022-01-18,6759.0,5556.311288652168,5989.2689747004,6276.982837697884,87.0
2022-01-19,7010.0,5365.974037089872,6008.954065620542,6272.78601997147,96.0
2022-01-20,8092.0,5574.948838358873,6075.889026198714,6314.297330696984,99.0
2022-01-21,8306.0,5634.167348904406,6071.141825186612,6329.526848061642,104.0
2022-01-22,5384.0,5688.614784546805,6088.145802377415,6367.89970282318,74.0
2022-01-23,976.0,6081.905737704919,6319.066598360656,6414.770491803279,14.0
2022-01-24,8017.0,5564.548833728328,6024.273044779843,6317.369464887115,94.0
2022-01-25,6654.0,5268.306732792305,6009.595431319507,6255.282536819958,86.0
2022-01-26,61.0,5660.655737704919,5843.44262295082,5980.327868852459,4.0
2022-01-27,7465.0,5563.677160080375,5934.724581379773,6177.978968519759,97.0
2022-01-28,8005.0,5476.032604622111,5923.525546533417,6196.017613991256,93.0
2022-01-29,5712.0,5516.639355742297,5926.995973389356,6142.5278361344535,79.0
2022-01-30,555.0,5807.027027027027,5894.468468468468,5985.277477477477,10.0
2022-01-31,3850.0,5283.396103896104,5806.194805194805,6072.201818181818,68.0
2022-02-01,4926.0,5107.136012992286,5848.922858302883,6094.891392610637,77.0
2022-02-02,6620.0,5687.256042296072,6039.612084592145,6305.271148036254,95.0
2022-02-03,7384.0,5502.749458288191,5991.555525460455,6244.124593716143,103.0
2022-02-04,6589.0,5569.977386553346,6037.585066019123,6292.375474275307,102.0
2022-02-05,4280.0,5666.110981308411,6108.925934579439,6325.092289719626,74.0
2022-02-06,622.0,6009.649517684888,6197.652733118971,6336.061093247588,15.0
2022-02-07,608.0,5400.1233552631575,6095.881578947368,6381.680921052632,30.0
2022-02-08,7924.0,5624.690181726401,6128.38301362948,6414.037607269056,103.0
2022-02-09,7653.0,5552.4436168822685,6152.182412125963,6411.596890108454,94.0
2022-02-10,6062.0,5620.4604091059055,6163.448531837677,6360.696139887826,95.0
2022-02-11,6783.0,5637.191803037004,6186.628777826921,6486.449506118237,102.0
2022-02-12,5477.0,5789.243016249772,6266.550301259814,6522.896476173088,76.0
2022-02-13,965.0,6185.812435233161,6335.493264248705,6465.723316062176,13.0
2022-02-14,7855.0,5846.078294080204,6379.421005728836,6641.907447485678,100.0
2022-02-15,8201.0,5834.197902694793,6337.240336544324,6595.629191562005,102.0
2022-02-16,7733.0,5801.129703866546,6296.781197465408,6559.022242338032,97.0
2022-02-17,5158.0,5797.286157425358,6319.292555253975,6560.040325707639,87.0
2022-02-18,7000.0,5901.725428571429,6355.331428571429,6681.827714285714,91.0
2022-02-19,155.0,5793.548387096775,6150.187096774193,6309.270967741935,15.0
2022-02-20,1026.0,6147.501949317739,6511.918128654971,6636.153996101364,18.0
2022-02-21,8189.0,5809.963365490292,6456.027964342411,6785.639027964343,96.0
2022-02-22,8357.0,6068.188225439752,6572.197798252962,6861.235610865143,97.0
2022-02-23,6120.0,6258.98022875817,6791.352124183007,7043.427941176471,92.0
2022-02-24,9462.0,6640.077573451702,7203.0774677658,7493.891989008666,101.0
2022-02-25,11497.0,6369.2495433591375,6918.654518570062,7253.892667652431,106.0
2022-02-26,5692.0,6229.225404075896,6684.080639494026,6958.833626141954,75.0
2022-02-27,722.0,6818.42243767313,6986.638504155125,7120.512465373961,13.0
2022-02-28,7561.0,6309.221002512895,6994.611559317551,7311.131067319137,102.0
2022-03-01,263.0,6102.912547528517,6520.600760456274,6689.429657794677,12.0
2022-03-02,4181.0,6384.416407558,7009.643386749582,7450.071753169098,71.0
2022-03-03,7895.0,6585.063837872071,7103.218872704243,7410.869791006967,95.0
2022-03-04,7716.0,6682.869880767237,7073.397615344738,7312.106272680146,102.0
2022-03-05,5080.0,6494.317716535433,7003.102362204724,7222.912795275591,73.0
2022-03-06,674.0,6893.47181008902,7137.249258160237,7233.292284866468,14.0
2022-03-07,5306.0,6622.7828872974,7009.340934790803,7256.643234074632,97.0
2022-03-08,5709.0,6410.13697670345,7044.830618321947,7301.73147661587,99.0
2022-03-09,4995.0,6530.35935935936,7090.149349349349,7339.02002002002,90.0
2022-03-10,5490.0,6571.724043715847,7145.317486338798,7441.684517304189,90.0
2022-03-11,6249.0,6551.942550808129,7160.977436389822,7434.772603616579,92.0
2022-03-12,4355.0,6537.553386911596,7155.97588978186,7355.82502870264,70.0
2022-03-13,667.0,6928.028485757121,7077.637181409295,7197.763118440779,15.0
2022-03-14,5922.0,6525.322357311719,7040.5494765282,7303.188112124282,84.0
