Date,Weighted_Avg_Modal_Price,Total_Arrivals,Markets
02-03-2021,1401.852094901565,1981.0,34
03-03-2021,1442.9750135795764,1841.0,43
04-03-2021,1494.5218855218857,2079.0,44
05-03-2021,1468.7515188335358,1646.0,41
06-03-2021,1449.9056420233462,1028.0,26
07-03-2021,1365.0442477876106,113.0,3
08-03-2021,1439.876216216216,1850.0,41
09-03-2021,1413.436477007015,1283.0,29
10-03-2021,1410.8478818998717,1558.0,35
11-03-2021,1371.3057324840763,157.0,11
12-03-2021,1412.146570397112,1385.0,33
13-03-2021,1631.664705882353,170.0,11
14-03-2021,1387.0,30.0,3
15-03-2021,1395.800332778702,1202.0,28
16-03-2021,1409.4290322580646,310.0,10
17-03-2021,1352.162162162162,37.0,4
18-03-2021,1290.9638009049777,221.0,5
19-03-2021,1303.039660056657,353.0,12
20-03-2021,1394.8045325779035,353.0,13
21-03-2021,1360.0,30.0,3
22-03-2021,1411.9308681672026,1244.0,40
23-03-2021,1349.4332688588008,517.0,27
24-03-2021,1454.6985294117646,816.0,40
25-03-2021,1387.8602305475504,694.0,41
26-03-2021,1352.1980676328503,828.0,28
27-03-2021,1493.2287390029326,341.0,16
28-03-2021,1425.0,8.0,4
29-03-2021,1457.5,20.0,4
30-03-2021,1388.8478260869565,230.0,13
31-03-2021,1345.3193277310925,119.0,10
01-04-2021,1343.175084175084,297.0,21
02-04-2021,1355.7,160.0,9
03-04-2021,1299.031798245614,912.0,19
04-04-2021,1424.5934959349593,123.0,4
05-04-2021,1409.6608846487425,1153.0,44
06-04-2021,1385.3168202764978,868.0,42
07-04-2021,1397.9038686987103,853.0,43
08-04-2021,1377.3144611186904,1466.0,42
09-04-2021,1379.6789437109103,1439.0,35
10-04-2021,1542.5776397515529,161.0,9
11-04-2021,1366.0,25.0,3
12-04-2021,1387.8631705846897,1659.0,38
13-04-2021,1413.8257261410788,241.0,22
14-04-2021,1526.057142857143,175.0,9
15-04-2021,1430.637101811368,1601.0,42
16-04-2021,1436.4170681348933,1453.0,43
17-04-2021,1480.855789473684,950.0,20
18-04-2021,1404.6511627906978,43.0,3
19-04-2021,1477.436507936508,2142.0,38
20-04-2021,1483.0130813953488,1376.0,32
21-04-2021,1548.6387434554974,191.0,7
22-04-2021,1527.068261376896,1714.0,30
23-04-2021,1514.2426390403489,1834.0,29
24-04-2021,1500.7434210526317,456.0,12
25-04-2021,1459.357142857143,28.0,5
26-04-2021,1504.6304464766004,1859.0,38
27-04-2021,1445.3367346938776,1274.0,31
28-04-2021,1466.592972181552,2049.0,35
29-04-2021,1439.215582893966,1707.0,34
30-04-2021,1443.7252141982865,1634.0,27
01-05-2021,1439.1891891891892,111.0,4
02-05-2021,1476.457894736842,190.0,6
03-05-2021,1460.149299474606,2284.0,42
04-05-2021,1454.9813602015113,1985.0,44
05-05-2021,1453.3689862542956,2328.0,43
06-05-2021,1449.337889557135,1829.0,44
07-05-2021,1462.2834046600094,2103.0,43
08-05-2021,1458.1874386653585,1019.0,21
09-05-2021,1488.0530973451328,113.0,5
10-05-2021,1478.594017094017,2340.0,39
11-05-2021,1472.2545454545457,1265.0,25
12-05-2021,1478.1618357487923,1656.0,30
13-05-2021,1427.4205533596837,1265.0,25
14-05-2021,1413.252427184466,206.0,10
15-05-2021,1395.97703180212,566.0,13
16-05-2021,1460.0,100.0,4
17-05-2021,1447.2319801159902,1207.0,22
18-05-2021,1477.210717529519,1101.0,30
19-05-2021,1482.1073131955484,1258.0,30
20-05-2021,1468.6477272727273,1056.0,27
21-05-2021,1425.014705882353,1360.0,26
22-05-2021,1440.2021276595744,470.0,14
23-05-2021,1450.0,98.0,2
24-05-2021,1540.027397260274,1898.0,40
25-05-2021,1469.1699429296132,1577.0,38
26-05-2021,1555.522480620155,645.0,21
27-05-2021,1509.0772303595206,1502.0,40
28-05-2021,1494.2197802197802,1274.0,39
29-05-2021,1518.236338797814,732.0,21
30-05-2021,1465.891891891892,37.0,4
31-05-2021,1521.7158154859967,1214.0,36
01-06-2021,1508.7598978288634,783.0,41
02-06-2021,1528.0495356037152,646.0,44
03-06-2021,1527.007619047619,525.0,48
04-06-2021,1517.7808510638297,470.0,36
05-06-2021,1533.2820512820513,312.0,24
06-06-2021,1517.6470588235295,34.0,3
07-06-2021,1571.6789772727273,352.0,32
08-06-2021,1566.0345821325648,347.0,34
09-06-2021,1591.112121212121,330.0,42
10-06-2021,1604.8152424942264,433.0,32
11-06-2021,1607.0193905817175,361.0,36
12-06-2021,1710.2985074626863,201.0,21
13-06-2021,1645.6315789473683,57.0,4
14-06-2021,1584.0796963946868,527.0,48
15-06-2021,1665.199460916442,371.0,41
16-06-2021,1645.1508771929823,285.0,42
17-06-2021,1652.90332326284,331.0,40
18-06-2021,1619.958041958042,286.0,35
19-06-2021,1728.029197080292,137.0,22
20-06-2021,1682.5471698113208,53.0,4
21-06-2021,1643.6809210526317,608.0,47
22-06-2021,1754.5248756218905,402.0,33
23-06-2021,1754.0719602977667,403.0,30
24-06-2021,1810.2900943396223,424.0,32
25-06-2021,1793.8850174216027,287.0,32
26-06-2021,1811.8630952380952,168.0,23
27-06-2021,1700.0,27.0,2
28-06-2021,1793.1486068111456,323.0,38
29-06-2021,1798.6491228070176,114.0,23
30-06-2021,1757.8392857142858,168.0,24
01-07-2021,1764.8129496402878,139.0,21
02-07-2021,1829.485207100592,169.0,22
03-07-2021,1797.9239130434785,92.0,17
04-07-2021,1775.0,12.0,2
05-07-2021,1799.452380952381,126.0,26
06-07-2021,1878.9105691056911,123.0,24
07-07-2021,1753.2535211267605,71.0,28
08-07-2021,1861.512,125.0,28
09-07-2021,1893.657894736842,114.0,21
10-07-2021,1930.8867924528304,53.0,10
12-07-2021,1833.3522727272727,176.0,30
13-07-2021,1765.9583333333333,96.0,21
14-07-2021,1804.1206896551723,58.0,20
15-07-2021,1857.8,170.0,24
16-07-2021,1735.5454545454545,55.0,15
17-07-2021,1839.631067961165,103.0,17
18-07-2021,1897.4,15.0,2
19-07-2021,1828.5,160.0,25
20-07-2021,1795.3846153846157,13.0,5
21-07-2021,2085.2631578947367,95.0,2
22-07-2021,1873.225806451613,124.0,23
23-07-2021,1789.6813186813188,91.0,21
24-07-2021,1809.025,40.0,10
25-07-2021,1940.0,10.0,1
26-07-2021,1839.044776119403,134.0,26
27-07-2021,1875.637362637363,91.0,17
28-07-2021,1793.0310559006211,161.0,21
29-07-2021,1801.9276315789475,152.0,27
30-07-2021,1772.1323529411766,68.0,19
31-07-2021,1864.0,42.0,16
01-08-2021,1781.578947368421,19.0,2
02-08-2021,1801.783783783784,74.0,25
03-08-2021,1950.9,120.0,17
04-08-2021,1843.6666666666667,63.0,19
05-08-2021,1820.3958333333333,48.0,14
06-08-2021,1848.914893617021,94.0,18
07-08-2021,1979.4183673469388,98.0,14
08-08-2021,1785.9375,16.0,4
09-08-2021,1834.3164556962024,79.0,23
10-08-2021,1955.481132075472,106.0,25
11-08-2021,1503.5436893203882,103.0,22
12-08-2021,1921.1968503937007,127.0,19
13-08-2021,1881.65625,64.0,18
14-08-2021,2763.0,58.0,14
16-08-2021,1973.397727272728,88.0,9
17-08-2021,1769.428571428571,70.0,18
18-08-2021,1893.5,74.0,18
19-08-2021,1940.9722222222224,36.0,6
20-08-2021,1942.3030303030305,33.0,13
21-08-2021,1929.915254237288,59.0,11
23-08-2021,1894.135593220339,59.0,19
24-08-2021,1926.0,43.0,13
25-08-2021,1865.9545454545453,44.0,18
26-08-2021,1836.7945205479448,73.0,14
27-08-2021,1790.5416666666667,24.0,14
28-08-2021,2914.495652173913,115.0,12
29-08-2021,1708.3333333333333,6.0,2
30-08-2021,1901.692307692308,78.0,25
31-08-2021,1927.142857142857,14.0,6
01-09-2021,1732.6296296296296,108.0,26
02-09-2021,1956.151079136691,139.0,22
03-09-2021,1799.137254901961,51.0,18
04-09-2021,1989.6615384615384,130.0,14
05-09-2021,1666.6666666666667,3.0,2
06-09-2021,2126.904761904762,21.0,6
07-09-2021,1951.622641509434,53.0,14
08-09-2021,1899.7792207792209,77.0,19
09-09-2021,1842.6382978723404,47.0,17
10-09-2021,1760.0,5.0,3
11-09-2021,1763.0,19.0,11
12-09-2021,1750.0,11.0,1
13-09-2021,1616.7125,80.0,19
14-09-2021,1805.1447368421047,76.0,15
15-09-2021,1707.2626262626263,99.0,21
16-09-2021,1673.8878504672898,107.0,18
17-09-2021,1786.358208955224,67.0,13
18-09-2021,1575.287037037037,108.0,16
20-09-2021,1665.0207100591715,338.0,25
21-09-2021,1355.0407523510971,319.0,22
22-09-2021,1453.111111111111,144.0,25
23-09-2021,1486.8265306122448,196.0,23
24-09-2021,1434.2841530054643,183.0,21
25-09-2021,1665.6896551724135,29.0,13
26-09-2021,1778.3333333333333,60.0,3
27-09-2021,1608.1542416452442,389.0,23
28-09-2021,1552.960396039604,101.0,16
29-09-2021,1587.354838709677,155.0,22
30-09-2021,1584.1502590673574,386.0,25
01-10-2021,1503.755263157895,380.0,26
02-10-2021,1955.2631578947369,19.0,6
03-10-2021,1687.8947368421052,95.0,4
04-10-2021,1540.8706786171574,781.0,40
05-10-2021,1540.9448160535117,598.0,27
06-10-2021,1419.095238095238,315.0,19
07-10-2021,1558.5028735632184,1044.0,33
08-10-2021,1533.2537067545304,607.0,32
09-10-2021,1569.2570888468808,529.0,22
10-10-2021,1590.6641791044776,134.0,8
11-10-2021,1363.9831932773109,119.0,14
12-10-2021,1554.0025624599616,1561.0,34
13-10-2021,1517.641749723145,1806.0,35
14-10-2021,1505.5061494796594,2114.0,34
15-10-2021,1512.2259259259258,270.0,14
16-10-2021,1550.5986301369862,1460.0,24
17-10-2021,1521.15,100.0,5
18-10-2021,1571.753711790393,3435.0,43
19-10-2021,1566.3636363636365,297.0,15
20-10-2021,1571.797078931013,3218.0,38
21-10-2021,1567.1479015918958,3455.0,43
22-10-2021,1527.6493192133132,3305.0,38
23-10-2021,1528.6533135509396,2022.0,34
24-10-2021,1552.929104477612,268.0,6
25-10-2021,1541.1616757846243,6946.0,47
26-10-2021,1433.9126390293225,4945.0,41
27-10-2021,1439.6667205169629,6190.0,41
28-10-2021,1510.4720105509964,6824.0,44
29-10-2021,1472.9973627055538,6446.0,38
30-10-2021,1481.5377866400795,5015.0,30
31-10-2021,1590.3646496815286,628.0,13
01-11-2021,1443.88,3250.0,40
02-11-2021,1556.132911392405,790.0,19
03-11-2021,1557.2469135802469,162.0,14
04-11-2021,1500.0,10.0,1
05-11-2021,1563.3063457330416,457.0,22
06-11-2021,1500.842105263158,76.0,12
07-11-2021,1413.029411764706,68.0,8
08-11-2021,1517.4192033070274,5322.0,53
09-11-2021,1509.089178987103,6358.0,51
10-11-2021,1525.816295248202,8481.0,52
11-11-2021,1498.4226525557308,8882.0,52
12-11-2021,1510.109554140127,9420.0,46
13-11-2021,1512.102820932134,4892.0,35
14-11-2021,1496.6666666666667,549.0,11
15-11-2021,1503.333051635257,11833.0,51
16-11-2021,1458.6418716946423,8698.0,41
17-11-2021,1483.6957815867802,9743.0,46
18-11-2021,1505.8741067675494,4758.0,38
19-11-2021,1474.8015384615385,1300.0,20
20-11-2021,1453.643522833178,2146.0,31
21-11-2021,1604.1019417475727,206.0,8
22-11-2021,1542.546263089944,6971.0,50
23-11-2021,1527.7568306010928,5856.0,46
24-11-2021,1539.2031156381067,8345.0,46
25-11-2021,1547.7007255858214,8407.0,52
26-11-2021,1580.1413257762445,8116.0,42
27-11-2021,1595.993273542601,4014.0,32
28-11-2021,1596.372641509434,636.0,11
29-11-2021,1609.7454897993591,11862.0,50
30-11-2021,1568.6820137299771,10925.0,48
01-12-2021,1547.8049450549452,3276.0,45
02-12-2021,1547.326299924642,1327.0,26
03-12-2021,1547.3116793365584,1447.0,34
04-12-2021,1540.7339246119734,902.0,25
05-12-2021,1603.2750809061488,309.0,11
06-12-2021,1577.5052891396333,8508.0,52
07-12-2021,1594.2819409407923,6739.0,41
08-12-2021,1571.0219147758717,9035.0,48
09-12-2021,1573.2681928635377,7819.0,47
10-12-2021,1579.966587445827,7153.0,45
11-12-2021,1560.8098558809857,2151.0,32
12-12-2021,1510.9115913555993,509.0,8
13-12-2021,1598.9267690927445,8917.0,52
14-12-2021,1573.0933758978451,7518.0,44
15-12-2021,1575.626325316783,7734.0,45
16-12-2021,1561.1594816525533,7794.0,55
17-12-2021,1562.581164221486,6339.0,47
18-12-2021,1532.290196078431,1785.0,30
19-12-2021,1702.7287581699347,306.0,7
20-12-2021,1594.96600877193,6384.0,56
21-12-2021,1587.788531278332,4412.0,38
22-12-2021,1588.2988060164366,6449.0,51
23-12-2021,1604.7284221173295,5932.0,52
24-12-2021,1558.479584120983,5290.0,38
25-12-2021,1645.1703617269543,857.0,14
26-12-2021,1537.2254641909817,377.0,8
27-12-2021,1606.355665181413,6284.0,50
28-12-2021,1592.5062811092675,4219.0,36
29-12-2021,1600.3721244925575,4434.0,40
30-12-2021,1599.0015978087197,4381.0,45
31-12-2021,1609.675468483816,2348.0,36
01-01-2022,1617.46,1544.0,31
02-01-2022,1582.22,255.0,5
03-01-2022,1618.81,4850.0,44
04-01-2022,1613.84,3345.0,36
05-01-2022,1619.29,2384.0,24
06-01-2022,1628.34,3591.0,27
07-01-2022,1641.52,3747.0,41
08-01-2022,1629.39,2142.0,27
09-01-2022,1667.97,88.0,3
10-01-2022,1644.51,3736.0,42
11-01-2022,1655.5,3173.0,34
12-01-2022,1657.53,1069.0,25
13-01-2022,1708.29,1726.0,21
14-01-2022,1699.14,830.0,23
15-01-2022,1796.64,143.0,12
16-01-2022,1641.64,123.0,4
17-01-2022,1757.96,3106.0,45
18-01-2022,1737.18,1909.0,32
19-01-2022,1773.28,3094.0,35
20-01-2022,1881.4,3034.0,38
21-01-2022,1804.53,3186.0,38
22-01-2022,1788.95,2274.0,28
23-01-2022,1812.0,181.0,8
24-01-2022,1810.22,3727.0,44
25-01-2022,1823.06,2841.0,34
26-01-2022,1730.21,24.0,4
27-01-2022,1867.99,3291.0,40
28-01-2022,1866.83,3275.0,41
29-01-2022,1883.84,1640.0,22
30-01-2022,1800.0,22.0,1
31-01-2022,1884.83,3779.0,32
01-02-2022,1841.24,1977.0,37
02-02-2022,1835.24,3951.0,41
03-02-2022,1827.45,3479.0,37
04-02-2022,1822.86,2825.0,45
05-02-2022,1803.49,2018.0,29
06-02-2022,1774.72,127.0,4
07-02-2022,1819.83,2342.0,29
08-02-2022,1788.36,2877.0,44
09-02-2022,1808.29,3256.0,40
10-02-2022,1825.76,2742.0,38
11-02-2022,1819.82,2637.0,44
12-02-2022,1496.22,1923.0,25
13-02-2022,1794.39,90.0,6
14-02-2022,1861.29,2766.0,39
15-02-2022,1847.74,1816.0,35
16-02-2022,1882.69,2338.0,34
17-02-2022,1881.13,1601.0,36
18-02-2022,1894.5,1632.0,40
19-02-2022,1883.96,46.0,5
20-02-2022,1790.82,79.0,5
21-02-2022,1904.82,2056.0,41
22-02-2022,1861.36,1070.0,31
23-02-2022,1888.65,1602.0,36
24-02-2022,1908.33,1347.0,32
25-02-2022,1903.77,1206.0,35
26-02-2022,1974.48,645.0,22
27-02-2022,1917.37,35.0,4
28-02-2022,1977.69,1675.0,34
01-03-2022,2003.71,106.0,6
02-03-2022,2025.74,891.0,34
03-03-2022,1998.42,1111.0,37
04-03-2022,2018.43,1303.0,33
05-03-2022,2066.38,700.0,23
06-03-2022,1848.27,90.0,5
07-03-2022,2065.96,1845.0,46
08-03-2022,2048.74,824.0,31
09-03-2022,2166.27,557.0,30
10-03-2022,2134.98,807.0,34
11-03-2022,2133.33,837.0,36
12-03-2022,2178.9,610.0,23
13-03-2022,2096.7,91.0,4
14-03-2022,2201.01,1310.0,38
15-03-2022,2099.17,1307.0,31
16-03-2022,2141.86,1388.0,35
17-03-2022,2135.21,593.0,27
18-03-2022,2099.4,121.0,9
19-03-2022,2109.05,720.0,25
20-03-2022,2002.99,117.0,4
21-03-2022,2089.09,1773.0,34
22-03-2022,1956.99,1093.0,32
23-03-2022,2044.51,1621.0,33
24-03-2022,2058.97,1547.0,33
25-03-2022,2005.76,1373.0,34
26-03-2022,2047.31,738.0,22
27-03-2022,1802.78,178.0,4
28-03-2022,2022.72,1124.0,29
29-03-2022,1998.47,1265.0,22
30-03-2022,2040.08,769.0,17
31-03-2022,1979.57,473.0,19
01-04-2022,2101.17,544.0,17
02-04-2022,2164.37,169.0,16
03-04-2022,2063.77,236.0,4
04-04-2022,1975.31,2328.0,42
05-04-2022,2024.91,2065.0,38
06-04-2022,2111.87,1856.0,32
07-04-2022,2130.74,2648.0,38
08-04-2022,2191.66,2524.0,40
09-04-2022,2087.24,1006.0,28
10-04-2022,2195.3,87.0,4
11-04-2022,2194.56,2908.0,45
12-04-2022,2188.38,2272.0,32
13-04-2022,2253.49,2160.0,31
14-04-2022,2288.1,21.0,3
15-04-2022,2246.62,234.0,14
16-04-2022,2249.63,562.0,19
17-04-2022,2159.84,160.0,4
18-04-2022,2273.37,2776.0,52
19-04-2022,2242.51,1667.0,34
20-04-2022,2236.64,2332.0,34
21-04-2022,2173.9,1713.0,37
22-04-2022,2165.12,1416.0,36
23-04-2022,2177.35,723.0,27
24-04-2022,2086.58,121.0,6
25-04-2022,2172.17,1691.0,37
26-04-2022,2133.13,1502.0,38
27-04-2022,2186.96,1909.0,36
28-04-2022,2175.06,1916.0,41
29-04-2022,2130.85,1785.0,36
30-04-2022,2145.33,399.0,17
01-05-2022,2193.33,15.0,2
02-05-2022,2123.45,2968.0,42
03-05-2022,2184.91,47.0,7
04-05-2022,2116.85,1723.0,35
05-05-2022,2143.01,1655.0,39
06-05-2022,2173.8,2087.0,30
07-05-2022,2131.05,740.0,18
08-05-2022,2034.05,383.0,7
09-05-2022,2134.42,2061.0,39
10-05-2022,2156.48,1732.0,35
11-05-2022,2146.23,1032.0,31
12-05-2022,2151.42,497.0,16
13-05-2022,2209.08,1801.0,21
14-05-2022,2201.5,929.0,24
15-05-2022,2173.77,69.0,5
16-05-2022,2040.63,440.0,16
17-05-2022,2128.27,2360.0,39
18-05-2022,2116.3,2801.0,41
19-05-2022,2150.2,2633.0,44
20-05-2022,2115.46,2292.0,38
21-05-2022,2149.32,1443.0,28
22-05-2022,1937.25,171.0,5
23-05-2022,2114.63,3140.0,48
24-05-2022,2111.36,2092.0,39
25-05-2022,2103.19,1950.0,35
26-05-2022,2078.12,1915.0,42
27-05-2022,2041.81,1603.0,38
28-05-2022,1976.39,1029.0,29
29-05-2022,1989.47,38.0,2
30-05-2022,2006.57,900.0,29
31-05-2022,1990.13,2000.0,38
01-06-2022,1982.47,1136.0,34
02-06-2022,2026.41,363.0,11
03-06-2022,1989.64,355.0,22
04-06-2022,2003.89,498.0,19
05-06-2022,2092.55,47.0,6
06-06-2022,2044.0,427.0,28
07-06-2022,2129.31,675.0,37
08-06-2022,2227.19,763.0,30
09-06-2022,2227.19,563.0,34
10-06-2022,2237.22,450.0,41
11-06-2022,2209.94,393.0,31
12-06-2022,2177.18,44.0,5
13-06-2022,2199.08,414.0,41
14-06-2022,2143.2,419.0,29
15-06-2022,2201.38,220.0,30
16-06-2022,2269.22,249.0,24
17-06-2022,2163.21,160.0,29
18-06-2022,2156.25,158.0,23
19-06-2022,2245.0,28.0,4
20-06-2022,2248.61,246.0,34
21-06-2022,2215.17,172.0,29
22-06-2022,2256.62,201.0,29
23-06-2022,2265.18,159.0,33
24-06-2022,2220.28,115.0,29
25-06-2022,2337.78,141.0,20
26-06-2022,2400.0,14.0,3
27-06-2022,2280.9,134.0,29
28-06-2022,2335.33,147.0,22
29-06-2022,2260.38,118.0,28
30-06-2022,2259.11,97.0,25
01-07-2022,2289.01,92.0,15
02-07-2022,2388.58,74.0,8
03-07-2022,2488.25,8.0,2
04-07-2022,2306.27,104.0,29
05-07-2022,2337.57,110.0,27
06-07-2022,2311.9,109.0,29
07-07-2022,2382.44,98.0,21
08-07-2022,2370.91,79.0,16
09-07-2022,2351.13,97.0,19
10-07-2022,2375.14,14.0,4
11-07-2022,2364.49,76.0,17
12-07-2022,2340.03,92.0,22
13-07-2022,2298.84,67.0,21
14-07-2022,2398.78,112.0,20
15-07-2022,2339.82,80.0,18
16-07-2022,2240.7,47.0,11
17-07-2022,2392.86,14.0,3
18-07-2022,2393.39,106.0,21
19-07-2022,2555.09,110.0,18
20-07-2022,2471.94,125.0,20
21-07-2022,2172.16,162.0,19
22-07-2022,2871.36,117.0,20
23-07-2022,2358.74,54.0,17
24-07-2022,2409.09,11.0,3
25-07-2022,2459.03,117.0,22
26-07-2022,2561.81,118.0,18
27-07-2022,2310.18,87.0,20
28-07-2022,2415.63,118.0,14
29-07-2022,2606.15,101.0,11
30-07-2022,2347.12,25.0,7
31-07-2022,2400.5,10.0,3
01-08-2022,2430.46,63.0,16
02-08-2022,2224.75,122.0,14
03-08-2022,2494.1,130.0,17
04-08-2022,2443.35,86.0,24
05-08-2022,2286.25,67.0,23
06-08-2022,2085.83,60.0,12
07-08-2022,2339.47,19.0,3
08-08-2022,2229.97,88.0,25
09-08-2022,2473.64,11.0,5
10-08-2022,2390.13,68.0,19
11-08-2022,2459.89,18.0,7
12-08-2022,2476.25,65.0,16
13-08-2022,2438.74,35.0,15
14-08-2022,2375.0,14.0,2
15-08-2022,2400.0,2.0,1
16-08-2022,2695.64,25.0,5
17-08-2022,2432.01,71.0,18
18-08-2022,2479.12,75.0,20
19-08-2022,2369.46,24.0,12
20-08-2022,2660.55,67.0,10
21-08-2022,2482.5,20.0,3
22-08-2022,2521.41,135.0,24
23-08-2022,2591.99,112.0,14
24-08-2022,2543.81,88.0,18
25-08-2022,2376.54,72.0,21
26-08-2022,2540.0,14.0,3
27-08-2022,2361.0,6.0,6
28-08-2022,2400.0,2.0,1
29-08-2022,2433.05,21.0,13
30-08-2022,2463.54,28.0,10
01-09-2022,2130.41,74.0,6
02-09-2022,2242.15,41.0,10
03-09-2022,2427.29,21.0,10
04-09-2022,2456.82,11.0,2
05-09-2022,2662.08,75.0,9
06-09-2022,2335.18,22.0,10
07-09-2022,2570.48,84.0,15
08-09-2022,2478.12,85.0,15
09-09-2022,2318.75,8.0,3
10-09-2022,2281.3,23.0,7
11-09-2022,2400.0,5.0,1
12-09-2022,2654.77,13.0,3
13-09-2022,2769.13,38.0,6
14-09-2022,2110.65,17.0,5
15-09-2022,2570.41,98.0,18
16-09-2022,2850.72,58.0,8
17-09-2022,2681.61,41.0,8
18-09-2022,2350.0,8.0,1
19-09-2022,2675.23,22.0,7
20-09-2022,2227.22,41.0,9
21-09-2022,2103.94,34.0,7
22-09-2022,2304.27,119.0,18
23-09-2022,2345.23,136.0,16
24-09-2022,2084.25,60.0,10
25-09-2022,2400.96,26.0,2
26-09-2022,2090.89,181.0,8
27-09-2022,2019.74,276.0,11
28-09-2022,1760.21,413.0,24
29-09-2022,1982.87,565.0,27
30-09-2022,2164.96,216.0,18
01-10-2022,2092.72,337.0,12
02-10-2022,2097.56,41.0,3
03-10-2022,1931.3,1258.0,22
04-10-2022,1978.92,1170.0,27
05-10-2022,2000.63,430.0,13
06-10-2022,1942.9,2103.0,35
07-10-2022,1835.25,563.0,27
08-10-2022,2018.83,716.0,15
09-10-2022,2057.07,60.0,4
10-10-2022,1904.4,1351.0,29
11-10-2022,1879.27,1430.0,17
12-10-2022,1920.49,1683.0,36
13-10-2022,1800.56,2133.0,35
14-10-2022,1914.3,1952.0,30
15-10-2022,1875.84,2002.0,25
16-10-2022,1938.52,122.0,6
17-10-2022,1893.14,5109.0,45
18-10-2022,1899.26,4495.0,34
19-10-2022,1816.67,4111.0,37
20-10-2022,1810.61,3526.0,41
21-10-2022,1862.31,3683.0,33
22-10-2022,2054.46,228.0,16
23-10-2022,1807.27,22.0,6
24-10-2022,1934.85,33.0,5
25-10-2022,1974.71,52.0,6
26-10-2022,2005.35,358.0,15
27-10-2022,1834.45,1283.0,31
28-10-2022,1899.22,2788.0,32
29-10-2022,1923.65,1155.0,26
30-10-2022,2003.34,254.0,9
31-10-2022,1875.65,7997.0,53
01-11-2022,1774.92,6447.0,44
02-11-2022,1832.5,7317.0,46
03-11-2022,1858.38,7846.0,50
04-11-2022,1831.45,5679.0,41
05-11-2022,1900.44,4560.0,39
06-11-2022,1894.97,974.0,9
07-11-2022,1951.7,9846.0,54
08-11-2022,1921.35,1519.0,22
09-11-2022,1936.67,12749.0,58
10-11-2022,1925.25,10654.0,56
11-11-2022,1878.86,8486.0,43
12-11-2022,1928.58,3628.0,29
13-11-2022,2037.6,669.0,7
14-11-2022,1953.57,7110.0,28
15-11-2022,1969.05,7969.0,42
16-11-2022,1926.98,10057.0,59
17-11-2022,1962.43,9671.0,56
18-11-2022,1958.68,7799.0,57
19-11-2022,1885.93,4173.0,41
20-11-2022,1909.23,483.0,9
21-11-2022,2014.06,6738.0,43
22-11-2022,1984.52,8802.0,40
23-11-2022,2012.62,8745.0,48
24-11-2022,1994.83,7188.0,43
25-11-2022,1996.1,6701.0,28
26-11-2022,1957.89,3023.0,35
27-11-2022,1736.13,144.0,5
