Date,Year,Month,Commodity,Weighted_Min_Price,Weighted_Max_Price,Weighted_Modal_Price,Total_Arrivals_MT,Markets_Reported
2021-01-27,2021,January,Cotton,5362.92,5842.74,5619.31,4298.0,25
2021-01-28,2021,January,Cotton,5317.37,5815.9,5592.47,4341.0,25
2021-01-29,2021,January,Cotton,5309.65,5772.92,5562.39,4233.0,26
2021-01-30,2021,January,Cotton,5317.0,5823.12,5610.35,2431.0,21
2021-01-31,2021,January,Cotton,5246.62,5738.07,5486.73,397.0,8
2021-02-01,2021,February,Cotton,5265.66,5872.82,5572.56,3959.0,22
2021-02-02,2021,February,Cotton,5310.54,5841.49,5618.01,3759.0,25
2021-02-03,2021,February,Cotton,5281.45,5873.17,5641.09,2998.0,25
2021-02-04,2021,February,Cotton,5362.46,5871.52,5633.09,2663.0,20
2021-02-05,2021,February,Cotton,5419.25,5906.13,5755.81,1732.0,18
2021-02-06,2021,February,Cotton,5015.3,5788.13,5525.24,2035.0,11
2021-02-07,2021,February,Cotton,5506.32,5908.77,5754.57,361.0,6
2021-02-08,2021,February,Cotton,5431.88,6009.37,5790.07,1818.0,16
2021-02-09,2021,February,Cotton,5363.75,5991.78,5699.22,3592.0,27
2021-02-10,2021,February,Cotton,5416.29,6116.33,5859.04,2816.0,27
2021-02-11,2021,February,Cotton,5398.31,6110.22,5801.26,2730.0,22
2021-02-12,2021,February,Cotton,5457.54,6102.49,5861.11,2756.0,24
2021-02-13,2021,February,Cotton,5473.57,6092.82,5837.18,3059.0,20
2021-02-14,2021,February,Cotton,5585.28,6042.48,5786.1,478.0,11
2021-02-15,2021,February,Cotton,4429.63,6099.28,5798.35,3316.0,24
2021-02-16,2021,February,Cotton,5335.15,6155.42,5796.83,2443.0,24
2021-02-17,2021,February,Cotton,5113.06,6193.07,5742.95,1856.0,19
2021-02-18,2021,February,Cotton,5304.11,6225.13,5806.33,2401.0,20
2021-02-19,2021,February,Cotton,5385.43,6090.41,5775.92,897.0,12
2021-02-20,2021,February,Cotton,5370.52,6228.29,5891.24,1693.0,19
2021-02-21,2021,February,Cotton,5648.13,6131.26,5908.45,493.0,7
2021-02-22,2021,February,Cotton,4991.83,6308.73,5978.48,2986.0,22
2021-02-23,2021,February,Cotton,5350.81,6309.07,5912.02,3286.0,24
2021-02-24,2021,February,Cotton,5295.64,6294.65,5933.65,3156.0,24
2021-02-25,2021,February,Cotton,5379.54,6320.31,5971.13,3263.0,23
2021-02-26,2021,February,Cotton,5333.35,6306.63,5930.92,2660.0,22
2021-02-27,2021,February,Cotton,5359.46,6243.75,5898.09,1858.0,17
2021-02-28,2021,February,Cotton,5501.42,6076.97,5904.16,461.0,8
2021-03-01,2021,March,Cotton,5311.6,6314.38,5946.23,1763.0,17
2021-03-02,2021,March,Cotton,5224.76,6259.65,5873.27,2249.0,19
2021-03-03,2021,March,Cotton,5327.45,6309.86,5932.15,1746.0,19
2021-03-04,2021,March,Cotton,5463.07,6285.26,5980.63,2166.0,19
2021-03-05,2021,March,Cotton,5255.93,6281.68,5863.27,1630.0,20
2021-03-06,2021,March,Cotton,5295.75,6329.98,5936.92,1185.0,16
2021-03-07,2021,March,Cotton,5812.15,6130.7,5981.64,214.0,6
2021-03-08,2021,March,Cotton,5182.47,6457.75,5926.24,1593.0,16
2021-03-09,2021,March,Cotton,5217.99,6402.68,5868.77,1531.0,18
2021-03-10,2021,March,Cotton,5140.12,6381.12,5838.79,1390.0,19
2021-03-11,2021,March,Cotton,5548.99,6122.22,5881.85,367.0,8
2021-03-12,2021,March,Cotton,5162.57,6465.1,5796.84,973.0,14
2021-03-13,2021,March,Cotton,5794.86,6281.45,6090.12,321.0,7
2021-03-14,2021,March,Cotton,5826.88,6170.38,6021.23,146.0,4
2021-03-15,2021,March,Cotton,4991.13,6550.35,5618.27,813.0,9
2021-03-16,2021,March,Cotton,5856.25,6612.81,6421.88,80.0,2
2021-03-17,2021,March,Cotton,6172.55,6276.47,6222.55,51.0,2
2021-03-18,2021,March,Cotton,5470.06,6447.4,6275.8,206.0,4
2021-03-19,2021,March,Cotton,4819.68,6599.69,5855.52,519.0,7
2021-03-20,2021,March,Cotton,5022.69,6462.17,5812.34,563.0,10
2021-03-21,2021,March,Cotton,5579.89,6123.08,5862.09,91.0,5
2021-03-22,2021,March,Cotton,4906.22,6364.33,5676.89,643.0,10
2021-03-23,2021,March,Cotton,4921.89,6355.08,5601.85,573.0,12
2021-03-24,2021,March,Cotton,4925.17,6155.03,5633.5,606.0,12
2021-03-25,2021,March,Cotton,4646.98,6313.33,5646.14,658.0,9
2021-03-26,2021,March,Cotton,4706.15,6299.34,5678.0,731.0,11
2021-03-27,2021,March,Cotton,4941.12,6374.11,5709.08,393.0,7
2021-03-28,2021,March,Cotton,5991.67,6216.67,6118.75,12.0,2
2021-03-30,2021,March,Cotton,5262.36,6079.04,5879.92,178.0,5
2021-03-31,2021,March,Cotton,4882.64,6282.33,5628.85,484.0,9
2021-04-01,2021,April,Cotton,4976.13,6249.32,5572.38,466.0,10
2021-04-02,2021,April,Cotton,4698.3,6186.16,5626.56,176.0,6
2021-04-03,2021,April,Cotton,4820.33,6404.19,5544.85,550.0,8
2021-04-04,2021,April,Cotton,5197.78,6175.62,5696.67,90.0,4
2021-04-05,2021,April,Cotton,4784.64,6533.96,5720.1,781.0,9
2021-04-06,2021,April,Cotton,4536.3,6504.77,5613.76,617.0,9
2021-04-07,2021,April,Cotton,4915.37,6552.4,5625.08,807.0,10
2021-04-08,2021,April,Cotton,4850.5,6611.8,5596.79,707.0,9
2021-04-09,2021,April,Cotton,4931.92,6667.39,5854.99,520.0,9
2021-04-10,2021,April,Cotton,5108.2,6290.98,6057.38,61.0,3
2021-04-11,2021,April,Cotton,5388.24,5843.24,5632.35,17.0,3
2021-04-12,2021,April,Cotton,5268.27,6657.09,6025.45,549.0,7
2021-04-13,2021,April,Cotton,5690.32,6292.74,5946.77,31.0,3
2021-04-14,2021,April,Cotton,5633.93,6185.18,5901.79,56.0,4
2021-04-15,2021,April,Cotton,4631.23,6672.63,5533.58,411.0,6
2021-04-16,2021,April,Cotton,4653.64,6653.58,5650.08,494.0,7
2021-04-17,2021,April,Cotton,4336.75,6551.79,5330.41,246.0,3
2021-04-18,2021,April,Cotton,5600.0,6550.0,6000.0,11.0,1
2021-04-19,2021,April,Cotton,4492.83,6543.91,5587.81,558.0,6
2021-04-20,2021,April,Cotton,4470.77,6644.16,5582.93,400.0,5
2021-04-21,2021,April,Cotton,5352.94,6442.35,5917.65,17.0,2
2021-04-22,2021,April,Cotton,4544.56,6607.37,5643.84,395.0,6
2021-04-23,2021,April,Cotton,4366.57,6601.41,5588.78,347.0,5
2021-04-24,2021,April,Cotton,4400.87,6649.49,5511.12,196.0,4
2021-04-25,2021,April,Cotton,5600.0,6550.0,6000.0,7.0,1
2021-04-26,2021,April,Cotton,4307.14,6656.27,5493.43,378.0,5
2021-04-27,2021,April,Cotton,4321.78,6647.51,5464.76,225.0,5
2021-04-28,2021,April,Cotton,4184.6,6801.45,5526.07,276.0,5
2021-04-29,2021,April,Cotton,4128.53,6625.78,5447.01,204.0,4
2021-04-30,2021,April,Cotton,4390.29,6466.33,5470.46,206.0,5
2021-05-01,2021,May,Cotton,5600.0,6450.0,6000.0,3.0,1
2021-05-02,2021,May,Cotton,5700.0,6470.0,6000.0,2.0,1
2021-05-03,2021,May,Cotton,5480.36,6373.81,6103.1,42.0,3
2021-05-04,2021,May,Cotton,4725.0,6400.0,6081.25,16.0,2
2021-05-05,2021,May,Cotton,5088.24,6255.88,5914.71,34.0,4
2021-05-06,2021,May,Cotton,5600.0,6400.0,6000.0,5.0,1
2021-05-07,2021,May,Cotton,5133.33,6166.67,6033.33,15.0,2
2021-05-15,2021,May,Cotton,5500.0,6200.0,5925.0,3.0,1
2021-05-16,2021,May,Cotton,4500.0,5500.0,5000.0,3.0,1
2021-05-18,2021,May,Cotton,5550.0,6220.0,5930.0,27.0,1
2021-05-21,2021,May,Cotton,5530.0,6150.0,5900.0,6.0,1
2021-06-01,2021,June,Cotton,5550.0,6220.0,5930.0,13.0,1
2021-06-05,2021,June,Cotton,5560.0,6200.0,5920.0,1.0,1
2021-06-14,2021,June,Cotton,5510.0,6130.0,5760.0,2.0,1
2021-06-17,2021,June,Cotton,5500.0,6150.0,5825.0,2.0,1
2021-06-18,2021,June,Cotton,5100.0,5100.0,5100.0,18.0,1
2021-07-10,2021,July,Cotton,5550.0,6100.0,5820.0,2.0,1
2021-08-04,2021,August,Cotton,5460.0,6050.0,5850.0,1.0,1
2021-08-07,2021,August,Cotton,100.0,11111.0,120.0,111.0,1
2021-08-13,2021,August,Cotton,5450.0,6030.0,5850.0,1.0,1
2021-09-22,2021,September,Cotton,4820.0,5530.0,5130.0,2.0,1
2021-09-24,2021,September,Cotton,4820.0,5530.0,5130.0,1.0,1
2021-09-25,2021,September,Cotton,4820.0,5530.0,5130.0,1.0,1
2021-09-26,2021,September,Cotton,4800.0,5500.0,5120.0,1.0,1
2021-09-30,2021,September,Cotton,4820.0,5610.0,5150.0,24.0,1
2021-10-01,2021,October,Cotton,4820.0,5610.0,5180.0,16.0,1
2021-10-11,2021,October,Cotton,5706.67,6220.0,6103.33,15.0,3
2021-10-12,2021,October,Cotton,5987.1,6421.26,6177.42,31.0,2
2021-10-13,2021,October,Cotton,6281.14,6409.94,6311.84,158.0,4
2021-10-14,2021,October,Cotton,6279.89,6514.02,6383.54,82.0,5
2021-10-15,2021,October,Cotton,6553.76,6730.13,6673.89,515.0,5
2021-10-16,2021,October,Cotton,6280.0,6679.89,6486.3,64.0,6
2021-10-17,2021,October,Cotton,6359.92,6676.22,6493.88,50.0,5
2021-10-18,2021,October,Cotton,6660.64,7163.41,6893.86,412.0,10
2021-10-19,2021,October,Cotton,6712.43,7109.88,6935.19,216.0,8
2021-10-20,2021,October,Cotton,6737.37,7224.11,7007.54,827.0,14
2021-10-21,2021,October,Cotton,6810.44,7329.65,7088.72,1197.0,17
2021-10-22,2021,October,Cotton,6965.76,7387.16,7197.7,1435.0,17
2021-10-23,2021,October,Cotton,6796.49,7476.33,7154.45,846.0,14
2021-10-24,2021,October,Cotton,7364.02,7687.15,7534.64,107.0,7
2021-10-25,2021,October,Cotton,7439.03,8010.1,7755.22,2765.0,22
2021-10-26,2021,October,Cotton,7532.23,8045.47,7724.58,2091.0,19
2021-10-27,2021,October,Cotton,7463.12,8060.03,7771.5,2715.0,20
2021-10-28,2021,October,Cotton,7743.14,8106.62,7919.73,3598.0,22
2021-10-29,2021,October,Cotton,7841.48,8217.92,8027.71,3479.0,20
2021-10-30,2021,October,Cotton,7816.1,8320.5,8061.8,3878.0,19
2021-10-31,2021,October,Cotton,7916.74,8221.24,8071.35,466.0,9
2021-11-01,2021,November,Cotton,8047.57,8532.76,8254.97,5399.0,22
2021-11-02,2021,November,Cotton,8194.7,8579.87,8405.27,4978.0,24
2021-11-03,2021,November,Cotton,8187.66,8553.52,8407.72,3590.0,24
2021-11-04,2021,November,Cotton,8265.69,8432.65,8335.25,153.0,7
2021-11-05,2021,November,Cotton,7918.29,8237.33,8049.07,161.0,6
2021-11-06,2021,November,Cotton,7985.47,8303.97,8159.98,653.0,14
2021-11-07,2021,November,Cotton,7941.8,8311.96,8114.1,311.0,7
2021-11-08,2021,November,Cotton,8017.93,8333.41,8194.39,3455.0,24
2021-11-09,2021,November,Cotton,8016.28,8328.87,8171.32,4049.0,28
2021-11-10,2021,November,Cotton,7953.48,8279.38,8135.35,4334.0,29
2021-11-11,2021,November,Cotton,7951.78,8303.05,8150.79,7155.0,29
2021-11-12,2021,November,Cotton,7902.52,8254.5,8104.13,4095.0,25
2021-11-13,2021,November,Cotton,7930.93,8263.57,8119.81,3682.0,21
2021-11-14,2021,November,Cotton,8022.75,8190.88,8104.83,478.0,7
2021-11-15,2021,November,Cotton,7892.81,8240.43,8074.6,5160.0,29
2021-11-16,2021,November,Cotton,7857.5,8159.04,8000.61,4724.0,28
2021-11-17,2021,November,Cotton,7714.52,8005.15,7851.56,5678.0,31
2021-11-18,2021,November,Cotton,7576.94,7846.48,7708.89,4922.0,28
2021-11-19,2021,November,Cotton,7682.06,7944.74,7783.78,3322.0,17
2021-11-20,2021,November,Cotton,7790.97,8036.85,7909.09,2997.0,21
2021-11-21,2021,November,Cotton,7846.38,8095.64,7988.9,401.0,8
2021-11-22,2021,November,Cotton,7880.42,8197.48,8059.94,3839.0,29
2021-11-23,2021,November,Cotton,7922.63,8254.21,8121.84,3595.0,27
2021-11-24,2021,November,Cotton,7978.67,8290.26,8135.61,3617.0,30
2021-11-25,2021,November,Cotton,8010.55,8372.24,8214.46,3922.0,30
2021-11-26,2021,November,Cotton,8151.83,8498.82,8350.52,4193.0,32
2021-11-27,2021,November,Cotton,7985.52,8391.99,8195.76,3495.0,24
2021-11-28,2021,November,Cotton,8083.76,8328.99,8196.73,542.0,9
2021-11-29,2021,November,Cotton,7924.01,8322.53,8157.8,3995.0,27
2021-11-30,2021,November,Cotton,7848.25,8197.76,8022.7,4311.0,33
2022-01-01,2022,January,Cotton,8597.32,9312.73,9119.44,3723.0,33
2022-01-02,2022,January,Cotton,8708.7,9273.78,9071.08,339.0,10
2022-01-03,2022,January,Cotton,8815.75,9605.96,9381.02,4471.0,35
2022-01-04,2022,January,Cotton,8992.47,9804.47,9552.04,4367.0,30
2022-01-05,2022,January,Cotton,9179.18,9964.56,9704.45,4436.0,27
2022-01-06,2022,January,Cotton,9028.13,9580.45,9423.92,2763.0,21
2022-01-07,2022,January,Cotton,8951.78,9822.74,9481.33,5596.0,33
2022-01-08,2022,January,Cotton,8867.1,9777.39,9493.8,4019.0,28
2022-01-09,2022,January,Cotton,8929.58,9643.1,9414.17,187.0,7
2022-01-10,2022,January,Cotton,8927.29,9720.41,9528.04,2803.0,28
2022-01-11,2022,January,Cotton,8731.38,9615.32,9401.15,2345.0,25
2022-01-12,2022,January,Cotton,8957.01,9627.91,9427.16,1257.0,16
2022-01-13,2022,January,Cotton,9042.74,9736.02,9438.74,1240.0,19
2022-01-14,2022,January,Cotton,8941.88,9772.17,9472.4,1986.0,28
2022-01-15,2022,January,Cotton,9207.74,9748.78,9559.52,993.0,19
2022-01-16,2022,January,Cotton,9199.25,9856.47,9662.18,232.0,8
2022-01-17,2022,January,Cotton,9000.89,9898.5,9537.41,3153.0,31
2022-01-18,2022,January,Cotton,8973.16,9949.02,9656.26,3672.0,31
2022-01-19,2022,January,Cotton,9120.31,10009.12,9708.22,4837.0,32
2022-01-20,2022,January,Cotton,9044.97,10123.74,9665.2,5326.0,35
2022-01-21,2022,January,Cotton,8863.71,9883.25,9548.29,5055.0,34
2022-01-22,2022,January,Cotton,8834.37,9819.28,9518.35,2489.0,29
2022-01-23,2022,January,Cotton,9154.67,9702.17,9476.17,300.0,9
2022-01-24,2022,January,Cotton,8861.52,9903.27,9527.22,2767.0,29
2022-01-25,2022,January,Cotton,8786.54,9908.5,9505.38,2543.0,23
2022-01-26,2022,January,Cotton,9148.44,9691.94,9519.57,225.0,10
2022-01-27,2022,January,Cotton,8708.18,10022.9,9538.64,3585.0,32
2022-01-28,2022,January,Cotton,8530.47,10014.89,9565.46,4578.0,32
2022-01-29,2022,January,Cotton,8780.31,10054.07,9578.62,3120.0,27
2022-01-30,2022,January,Cotton,8817.97,9948.14,9602.54,295.0,8
2022-01-31,2022,January,Cotton,8891.93,10148.11,9642.59,4060.0,29
2022-02-01,2022,February,Cotton,8778.25,10179.71,9695.21,5576.0,36
2022-02-02,2022,February,Cotton,8787.53,10180.02,9771.17,5128.0,35
2022-02-03,2022,February,Cotton,8822.18,10058.95,9682.09,4331.0,35
2022-02-04,2022,February,Cotton,9028.69,10151.05,9761.03,4238.0,32
2022-02-05,2022,February,Cotton,8883.53,10190.22,9635.72,1897.0,24
2022-02-06,2022,February,Cotton,9011.83,10044.58,9549.77,262.0,7
2022-02-07,2022,February,Cotton,9052.37,10184.91,9786.06,1594.0,19
2022-02-08,2022,February,Cotton,8693.61,10161.67,9563.91,4015.0,37
2022-02-09,2022,February,Cotton,8721.32,10170.55,9592.92,3333.0,34
2022-02-10,2022,February,Cotton,8666.49,12924.35,9582.82,3034.0,33
2022-02-11,2022,February,Cotton,8552.9,10235.33,9697.91,2861.0,29
2022-02-12,2022,February,Cotton,8738.9,10288.37,9640.11,2376.0,27
2022-02-13,2022,February,Cotton,8882.31,10165.08,9546.39,277.0,8
2022-02-14,2022,February,Cotton,8729.68,10325.64,9731.01,3512.0,32
2022-02-15,2022,February,Cotton,8797.79,10300.18,9763.83,3446.0,32
2022-02-16,2022,February,Cotton,8839.64,10244.4,9687.45,3067.0,32
2022-02-17,2022,February,Cotton,8869.35,10218.58,9742.24,2380.0,33
2022-02-18,2022,February,Cotton,8706.05,10244.56,9704.93,2161.0,32
2022-02-19,2022,February,Cotton,9524.62,10090.32,9809.06,524.0,9
2022-02-20,2022,February,Cotton,8877.32,10152.06,9452.58,194.0,7
2022-02-21,2022,February,Cotton,8506.39,10249.31,9607.6,3176.0,31
2022-02-22,2022,February,Cotton,8376.52,10150.93,9553.79,3147.0,34
2022-02-23,2022,February,Cotton,8486.86,10198.46,9685.85,2804.0,32
2022-02-24,2022,February,Cotton,8491.63,10123.62,9586.3,2337.0,29
2022-02-25,2022,February,Cotton,8092.54,10129.98,9484.74,2020.0,25
2022-02-26,2022,February,Cotton,8361.71,10080.0,9479.7,2125.0,24
2022-02-27,2022,February,Cotton,8602.03,9939.02,9325.2,246.0,6
2022-02-28,2022,February,Cotton,8270.69,10018.81,9400.27,2717.0,30
2022-03-01,2022,March,Cotton,9142.6,9853.78,9662.5,659.0,11
2022-03-02,2022,March,Cotton,8009.89,10224.56,9413.79,1694.0,25
2022-03-03,2022,March,Cotton,7861.75,10160.61,9280.45,2235.0,24
2022-03-04,2022,March,Cotton,8108.36,10126.94,9345.27,2150.0,25
2022-03-05,2022,March,Cotton,5567.22,10005.12,9444.59,2812.0,21
2022-03-06,2022,March,Cotton,8297.53,10013.38,9334.98,243.0,7
2022-03-07,2022,March,Cotton,8249.67,10183.64,9495.36,2267.0,21
2022-03-08,2022,March,Cotton,8186.92,10099.76,9346.9,2053.0,24
2022-03-09,2022,March,Cotton,8048.3,10167.65,9389.75,2153.0,25
2022-03-10,2022,March,Cotton,8029.08,10226.48,9229.35,1933.0,25
2022-03-11,2022,March,Cotton,8246.13,10167.82,9297.32,1702.0,23
2022-03-12,2022,March,Cotton,8331.01,10390.35,9477.61,1853.0,18
2022-03-13,2022,March,Cotton,8388.3,10145.71,9479.61,282.0,9
2022-03-14,2022,March,Cotton,8140.97,10453.78,9489.57,2448.0,23
2022-03-15,2022,March,Cotton,8267.33,10422.83,9349.78,2258.0,24
2022-03-16,2022,March,Cotton,8117.89,10494.51,9418.61,2166.0,23
2022-03-17,2022,March,Cotton,8386.64,10355.15,9361.8,1165.0,17
2022-03-19,2022,March,Cotton,8270.0,10507.29,9725.5,133.0,11
2022-03-20,2022,March,Cotton,8175.94,10538.53,9541.35,133.0,5
2022-03-21,2022,March,Cotton,8388.31,10888.92,9936.6,2083.0,22
2022-03-22,2022,March,Cotton,8008.11,11053.65,9682.3,1612.0,22
2022-03-23,2022,March,Cotton,8635.47,11072.49,9995.07,1908.0,22
2022-03-24,2022,March,Cotton,8645.67,11153.49,10122.08,1944.0,25
2022-03-25,2022,March,Cotton,8817.54,11300.34,10285.96,1564.0,22
2022-03-26,2022,March,Cotton,9106.15,11499.71,10386.96,1518.0,19
2022-03-27,2022,March,Cotton,9209.17,11355.0,10468.33,120.0,5
2022-03-28,2022,March,Cotton,8662.74,11766.02,10793.09,2666.0,19
2022-03-29,2022,March,Cotton,9167.37,12133.54,10814.05,1513.0,19
2022-03-30,2022,March,Cotton,8874.75,12002.48,10699.72,1413.0,20
2022-03-31,2022,March,Cotton,8985.67,12358.76,11094.36,823.0,17
2022-04-01,2022,April,Cotton,8768.04,12160.84,10492.93,725.53,14
2022-04-02,2022,April,Cotton,10284.26,11887.63,11447.63,120.0,5
2022-04-03,2022,April,Cotton,10071.22,11728.6,10861.08,115.2,5
2022-04-04,2022,April,Cotton,8909.96,12325.68,10701.63,1159.8,17
2022-04-05,2022,April,Cotton,8643.76,12519.72,10500.58,1066.0,16
2022-04-06,2022,April,Cotton,2971.94,3966.1,3434.29,4639.39,19
2022-04-07,2022,April,Cotton,9250.94,12221.08,10782.47,1707.22,20
2022-04-08,2022,April,Cotton,9225.62,12154.14,10700.63,1549.37,16
2022-04-09,2022,April,Cotton,9830.45,11701.33,10749.44,648.28,12
2022-04-10,2022,April,Cotton,9552.88,11725.7,10404.56,105.29,5
2022-04-11,2022,April,Cotton,9178.62,12517.39,10824.99,1705.66,18
2022-04-12,2022,April,Cotton,9070.98,12147.83,10640.47,1461.0,15
2022-04-13,2022,April,Cotton,9260.36,12161.69,10899.42,1341.22,16
2022-04-14,2022,April,Cotton,8902.37,11408.65,9765.13,108.43,3
2022-04-15,2022,April,Cotton,9562.61,11870.24,10514.43,525.02,8
2022-04-16,2022,April,Cotton,9868.39,11882.96,10738.17,503.0,8
2022-04-17,2022,April,Cotton,9881.2,12053.19,11110.1,42.53,4
2022-04-18,2022,April,Cotton,9172.88,12319.19,10926.48,1515.08,17
2022-04-19,2022,April,Cotton,9284.79,12247.29,10443.86,1246.9,16
2022-04-20,2022,April,Cotton,9328.42,12150.58,10690.25,1177.82,17
2022-04-21,2022,April,Cotton,9296.47,12245.53,10388.37,926.15,14
2022-04-22,2022,April,Cotton,9355.37,12076.72,10345.37,858.07,13
2022-04-23,2022,April,Cotton,9438.67,12250.06,10490.42,676.81,11
2022-04-24,2022,April,Cotton,9782.38,10061.32,9943.76,11.18,2
2022-04-25,2022,April,Cotton,9250.35,12003.22,10529.69,761.45,14
2022-04-26,2022,April,Cotton,9314.39,11957.35,10075.52,647.0,14
2022-04-27,2022,April,Cotton,9257.29,12031.58,10656.61,862.38,14
2022-04-28,2022,April,Cotton,9471.88,12029.86,10599.39,849.0,15
2022-04-29,2022,April,Cotton,9479.83,12131.15,10748.62,877.16,13
2022-04-30,2022,April,Cotton,9622.7,12004.65,10620.93,556.61,9
2022-05-01,2022,May,Cotton,9455.35,11590.21,10750.99,53.86,5
2022-05-02,2022,May,Cotton,9253.31,12275.27,11037.5,881.85,12
2022-05-03,2022,May,Cotton,9894.38,11251.4,10847.2,36.68,4
2022-05-04,2022,May,Cotton,9580.23,12296.49,11483.2,693.0,11
2022-05-05,2022,May,Cotton,9527.46,12328.93,10997.23,613.24,13
2022-05-06,2022,May,Cotton,9484.58,12134.6,10488.25,343.22,9
2022-05-07,2022,May,Cotton,8810.59,12229.25,9997.93,112.29,6
2022-05-08,2022,May,Cotton,9695.71,11292.04,10341.66,49.86,4
2022-05-09,2022,May,Cotton,9973.76,12319.42,11742.05,527.09,9
2022-05-10,2022,May,Cotton,10324.2,12009.2,11422.46,281.68,8
2022-05-11,2022,May,Cotton,9947.25,11895.65,10755.31,30.81,4
2022-05-12,2022,May,Cotton,9613.4,12276.92,10404.72,34.54,4
2022-05-13,2022,May,Cotton,9972.31,11270.33,10436.09,32.26,4
2022-05-14,2022,May,Cotton,10324.32,12805.18,11799.5,295.73,7
2022-05-15,2022,May,Cotton,9556.19,10855.24,10177.75,15.47,2
2022-05-16,2022,May,Cotton,10893.29,11928.65,11403.82,206.51,6
2022-05-17,2022,May,Cotton,9870.09,13966.33,12235.87,218.0,5
2022-05-18,2022,May,Cotton,10270.31,12926.66,11727.21,287.13,6
2022-05-19,2022,May,Cotton,10787.6,12828.56,12020.33,282.89,6
2022-05-20,2022,May,Cotton,10292.83,12975.04,11894.08,265.0,6
2022-05-21,2022,May,Cotton,10742.76,12719.49,11766.6,203.11,6
2022-05-22,2022,May,Cotton,10314.15,11639.08,10923.71,12.52,3
2022-05-23,2022,May,Cotton,9426.13,13523.98,11200.66,81.24,3
2022-05-24,2022,May,Cotton,9320.22,13754.49,12280.45,89.0,3
2022-05-25,2022,May,Cotton,9317.54,13531.14,11900.35,57.0,3
2022-05-26,2022,May,Cotton,9600.0,13310.0,10500.0,23.0,1
2022-05-31,2022,May,Cotton,10000.0,12600.0,11500.0,4.0,1
2022-06-07,2022,June,Cotton,10000.0,12000.0,11400.0,3.0,1
2022-06-08,2022,June,Cotton,6727.27,8000.0,7445.45,11.0,2
2022-06-09,2022,June,Cotton,10000.0,12000.0,11200.0,2.0,1
2022-06-10,2022,June,Cotton,10000.0,12000.0,11300.0,1.0,1
2022-06-11,2022,June,Cotton,10000.0,12000.0,11200.0,2.0,1
2022-06-13,2022,June,Cotton,10000.0,12000.0,11000.0,3.0,1
2022-06-14,2022,June,Cotton,10000.0,12000.0,11000.0,2.0,1
2022-06-15,2022,June,Cotton,10000.0,12000.0,11000.0,2.0,1
2022-06-16,2022,June,Cotton,10000.0,12000.0,11000.0,3.0,1
2022-06-17,2022,June,Cotton,11000.0,11500.0,11025.0,2.0,1
2022-06-18,2022,June,Cotton,11000.0,11500.0,11025.0,3.0,1
2022-06-20,2022,June,Cotton,11000.0,11500.0,11030.0,2.0,1
2022-06-21,2022,June,Cotton,11000.0,11500.0,11150.0,2.0,1
2022-06-22,2022,June,Cotton,11000.0,11500.0,11200.0,3.0,1
2022-06-23,2022,June,Cotton,11000.0,11500.0,11300.0,2.0,1
2022-06-24,2022,June,Cotton,11000.0,11500.0,11250.0,3.0,1
2022-06-25,2022,June,Cotton,11000.0,11500.0,11300.0,2.0,1
2022-06-27,2022,June,Cotton,11000.0,11500.0,11400.0,3.0,1
