Arrival Date,Year,Month,Commodity,Weighted_Min_Price,Weighted_Max_Price,Weighted_Modal_Price,Total_Arrivals_MT,Markets_Reported
2021-03-15,2021,March,Sugar,3162.0,3382.0,3222.0,51.0,1
2021-03-16,2021,March,Sugar,3160.0,3362.0,3222.0,95.0,1
2021-03-20,2021,March,Sugar,3160.0,3362.0,3222.0,133.0,1
2021-03-22,2021,March,Sugar,3166.0,3362.0,3222.0,45.0,1
2021-03-24,2021,March,Sugar,3166.0,3362.0,3222.0,50.0,1
2021-03-25,2021,March,Sugar,3170.0,3342.0,3220.0,146.0,1
2021-03-27,2021,March,Sugar,3162.0,3362.0,3222.0,189.0,1
2021-03-30,2021,March,Sugar,3162.0,3382.0,3222.0,79.0,1
2021-03-31,2021,March,Sugar,3162.0,3382.0,3202.0,180.0,1
2021-04-01,2021,April,Sugar,3162.0,3382.0,3222.0,306.0,1
2021-04-02,2021,April,Sugar,3162.0,3382.0,3222.0,218.0,1
2021-04-03,2021,April,Sugar,3160.0,3336.0,3213.0,110.0,1
2021-04-05,2021,April,Sugar,3160.0,3336.0,3213.0,45.0,1
2021-04-06,2021,April,Sugar,3182.0,3360.0,3252.0,189.0,1
2021-04-07,2021,April,Sugar,3182.0,3360.0,3252.0,435.0,1
2021-04-08,2021,April,Sugar,3182.0,3360.0,3252.0,170.0,1
2021-04-09,2021,April,Sugar,3180.0,3362.0,3242.0,305.0,1
2021-04-10,2021,April,Sugar,3180.0,3362.0,3242.0,479.0,1
2021-04-12,2021,April,Sugar,3180.0,3362.0,3242.0,50.0,1
2021-04-14,2021,April,Sugar,3182.0,3362.0,3262.0,113.0,1
2021-04-15,2021,April,Sugar,3192.0,3362.0,3262.0,106.0,1
2021-04-16,2021,April,Sugar,3192.0,3362.0,3282.0,202.0,1
2021-04-17,2021,April,Sugar,3206.0,3372.0,3282.0,289.0,1
2021-04-20,2021,April,Sugar,3206.0,3372.0,3282.0,284.0,1
2021-04-21,2021,April,Sugar,3200.0,3362.0,3262.0,120.0,1
2021-04-22,2021,April,Sugar,3202.0,3362.0,3262.0,85.0,1
2021-04-23,2021,April,Sugar,3200.0,3362.0,3262.0,88.0,1
2021-04-26,2021,April,Sugar,3200.0,3362.0,3262.0,40.0,1
2021-04-27,2021,April,Sugar,3192.0,3360.0,3252.0,77.0,1
2021-04-28,2021,April,Sugar,3192.0,3360.0,3252.0,89.0,1
2021-04-29,2021,April,Sugar,3192.0,3360.0,3252.0,167.0,1
2021-04-30,2021,April,Sugar,3176.0,3352.0,3252.0,82.0,1
2021-05-03,2021,May,Sugar,3176.0,3352.0,3252.0,34.0,1
2021-05-04,2021,May,Sugar,3176.0,3350.0,3262.0,9.0,1
2021-05-05,2021,May,Sugar,3192.0,3360.0,3262.0,100.0,1
2021-05-06,2021,May,Sugar,3192.0,3360.0,3262.0,120.0,1
2021-05-07,2021,May,Sugar,3176.0,3350.0,3252.0,45.0,1
2021-05-08,2021,May,Sugar,3162.0,3350.0,3252.0,227.0,1
2021-05-10,2021,May,Sugar,3176.0,3350.0,3252.0,30.0,1
2021-05-11,2021,May,Sugar,3176.0,3350.0,3250.0,93.0,1
2021-05-12,2021,May,Sugar,3176.0,3350.0,3250.0,127.0,1
2021-05-13,2021,May,Sugar,3176.0,3350.0,3252.0,75.0,1
2021-05-14,2021,May,Sugar,3176.0,3350.0,3252.0,13.0,1
2021-05-15,2021,May,Sugar,3176.0,3350.0,3252.0,106.0,1
2021-05-17,2021,May,Sugar,3162.0,3352.0,3252.0,20.0,1
2021-05-18,2021,May,Sugar,3162.0,3352.0,3252.0,127.0,1
2021-05-19,2021,May,Sugar,3162.0,3352.0,3252.0,132.0,1
2021-05-20,2021,May,Sugar,3162.0,3352.0,3252.0,258.0,1
2021-05-21,2021,May,Sugar,3162.0,3352.0,3252.0,139.0,1
2021-05-22,2021,May,Sugar,3162.0,3342.0,3242.0,99.0,1
2021-05-25,2021,May,Sugar,3162.0,3342.0,3242.0,136.0,1
2021-05-26,2021,May,Sugar,3162.0,3352.0,3252.0,209.0,1
2021-05-27,2021,May,Sugar,3162.0,3342.0,3252.0,135.0,1
2021-05-28,2021,May,Sugar,3162.0,3342.0,3252.0,179.0,1
2021-05-29,2021,May,Sugar,3162.0,3342.0,3252.0,159.0,1
2021-05-31,2021,May,Sugar,3162.0,3342.0,3252.0,42.0,1
2021-06-01,2021,June,Sugar,3190.0,3342.0,3252.0,105.0,1
2021-06-02,2021,June,Sugar,3190.0,3342.0,3246.0,145.0,1
2021-06-03,2021,June,Sugar,3190.0,3342.0,3246.0,91.0,1
2021-06-04,2021,June,Sugar,3186.0,3342.0,3252.0,241.0,1
2021-06-05,2021,June,Sugar,3186.0,3342.0,3252.0,60.0,1
2021-06-08,2021,June,Sugar,3186.0,3242.0,3242.0,116.0,1
2021-06-09,2021,June,Sugar,3182.0,3332.0,3242.0,114.0,1
2021-06-10,2021,June,Sugar,3182.0,3332.0,3242.0,189.0,1
2021-06-11,2021,June,Sugar,3182.0,3332.0,3242.0,91.0,1
2021-06-12,2021,June,Sugar,3182.0,3322.0,3236.0,137.0,1
2021-06-14,2021,June,Sugar,3182.0,3322.0,3236.0,58.0,1
2021-06-15,2021,June,Sugar,3182.0,3322.0,3232.0,83.0,1
2021-06-16,2021,June,Sugar,3182.0,3322.0,3232.0,208.0,1
2021-06-17,2021,June,Sugar,3182.0,3322.0,3232.0,99.0,1
2021-06-18,2021,June,Sugar,3182.0,3322.0,3232.0,77.0,1
2021-06-19,2021,June,Sugar,3182.0,3322.0,3232.0,136.0,1
2021-06-22,2021,June,Sugar,3182.0,3322.0,3232.0,200.0,1
2021-06-23,2021,June,Sugar,3182.0,3322.0,3226.0,139.0,1
2021-06-24,2021,June,Sugar,3182.0,3322.0,3226.0,127.0,1
2021-06-25,2021,June,Sugar,3172.0,3330.0,3226.0,194.0,1
2021-06-26,2021,June,Sugar,3172.0,3330.0,3226.0,221.0,1
2021-06-28,2021,June,Sugar,3172.0,3330.0,3226.0,51.0,1
2021-06-29,2021,June,Sugar,3162.0,3332.0,3232.0,86.0,1
2021-06-30,2021,June,Sugar,3162.0,3332.0,3232.0,36.0,1
2021-07-02,2021,July,Sugar,3162.0,3332.0,3232.0,228.0,1
2021-07-03,2021,July,Sugar,3162.0,3332.0,3222.0,84.0,1
2021-07-05,2021,July,Sugar,3162.0,3332.0,3222.0,50.0,1
2021-07-06,2021,July,Sugar,3162.0,3342.0,3226.0,217.0,1
2021-07-07,2021,July,Sugar,3162.0,3342.0,3226.0,107.0,1
2021-07-08,2021,July,Sugar,3162.0,3342.0,3226.0,327.0,1
2021-07-09,2021,July,Sugar,3162.0,3342.0,3226.0,195.0,1
2021-07-10,2021,July,Sugar,3162.0,3342.0,3226.0,86.0,1
2021-07-12,2021,July,Sugar,3182.0,3376.0,3232.0,25.0,1
2021-07-13,2021,July,Sugar,3182.0,3376.0,3232.0,200.0,1
2021-07-14,2021,July,Sugar,3182.0,3376.0,3232.0,127.0,1
2021-07-15,2021,July,Sugar,3172.0,3386.0,3232.0,150.0,1
2021-07-16,2021,July,Sugar,3172.0,3386.0,3232.0,246.0,1
2021-07-17,2021,July,Sugar,3172.0,3386.0,3232.0,208.0,1
2021-07-21,2021,July,Sugar,3152.0,3390.0,3232.0,30.0,1
2021-07-22,2021,July,Sugar,3152.0,3390.0,3232.0,134.0,1
2021-07-23,2021,July,Sugar,3152.0,3390.0,3232.0,126.0,1
2021-07-24,2021,July,Sugar,3152.0,3390.0,3232.0,92.0,1
2021-07-27,2021,July,Sugar,3152.0,3390.0,3232.0,50.0,1
2021-07-28,2021,July,Sugar,3152.0,3390.0,3232.0,218.0,1
2021-07-29,2021,July,Sugar,3152.0,3390.0,3232.0,289.0,1
2021-07-30,2021,July,Sugar,3152.0,3392.0,3242.0,203.0,1
2021-07-31,2021,July,Sugar,3152.0,3372.0,3252.0,301.0,1
2021-08-02,2021,August,Sugar,3172.0,3402.0,3282.0,178.0,1
2021-08-03,2021,August,Sugar,3202.0,3442.0,3290.0,341.0,1
2021-08-04,2021,August,Sugar,3212.0,3452.0,3332.0,212.0,1
2021-08-06,2021,August,Sugar,3212.0,3462.0,3322.0,244.0,1
2021-08-07,2021,August,Sugar,3202.0,3462.0,3322.0,148.0,1
2021-08-09,2021,August,Sugar,3202.0,3460.0,3332.0,47.0,1
2021-08-10,2021,August,Sugar,3202.0,3476.0,3342.0,160.0,1
2021-08-11,2021,August,Sugar,3202.0,3482.0,3342.0,165.0,1
2021-08-12,2021,August,Sugar,3202.0,3482.0,3342.0,302.0,1
2021-08-13,2021,August,Sugar,3202.0,3482.0,3342.0,151.0,1
2021-08-14,2021,August,Sugar,3302.0,3482.0,3342.0,177.0,1
2021-08-16,2021,August,Sugar,3202.0,3482.0,3342.0,70.0,1
2021-08-18,2021,August,Sugar,3312.0,3682.0,3500.0,121.0,1
2021-08-19,2021,August,Sugar,3392.0,3682.0,3500.0,254.0,1
2021-08-20,2021,August,Sugar,3422.0,3692.0,3526.0,154.0,1
2021-08-21,2021,August,Sugar,3442.0,3742.0,3580.0,177.0,1
2021-08-24,2021,August,Sugar,3462.0,3720.0,3592.0,70.0,1
2021-08-25,2021,August,Sugar,3462.0,3720.0,3592.0,141.0,1
2021-08-26,2021,August,Sugar,3462.0,3720.0,3592.0,107.0,1
2021-08-27,2021,August,Sugar,3460.0,3710.0,3562.0,128.0,1
2021-08-28,2021,August,Sugar,3460.0,3710.0,3562.0,147.0,1
2021-08-30,2021,August,Sugar,3460.0,3710.0,3562.0,117.0,1
2021-09-01,2021,September,Sugar,3460.0,3710.0,3562.0,255.0,1
2021-09-02,2021,September,Sugar,3460.0,3710.0,3562.0,361.0,1
2021-09-03,2021,September,Sugar,3460.0,3710.0,3562.0,288.0,1
2021-09-04,2021,September,Sugar,3480.0,3812.0,3646.0,140.0,1
2021-09-06,2021,September,Sugar,3480.0,3812.0,3646.0,25.0,1
2021-09-07,2021,September,Sugar,3480.0,3812.0,3646.0,156.0,1
2021-09-08,2021,September,Sugar,3440.0,3812.0,3646.0,160.0,1
2021-09-11,2021,September,Sugar,3452.0,3782.0,3652.0,40.0,1
2021-09-13,2021,September,Sugar,3452.0,3782.0,3652.0,50.0,1
2021-09-14,2021,September,Sugar,3482.0,3782.0,3642.0,121.0,1
2021-09-15,2021,September,Sugar,3502.0,3802.0,3642.0,175.0,1
2021-09-16,2021,September,Sugar,3536.0,3822.0,3662.0,239.0,1
2021-09-17,2021,September,Sugar,3536.0,3822.0,3662.0,341.0,1
2021-09-18,2021,September,Sugar,3536.0,3822.0,3662.0,452.0,1
2021-09-20,2021,September,Sugar,3536.0,3822.0,3662.0,51.0,1
2021-09-21,2021,September,Sugar,3536.0,3822.0,3662.0,260.0,1
2021-09-22,2021,September,Sugar,3552.0,3822.0,3672.0,96.0,1
2021-09-23,2021,September,Sugar,3572.0,3822.0,3672.0,372.0,1
2021-09-24,2021,September,Sugar,3560.0,3822.0,3672.0,73.0,1
2021-09-27,2021,September,Sugar,3552.0,3802.0,3672.0,4.0,1
2021-09-28,2021,September,Sugar,3532.0,3792.0,3662.0,167.0,1
2021-09-29,2021,September,Sugar,3522.0,3782.0,3652.0,140.0,1
2021-09-30,2021,September,Sugar,3552.0,3802.0,3672.0,90.0,1
2021-10-01,2021,October,Sugar,3502.0,3792.0,3642.0,171.0,1
2021-10-02,2021,October,Sugar,3502.0,3792.0,3642.0,126.0,1
2021-10-05,2021,October,Sugar,3502.0,3792.0,3642.0,145.0,1
2021-10-06,2021,October,Sugar,3502.0,3792.0,3642.0,300.0,1
2021-10-07,2021,October,Sugar,3540.0,3682.0,3611.0,295.0,1
2021-10-08,2021,October,Sugar,3540.0,3682.0,3611.0,158.0,1
2021-10-09,2021,October,Sugar,3212.0,3802.0,3652.0,237.0,1
2021-10-12,2021,October,Sugar,3512.0,3802.0,3652.0,58.0,1
2021-10-13,2021,October,Sugar,3512.0,3802.0,3652.0,368.0,1
2021-10-14,2021,October,Sugar,3512.0,3792.0,3672.0,385.0,1
2021-10-18,2021,October,Sugar,3512.0,3792.0,3662.0,142.0,1
2021-10-19,2021,October,Sugar,3530.0,3802.0,3642.0,146.0,1
2021-10-20,2021,October,Sugar,3530.0,3802.0,3642.0,351.0,1
2021-10-21,2021,October,Sugar,3520.0,3782.0,3620.0,242.0,1
2021-10-22,2021,October,Sugar,3522.0,3782.0,3602.0,285.0,1
2021-10-23,2021,October,Sugar,3532.0,3792.0,3602.0,369.0,1
2021-10-25,2021,October,Sugar,3582.0,3782.0,3602.0,37.0,1
2021-10-26,2021,October,Sugar,3532.0,3782.0,3602.0,220.0,1
2021-10-27,2021,October,Sugar,3526.0,3782.0,3602.0,312.0,1
2021-10-28,2021,October,Sugar,3512.0,3782.0,3602.0,366.0,1
2021-10-29,2021,October,Sugar,3502.0,3782.0,3602.0,153.0,1
2021-10-30,2021,October,Sugar,3502.0,3782.0,3602.0,216.0,1
2021-11-01,2021,November,Sugar,3502.0,3782.0,3602.0,199.0,1
2021-11-02,2021,November,Sugar,3482.0,3782.0,3602.0,230.0,1
2021-11-03,2021,November,Sugar,3502.0,3782.0,3602.0,224.0,1
2021-11-04,2021,November,Sugar,3470.0,3782.0,3612.0,119.0,1
2021-11-05,2021,November,Sugar,3502.0,3782.0,3602.0,106.0,1
2021-11-09,2021,November,Sugar,3502.0,3782.0,3602.0,129.0,1
2021-11-10,2021,November,Sugar,3470.0,3782.0,3612.0,191.0,1
2021-11-11,2021,November,Sugar,3470.0,3782.0,3612.0,242.0,1
2021-11-12,2021,November,Sugar,3470.0,3782.0,3612.0,266.0,1
2021-11-13,2021,November,Sugar,3470.0,3782.0,3612.0,215.0,1
2021-11-15,2021,November,Sugar,3470.0,3782.0,3612.0,10.0,1
2021-11-17,2021,November,Sugar,3470.0,3782.0,3612.0,35.0,1
2021-11-18,2021,November,Sugar,3470.0,3782.0,3612.0,133.0,1
2021-11-19,2021,November,Sugar,3470.0,3782.0,3612.0,258.0,1
2021-11-20,2021,November,Sugar,3470.0,3782.0,3612.0,203.0,1
2021-11-22,2021,November,Sugar,3392.0,3682.0,3482.0,30.0,1
2021-11-23,2021,November,Sugar,3392.0,3682.0,3476.0,267.0,1
2021-11-24,2021,November,Sugar,3392.0,3682.0,3462.0,120.0,1
2021-11-25,2021,November,Sugar,3372.0,3692.0,3462.0,216.0,1
2021-11-26,2021,November,Sugar,3332.0,3692.0,3462.0,195.0,1
2021-11-27,2021,November,Sugar,3336.0,3692.0,3462.0,281.0,1
2021-11-30,2021,November,Sugar,3336.0,3682.0,3462.0,244.0,1
2021-12-02,2021,December,Sugar,3336.0,3682.0,3462.0,199.0,1
2021-12-03,2021,December,Sugar,3336.0,3682.0,3462.0,68.0,1
2021-12-04,2021,December,Sugar,3372.0,3682.0,3462.0,347.0,1
2021-12-06,2021,December,Sugar,3372.0,3682.0,3462.0,186.0,1
2021-12-07,2021,December,Sugar,3380.0,3682.0,3462.0,291.0,1
2021-12-08,2021,December,Sugar,3372.0,3692.0,3462.0,83.0,1
2021-12-09,2021,December,Sugar,3370.0,3692.0,3462.0,243.0,1
2021-12-10,2021,December,Sugar,3376.0,3700.0,3482.0,384.0,1
2021-12-11,2021,December,Sugar,3382.0,3700.0,3482.0,308.0,1
2021-12-13,2021,December,Sugar,3376.0,3696.0,3482.0,12.0,1
2021-12-14,2021,December,Sugar,3376.0,3702.0,3482.0,187.0,1
2021-12-15,2021,December,Sugar,3380.0,3702.0,3482.0,54.0,1
2021-12-16,2021,December,Sugar,3380.0,3702.0,3482.0,265.0,1
2021-12-17,2021,December,Sugar,3380.0,3692.0,3482.0,201.0,1
2021-12-18,2021,December,Sugar,3362.0,3702.0,3482.0,125.0,1
2021-12-21,2021,December,Sugar,3420.0,3702.0,3482.0,218.0,1
2021-12-22,2021,December,Sugar,3362.0,3692.0,3482.0,185.0,1
2021-12-23,2021,December,Sugar,3362.0,3692.0,3482.0,367.0,1
2021-12-24,2021,December,Sugar,3362.0,3702.0,3482.0,83.0,1
2021-12-25,2021,December,Sugar,3362.0,3692.0,3472.0,181.0,1
2021-12-27,2021,December,Sugar,3362.0,3692.0,3472.0,182.0,1
2021-12-28,2021,December,Sugar,3362.0,3692.0,3472.0,99.0,1
2021-12-29,2021,December,Sugar,3362.0,3702.0,3482.0,263.0,1
2021-12-30,2021,December,Sugar,3362.0,3692.0,3492.0,266.0,1
2021-12-31,2021,December,Sugar,3362.0,3692.0,3482.0,98.0,1
2022-01-01,2022,January,Sugar,3362.0,3692.0,3462.0,68.0,1
2022-01-03,2022,January,Sugar,3362.0,3692.0,3462.0,30.0,1
2022-01-04,2022,January,Sugar,3362.0,3690.0,3462.0,191.0,1
2022-01-05,2022,January,Sugar,3362.0,3690.0,3462.0,138.0,1
2022-01-07,2022,January,Sugar,3362.0,3692.0,3452.0,229.0,1
2022-01-08,2022,January,Sugar,3370.0,3692.0,3452.0,230.0,1
2022-01-10,2022,January,Sugar,3362.0,3692.0,3452.0,33.0,1
2022-01-11,2022,January,Sugar,3362.0,3692.0,3452.0,305.0,1
2022-01-13,2022,January,Sugar,3372.0,3686.0,3452.0,100.0,1
2022-01-14,2022,January,Sugar,3366.0,3682.0,3452.0,261.0,1
2022-01-15,2022,January,Sugar,3360.0,3692.0,3452.0,89.0,1
2022-01-17,2022,January,Sugar,3360.0,3682.0,3452.0,101.0,1
2022-01-18,2022,January,Sugar,3360.0,3682.0,3452.0,74.0,1
2022-01-19,2022,January,Sugar,3332.0,3680.0,3452.0,78.0,1
2022-01-20,2022,January,Sugar,3332.0,3682.0,3452.0,86.0,1
2022-01-21,2022,January,Sugar,3332.0,3682.0,3452.0,170.0,1
2022-01-22,2022,January,Sugar,3332.0,3672.0,3452.0,111.0,1
2022-01-24,2022,January,Sugar,3332.0,3672.0,3452.0,70.0,1
2022-01-25,2022,January,Sugar,3312.0,3672.0,3402.0,119.0,1
2022-01-27,2022,January,Sugar,3312.0,3670.0,3402.0,100.0,1
2022-01-28,2022,January,Sugar,3312.0,3672.0,3402.0,119.0,1
2022-01-31,2022,January,Sugar,3312.0,3672.0,3400.0,50.0,1
2022-02-01,2022,February,Sugar,3312.0,3672.0,3400.0,332.0,1
2022-02-02,2022,February,Sugar,3322.0,3660.0,3412.0,200.0,1
2022-02-03,2022,February,Sugar,3322.0,3672.0,3412.0,251.0,1
2022-02-04,2022,February,Sugar,3322.0,3672.0,3412.0,274.0,1
2022-02-05,2022,February,Sugar,3322.0,3652.0,3392.0,148.0,1
2022-02-07,2022,February,Sugar,3312.0,3642.0,3372.0,62.0,1
2022-02-08,2022,February,Sugar,3312.0,3642.0,3372.0,101.0,1
2022-02-09,2022,February,Sugar,3312.0,3642.0,3362.0,234.0,1
2022-02-11,2022,February,Sugar,3312.0,3642.0,3382.0,136.0,1
2022-02-12,2022,February,Sugar,3312.0,3642.0,3382.0,137.0,1
2022-02-14,2022,February,Sugar,3392.0,3642.0,3517.0,20.0,1
2022-02-15,2022,February,Sugar,3312.0,3642.0,3382.0,147.0,1
2022-02-16,2022,February,Sugar,3312.0,3642.0,3362.0,236.0,1
2022-02-17,2022,February,Sugar,3292.0,3642.0,3362.0,188.0,1
2022-02-18,2022,February,Sugar,3292.0,3642.0,3362.0,239.0,1
2022-02-21,2022,February,Sugar,3292.0,4200.0,3362.0,57.0,1
2022-02-22,2022,February,Sugar,3302.0,3642.0,3392.0,187.0,1
2022-02-23,2022,February,Sugar,3302.0,3642.0,3392.0,135.0,1
2022-02-24,2022,February,Sugar,3292.0,3642.0,3392.0,207.0,1
2022-02-25,2022,February,Sugar,3292.0,3642.0,3382.0,143.0,1
2022-02-26,2022,February,Sugar,3292.0,3642.0,3467.0,318.0,1
2022-02-28,2022,February,Sugar,3392.0,3632.0,3512.0,75.0,1
2022-03-02,2022,March,Sugar,3292.0,3640.0,3392.0,45.0,1
2022-03-03,2022,March,Sugar,3292.0,3640.0,3392.0,236.0,1
2022-03-04,2022,March,Sugar,3316.0,3652.0,3392.0,267.0,1
2022-03-05,2022,March,Sugar,3316.0,3652.0,3392.0,348.0,1
2022-03-07,2022,March,Sugar,3316.0,3652.0,3392.0,50.0,1
2022-03-08,2022,March,Sugar,3316.0,3652.0,3392.0,308.0,1
2022-03-09,2022,March,Sugar,3316.0,3652.0,3392.0,281.0,1
2022-03-10,2022,March,Sugar,3316.0,3652.0,3392.0,362.0,1
2022-03-11,2022,March,Sugar,3312.0,3652.0,3392.0,247.0,1
2022-03-12,2022,March,Sugar,3312.0,3652.0,3392.0,85.0,1
2022-03-14,2022,March,Sugar,3312.0,3652.0,3392.0,85.0,1
2022-03-15,2022,March,Sugar,3312.0,3652.0,3392.0,90.0,1
2022-03-16,2022,March,Sugar,3310.0,3652.0,3385.0,79.0,1
2022-03-17,2022,March,Sugar,3310.0,3652.0,3385.0,270.0,1
2022-03-19,2022,March,Sugar,3310.0,3652.0,3385.0,26.0,1
2022-03-21,2022,March,Sugar,3320.0,3652.0,3385.0,25.0,1
2022-03-22,2022,March,Sugar,3320.0,3652.0,3385.0,285.0,1
2022-03-24,2022,March,Sugar,3320.0,3652.0,3358.0,58.0,1
2022-03-25,2022,March,Sugar,3262.0,3652.0,3472.0,325.0,1
2022-03-26,2022,March,Sugar,3362.0,3652.0,3472.0,197.0,1
2022-03-28,2022,March,Sugar,3262.0,3652.0,3472.0,61.0,1
2022-03-29,2022,March,Sugar,3262.0,3652.0,3472.0,217.0,1
2022-03-30,2022,March,Sugar,3292.0,3652.0,3472.0,223.0,1
2022-03-31,2022,March,Sugar,3292.0,3652.0,3472.0,279.0,1
2022-04-01,2022,April,Sugar,3292.0,3652.0,3472.0,298.0,1
2022-04-02,2022,April,Sugar,3392.0,3652.0,3472.0,214.0,1
2022-04-05,2022,April,Sugar,3292.0,3652.0,3472.0,148.0,1
2022-04-06,2022,April,Sugar,3292.0,3652.0,3472.0,192.0,1
2022-04-07,2022,April,Sugar,3400.0,3682.0,3541.0,291.0,1
2022-04-08,2022,April,Sugar,3400.0,3682.0,3541.0,335.0,1
2022-04-09,2022,April,Sugar,3400.0,3682.0,3541.0,262.0,1
2022-04-11,2022,April,Sugar,3400.0,3682.0,3541.0,98.0,1
2022-04-12,2022,April,Sugar,3400.0,3682.0,3541.0,159.0,1
2022-04-13,2022,April,Sugar,3400.0,3682.0,3541.0,366.0,1
2022-04-14,2022,April,Sugar,3400.0,3682.0,3541.0,212.0,1
2022-04-18,2022,April,Sugar,3382.0,3682.0,3532.0,62.0,1
2022-04-19,2022,April,Sugar,3382.0,3682.0,3532.0,220.0,1
2022-04-20,2022,April,Sugar,3382.0,3682.0,3532.0,297.0,1
2022-04-21,2022,April,Sugar,3392.0,3682.0,3537.0,404.0,1
2022-04-22,2022,April,Sugar,3292.0,3682.0,3537.0,160.0,1
2022-04-23,2022,April,Sugar,3292.0,3682.0,3537.0,74.0,1
2022-04-25,2022,April,Sugar,3292.0,3682.0,3537.0,129.0,1
2022-04-26,2022,April,Sugar,3292.0,3682.0,3537.0,138.0,1
2022-04-27,2022,April,Sugar,3292.0,3682.0,3537.0,159.0,1
2022-04-28,2022,April,Sugar,3392.0,3672.0,3532.0,146.0,1
2022-04-29,2022,April,Sugar,3392.0,3672.0,3532.0,203.0,1
2022-04-30,2022,April,Sugar,3392.0,3672.0,3532.0,110.0,1
2022-05-02,2022,May,Sugar,3392.0,3672.0,3532.0,199.0,1
2022-05-03,2022,May,Sugar,3392.0,3672.0,3532.0,306.0,1
2022-05-04,2022,May,Sugar,3392.0,3672.0,3532.0,156.0,1
2022-05-05,2022,May,Sugar,3412.0,3702.0,3557.0,232.0,1
2022-05-06,2022,May,Sugar,3412.0,3702.0,3557.0,279.0,1
2022-05-07,2022,May,Sugar,3412.0,3702.0,3557.0,52.0,1
2022-05-10,2022,May,Sugar,3400.0,3702.0,3557.0,162.0,1
2022-05-11,2022,May,Sugar,3412.0,3702.0,3557.0,100.0,1
