Date,Total_Arrivals_MT,Weighted_Min_Price,Weighted_Max_Price,Weighted_Modal_Price,Markets_Reported
2021-02-23,3052.0,1691.76,2551.91,2137.25,73.0
2021-02-24,2732.0,1648.64,2227.2,1950.34,85.0
2021-02-25,2885.0,1550.95,1867.74,1745.14,81.0
2021-02-26,3244.0,1629.5,2284.42,2001.48,60.0
2021-02-27,1405.0,1585.21,1949.08,1822.98,53.0
2021-02-28,168.0,1567.44,1808.65,1682.14,10.0
2021-03-01,4439.0,1664.15,2334.88,2013.85,96.0
2021-03-02,5484.0,1693.94,2508.77,2125.13,82.0
2021-03-03,5341.0,1570.44,2037.23,1843.55,82.0
2021-03-04,5191.0,1643.74,2232.51,1973.14,90.0
2021-03-05,4693.0,1665.07,2257.47,1989.51,78.0
2021-03-06,2719.0,1801.69,2609.46,2219.91,65.0
2021-03-07,226.0,1623.96,1778.83,1711.81,13.0
2021-03-08,6552.0,1640.43,2212.59,1951.18,99.0
2021-03-09,5885.0,1701.68,2456.54,2116.86,81.0
2021-03-10,6295.0,1659.1,2248.45,1983.89,83.0
2021-03-11,330.0,1948.27,2243.37,2146.46,19.0
2021-03-12,6337.0,1654.3,2259.94,1988.06,86.0
2021-03-13,3102.0,1713.48,2480.69,2119.92,43.0
2021-03-14,402.0,1618.12,1765.48,1706.7,12.0
2021-03-15,4413.0,1684.68,2323.3,2039.39,71.0
2021-03-16,2153.0,1819.3,3165.31,2489.6,27.0
2021-03-17,180.0,1622.01,1788.91,1716.17,8.0
2021-03-18,424.0,1633.31,1829.21,1768.19,12.0
2021-03-19,791.0,1539.27,1770.75,1672.35,21.0
2021-03-20,1978.0,1674.46,2738.99,2216.14,44.0
2021-03-21,406.0,1644.84,1800.35,1741.85,14.0
2021-03-22,5597.0,1641.5,2400.61,2051.48,86.0
2021-03-23,2890.0,1613.97,1958.61,1797.14,79.0
2021-03-24,5021.0,1716.51,2793.12,2265.87,84.0
2021-03-25,4612.0,1682.0,2317.14,1995.97,80.0
2021-03-26,4471.0,1632.94,2345.99,2022.42,71.0
2021-03-27,2225.0,1731.52,2684.92,2214.11,42.0
2021-03-28,102.0,1614.89,1830.98,1784.25,11.0
2021-03-29,92.0,1846.03,1995.49,1935.16,8.0
2021-03-30,2387.0,1901.04,3343.11,2624.83,31.0
2021-03-31,1900.0,1893.61,3453.73,2670.02,32.0
2021-04-01,1682.0,1714.62,2652.95,2191.0,51.0
2021-04-02,1095.0,1889.12,3700.39,2796.66,23.0
2021-04-03,3037.0,1721.02,2637.09,2176.72,57.0
2021-04-04,224.0,1622.56,1888.04,1795.17,17.0
2021-04-05,6633.0,1662.71,2450.43,2054.09,99.0
2021-04-06,5530.0,1657.6,2576.01,2118.2,87.0
2021-04-07,5829.0,1855.21,2676.48,2301.85,88.0
2021-04-08,5666.0,1721.99,2479.77,2106.13,88.0
2021-04-09,4476.0,1817.98,2744.37,2315.16,85.0
2021-04-10,2256.0,2167.39,3766.01,3000.02,22.0
2021-04-11,232.0,1596.38,1766.88,1688.14,8.0
2021-04-12,5812.0,1855.91,2782.45,2343.25,77.0
2021-04-13,2006.0,2111.31,3705.58,2919.58,47.0
2021-04-14,1224.0,2154.91,4211.7,3182.48,16.0
2021-04-15,4261.0,1761.75,2632.49,2203.86,88.0
2021-04-16,3626.0,1799.49,2573.92,2183.09,88.0
2021-04-17,2855.0,1896.4,2874.03,2380.03,39.0
2021-04-18,526.0,1621.65,1826.75,1726.19,10.0
2021-04-19,7919.0,1957.18,3377.45,2646.35,73.0
2021-04-20,3547.0,1889.01,2921.54,2431.44,64.0
2021-04-21,737.0,2253.59,4023.96,3139.03,16.0
2021-04-22,2764.0,1757.13,2304.68,2050.09,66.0
2021-04-23,2038.0,1827.33,2616.9,2248.3,56.0
2021-04-24,1125.0,1700.42,2004.47,1859.62,31.0
2021-04-25,107.0,1880.56,2052.49,2005.94,9.0
2021-04-26,2285.0,1847.5,2746.74,2313.78,71.0
2021-04-27,1234.0,1850.56,2659.96,2257.45,44.0
2021-04-28,1509.0,1696.27,2148.17,1944.84,58.0
2021-04-29,1539.0,1833.56,2523.58,2193.99,59.0
2021-04-30,1604.0,1773.86,2414.12,2114.61,53.0
2021-05-01,159.0,2179.18,2831.23,2529.29,9.0
2021-05-02,98.0,1637.76,1875.91,1763.57,8.0
2021-05-03,2749.0,1832.82,2749.78,2270.6,72.0
2021-05-04,2478.0,1838.79,2471.17,2169.37,70.0
2021-05-05,1977.0,1732.14,2269.24,1997.63,69.0
2021-05-06,2679.0,1846.69,2396.58,2123.37,70.0
2021-05-07,1764.0,1865.2,2674.49,2234.62,53.0
2021-05-08,1134.0,2074.93,3140.41,2634.64,33.0
2021-05-09,121.0,1935.32,2104.55,2030.8,11.0
2021-05-10,2093.0,2085.39,3089.81,2593.93,48.0
2021-05-11,1784.0,2090.16,3185.49,2684.25,36.0
2021-05-12,1297.0,1843.2,2621.76,2243.16,44.0
2021-05-13,1245.0,1963.14,2927.78,2471.51,36.0
2021-05-14,557.0,2249.41,4177.24,3222.29,12.0
2021-05-15,659.0,2132.11,3577.24,2839.71,21.0
2021-05-16,52.0,1587.25,1797.31,1660.81,9.0
2021-05-17,1897.0,2025.32,3044.27,2554.45,50.0
2021-05-18,1791.0,1916.51,2877.97,2399.9,48.0
2021-05-19,1749.0,1910.43,2883.41,2391.8,47.0
2021-05-20,1809.0,1918.66,2643.31,2285.88,55.0
2021-05-21,1419.0,1681.66,2017.07,1860.86,50.0
2021-05-22,1243.0,1945.89,2918.5,2422.31,23.0
2021-05-23,81.0,1685.54,1890.4,1770.48,8.0
2021-05-24,2927.0,1763.79,2355.71,2041.82,69.0
2021-05-25,2761.0,1916.46,2779.8,2363.69,72.0
2021-05-26,872.0,2177.17,3735.33,2944.28,22.0
2021-05-27,2363.0,1722.32,2292.79,2013.04,64.0
2021-05-28,2702.0,1735.99,2296.83,2014.59,65.0
2021-05-29,1702.0,1867.11,2739.46,2298.95,46.0
2021-05-30,91.0,1682.82,1893.95,1738.71,7.0
2021-05-31,3111.0,1802.87,2592.43,2187.15,71.0
2021-06-01,2724.0,1921.73,2896.4,2409.65,71.0
2021-06-02,2391.0,1410.68,1908.83,1650.79,81.0
2021-06-03,2910.0,1495.7,2052.97,1769.75,88.0
2021-06-04,1861.0,1808.76,2555.72,2226.34,75.0
2021-06-05,1984.0,1497.76,2316.95,1929.77,54.0
2021-06-06,102.0,1584.85,1817.55,1719.58,9.0
2021-06-07,1259.0,1700.56,2058.16,1860.83,67.0
2021-06-08,2157.0,1947.03,3187.38,2571.87,72.0
2021-06-09,2206.0,1877.92,3010.36,2447.84,70.0
2021-06-10,1738.0,1894.66,2871.85,2372.56,75.0
2021-06-11,1572.0,1848.13,2743.68,2277.45,74.0
2021-06-12,1175.0,1923.79,3163.7,2538.35,47.0
2021-06-13,169.0,1899.63,2387.56,2144.82,12.0
2021-06-14,2181.0,1793.04,2603.78,2195.22,96.0
2021-06-15,2129.0,1973.38,3203.28,2604.38,89.0
2021-06-16,1871.0,1834.61,2672.02,2280.7,91.0
2021-06-17,2402.0,1823.75,2698.32,2233.21,93.0
2021-06-18,1751.0,1850.34,2708.74,2271.0,90.0
2021-06-19,1033.0,1912.99,2933.81,2427.75,59.0
2021-06-20,134.0,1637.07,1893.78,1739.13,13.0
2021-06-21,1913.0,1823.85,2686.39,2242.56,94.0
2021-06-22,2095.0,1912.59,2969.57,2441.11,83.0
2021-06-23,1664.0,1863.13,2648.05,2281.72,86.0
2021-06-24,1584.0,1886.79,2828.53,2346.92,91.0
2021-06-25,1355.0,1828.57,2572.02,2188.86,91.0
2021-06-26,1448.0,1960.84,3079.39,2529.95,68.0
2021-06-27,125.0,1971.52,2136.58,2007.42,13.0
2021-06-28,1731.0,1831.04,2579.85,2204.37,97.0
2021-06-29,1764.0,1894.81,2906.74,2381.26,80.0
2021-06-30,1446.0,1811.23,2447.37,2134.69,85.0
2021-07-01,866.0,1957.9,2923.61,2437.45,57.0
2021-07-02,1705.0,1970.51,2799.14,2396.26,90.0
2021-07-03,1027.0,2138.85,3288.04,2725.29,44.0
2021-07-04,71.0,1608.93,1764.9,1672.94,12.0
2021-07-05,1140.0,2057.59,3310.84,2669.41,59.0
2021-07-06,1459.0,2019.95,3720.62,2867.95,61.0
2021-07-07,1229.0,1912.21,3079.0,2500.98,67.0
2021-07-08,1204.0,1941.76,3251.24,2587.5,62.0
2021-07-09,954.0,2019.07,3517.45,2770.93,53.0
2021-07-10,1094.0,2005.7,4176.45,3085.57,35.0
2021-07-11,50.0,1588.92,1764.84,1646.1,9.0
2021-07-12,1636.0,1900.04,3173.35,2526.95,81.0
2021-07-13,1908.0,1958.68,3601.68,2782.53,78.0
2021-07-14,1372.0,1952.44,3126.37,2541.98,76.0
2021-07-15,1255.0,1897.77,2945.05,2411.28,88.0
2021-07-16,1274.0,1021.85,1164.37,1101.93,62.0
2021-07-17,1523.0,2000.58,2776.11,2385.04,53.0
2021-07-18,89.0,1814.84,2098.1,1907.07,11.0
2021-07-19,1738.0,1849.72,2725.17,2288.04,91.0
2021-07-20,186.0,1829.64,2100.49,1960.12,27.0
2021-07-21,707.0,2206.32,4294.64,3254.65,17.0
2021-07-22,1649.0,1839.3,2540.67,2203.82,81.0
2021-07-23,1502.0,1909.76,2790.82,2368.43,72.0
2021-07-24,951.0,1946.19,2842.76,2376.06,50.0
2021-07-25,86.0,1619.31,1754.14,1660.73,11.0
2021-07-26,1822.0,1817.26,2557.32,2190.47,88.0
2021-07-27,1901.0,1916.53,3052.07,2481.24,78.0
2021-07-28,1444.0,1836.16,2570.76,2217.98,81.0
2021-07-29,1456.0,1805.63,2470.04,2121.26,85.0
2021-07-30,1157.0,1854.83,2569.39,2209.45,79.0
2021-07-31,1180.0,1956.86,2956.29,2486.95,51.0
2021-08-01,119.0,1708.24,1923.91,1809.87,11.0
2021-08-02,2109.0,1872.69,2911.25,2406.09,85.0
2021-08-03,2178.0,1954.7,3005.34,2489.41,78.0
2021-08-04,1531.0,1929.66,2918.15,2441.08,72.0
2021-08-05,899.0,1957.84,3249.13,2608.1,42.0
2021-08-06,1777.0,1906.94,2964.01,2432.34,88.0
2021-08-07,1457.0,2005.56,3098.61,2542.36,55.0
2021-08-08,88.0,1611.57,1764.41,1667.33,10.0
2021-08-09,2212.0,1891.15,2925.08,2419.1,85.0
2021-08-10,1895.0,1894.44,2895.29,2379.25,83.0
2021-08-11,1383.0,1821.7,2567.3,2180.83,80.0
2021-08-12,1253.0,1854.26,2391.74,2126.39,86.0
2021-08-13,926.0,2002.93,3212.6,2603.71,48.0
2021-08-14,1165.0,1941.17,3103.76,2530.32,49.0
2021-08-15,48.0,1640.42,1849.58,1718.75,7.0
2021-08-16,1173.0,2104.09,3387.44,2744.51,32.0
2021-08-17,1753.0,1966.53,3239.23,2610.27,76.0
2021-08-18,1261.0,1893.28,2805.86,2355.24,75.0
2021-08-19,816.0,1970.8,3127.08,2555.41,27.0
2021-08-20,1530.0,1875.77,2829.91,2363.91,86.0
2021-08-21,1185.0,1939.11,3046.17,2501.9,56.0
2021-08-22,69.0,1598.64,1818.0,1718.3,9.0
2021-08-23,1692.0,1861.57,2719.21,2291.67,83.0
2021-08-24,1678.0,1928.52,3095.57,2504.62,83.0
2021-08-25,1157.0,1841.38,2887.16,2256.84,83.0
2021-08-26,1606.0,1787.99,2492.11,2133.83,89.0
2021-08-27,1458.0,1850.93,2677.0,2081.63,83.0
2021-08-28,1451.0,1891.4,2937.82,2423.32,58.0
2021-08-29,292.0,1644.79,1977.8,1783.62,11.0
2021-08-30,1761.0,1891.09,2858.6,2372.01,85.0
2021-08-31,962.0,1899.33,2255.88,2122.34,58.0
2021-09-01,2453.0,1899.41,3121.84,2485.08,92.0
2021-09-02,2078.0,1843.46,2678.3,2251.55,96.0
2021-09-03,1974.0,1885.92,2748.14,2336.64,88.0
2021-09-04,1590.0,1920.77,2936.35,2436.07,64.0
2021-09-05,156.0,1722.38,1964.17,1828.4,12.0
2021-09-06,663.0,2174.29,3927.23,3055.55,18.0
2021-09-07,1562.0,2040.26,3820.02,2942.24,52.0
2021-09-08,1753.0,1945.02,3275.57,2614.67,77.0
2021-09-09,1909.0,1899.83,2624.36,2261.87,90.0
2021-09-10,150.0,1845.93,2145.47,2020.9,15.0
2021-09-11,1751.0,2064.12,3442.3,2757.39,50.0
2021-09-12,212.0,1750.08,1956.57,1850.32,17.0
2021-09-13,2366.0,2145.24,4386.17,3270.15,50.0
2021-09-14,2400.0,1920.9,3174.19,2546.64,88.0
2021-09-15,2049.0,1907.96,2805.15,2363.56,84.0
2021-09-16,1801.0,1859.33,2643.63,2257.03,84.0
2021-09-17,1090.0,2011.78,3291.65,2657.83,65.0
2021-09-18,1826.0,1861.14,2832.74,2366.18,69.0
2021-09-19,138.0,1785.99,1905.17,1843.88,12.0
2021-09-20,1859.0,1907.21,2895.62,2390.79,89.0
2021-09-21,2217.0,1898.38,2845.23,2375.21,84.0
2021-09-22,1462.0,1817.56,2420.95,2114.31,87.0
2021-09-23,1895.0,1855.72,2649.45,2258.91,91.0
2021-09-24,1501.0,1863.12,2736.19,2304.05,87.0
2021-09-25,626.0,1863.35,2242.69,2065.76,52.0
2021-09-26,224.0,1703.57,9813.96,1789.56,15.0
2021-09-27,1505.0,1999.55,3427.14,2761.33,64.0
2021-09-28,2020.0,1991.17,3406.04,2697.97,62.0
2021-09-29,1384.0,1748.65,2055.67,1896.31,82.0
2021-09-30,2478.0,1924.55,3161.26,2539.46,89.0
2021-10-01,2896.0,1991.64,3604.06,2791.79,83.0
2021-10-02,617.0,2199.55,4494.06,3346.32,17.0
2021-10-03,207.0,1695.52,1914.09,1771.66,16.0
2021-10-04,2643.0,1810.3,2491.91,2155.28,94.0
2021-10-05,2201.0,1907.82,2965.3,2423.93,80.0
2021-10-06,1089.0,2082.09,3742.81,2907.71,44.0
2021-10-07,1830.0,1843.55,2677.78,2292.42,76.0
2021-10-08,1939.0,1915.47,2950.91,2446.99,83.0
2021-10-09,1479.0,1944.54,3055.91,2494.42,56.0
2021-10-10,151.0,1741.68,1888.27,1809.89,14.0
2021-10-11,332.0,2046.9,2494.71,2257.35,29.0
2021-10-12,2637.0,1964.05,3377.66,2677.43,81.0
2021-10-13,1839.0,1909.99,2846.53,2367.45,81.0
2021-10-14,1511.0,1943.0,2847.82,2378.1,73.0
2021-10-15,279.0,1903.94,2158.25,2042.25,30.0
2021-10-16,1277.0,1885.91,2216.37,2071.81,59.0
2021-10-17,124.0,1706.93,1948.6,1811.43,13.0
2021-10-18,1990.0,1904.39,2569.36,2241.59,86.0
2021-10-19,618.0,2156.87,4300.51,3231.65,26.0
2021-10-20,1894.0,1956.55,2908.55,2431.1,88.0
2021-10-21,1592.0,1850.71,2766.25,2334.38,85.0
2021-10-22,1651.0,1911.96,3081.66,2492.16,79.0
2021-10-23,1671.0,1973.12,3121.16,2549.06,64.0
2021-10-24,195.0,1697.02,1970.35,1811.99,14.0
2021-10-25,1748.0,1876.67,2832.46,2360.74,82.0
2021-10-26,1609.0,1987.76,3164.55,2574.58,74.0
2021-10-27,1529.0,1974.77,3039.07,2510.85,77.0
2021-10-28,1809.0,1997.99,3186.88,2585.59,83.0
2021-10-29,1262.0,1961.08,3084.06,2520.66,68.0
2021-10-30,1656.0,2036.62,3275.01,2662.63,60.0
2021-10-31,165.0,1737.88,1964.07,1845.09,13.0
2021-11-01,1625.0,2067.8,3500.78,2797.56,61.0
2021-11-02,1141.0,2143.99,4078.12,3105.63,30.0
2021-11-03,719.0,2394.51,4013.98,3090.45,22.0
2021-11-04,23.0,1693.48,1881.09,1795.65,3.0
2021-11-05,904.0,2066.96,4077.5,3069.14,34.0
2021-11-06,90.0,2047.36,2590.82,2282.07,14.0
2021-11-07,72.0,1726.74,1955.9,1828.12,10.0
2021-11-08,1414.0,1943.48,2992.06,2473.75,76.0
2021-11-09,1502.0,1919.16,2599.24,2220.11,71.0
2021-11-10,1367.0,1964.37,2990.42,2482.6,82.0
2021-11-11,1522.0,1916.91,2832.22,2356.69,86.0
2021-11-12,1555.0,1996.28,3353.25,2664.37,75.0
2021-11-13,1144.0,1994.5,3112.36,2547.0,62.0
2021-11-14,75.0,1689.25,1893.47,1812.03,13.0
2021-11-15,1482.0,2002.91,3207.65,2605.36,78.0
2021-11-16,1395.0,1987.06,3258.84,2630.48,69.0
2021-11-17,1477.0,1950.76,3078.82,2510.77,75.0
2021-11-18,1458.0,1964.63,2969.14,2457.99,75.0
2021-11-19,666.0,1976.1,3654.45,2804.77,29.0
2021-11-20,1352.0,2019.29,2933.32,2466.55,64.0
2021-11-21,161.0,1781.11,1993.98,1855.45,13.0
2021-11-22,2023.0,2071.28,3476.0,2780.34,83.0
2021-11-23,1295.0,1947.54,2923.36,2438.62,79.0
2021-11-24,1642.0,1894.62,3023.27,2443.33,77.0
2021-11-25,1740.0,1960.62,2936.17,2431.47,86.0
2021-11-26,1817.0,1945.16,3111.75,2526.66,83.0
2021-11-27,1229.0,1904.2,2958.65,2446.24,64.0
2021-11-28,191.0,1755.03,2046.32,1864.77,16.0
2021-11-29,2106.0,1901.65,3088.12,2479.39,81.0
2021-11-30,1936.0,1889.58,3121.11,2515.2,79.0
2021-12-01,1388.0,1900.34,3128.62,2472.42,81.0
2021-12-02,1202.0,1934.84,3051.29,2490.74,66.0
2021-12-03,1174.0,1965.43,3093.12,2518.89,69.0
2021-12-04,742.0,1898.06,3073.98,2484.9,48.0
2021-12-05,154.0,1774.25,1963.94,1863.66,16.0
2021-12-06,1568.0,1888.42,3129.3,2497.01,85.0
2021-12-07,2101.0,2811.29,4917.49,4141.2,71.0
2021-12-08,1377.0,1943.04,3127.45,2537.13,74.0
2021-12-09,1427.0,1918.54,3086.58,2503.15,80.0
2021-12-10,1254.0,1907.17,2388.26,2128.47,85.0
2021-12-11,1253.0,1945.64,3365.68,2629.88,57.0
2021-12-12,125.0,1772.32,2135.33,1887.1,18.0
2021-12-13,1650.0,1936.56,3334.15,2626.26,83.0
2021-12-14,1868.0,1903.78,3551.9,2730.86,77.0
2021-12-15,1280.0,2060.05,2637.46,2353.05,78.0
2021-12-16,1194.0,1924.52,3224.99,2512.23,79.0
2021-12-17,2789.0,1839.01,2722.36,2323.08,71.0
2021-12-18,1063.0,2110.37,3417.08,2755.01,54.0
2021-12-19,150.0,1869.17,2136.88,1989.79,16.0
2021-12-20,1599.0,1940.88,2657.43,2296.39,78.0
2021-12-21,1180.0,1950.07,3713.06,2570.45,67.0
2021-12-22,1406.0,1922.43,3198.75,2558.15,78.0
2021-12-23,1372.0,1916.67,2824.73,2358.23,85.0
2021-12-24,1197.0,1984.24,3070.76,2524.92,74.0
2021-12-25,686.0,1987.31,3849.9,2901.67,26.0
2021-12-26,178.0,1738.62,2100.43,1903.14,14.0
2021-12-27,1418.0,1949.22,3201.38,2558.25,82.0
2021-12-28,1206.0,1976.69,3393.1,2672.31,71.0
2021-12-29,1167.0,2001.43,2488.28,2260.45,73.0
2021-12-30,1150.0,1939.48,2968.91,2433.5,76.0
2021-12-31,1028.0,2031.09,3249.47,2629.67,64.0
2022-01-01,992.0,2007.05,3031.77,2513.53,58.0
2022-01-02,92.0,2078.63,2363.11,2197.1,10.0
2022-01-03,1593.0,2122.94,3149.52,2622.62,77.0
2022-01-04,1462.0,1980.11,3111.87,2540.2,68.0
2022-01-05,1086.0,1983.37,2902.66,2436.78,66.0
2022-01-06,491.0,1945.65,2430.47,2196.36,40.0
2022-01-07,1273.0,2015.6,2827.11,2413.04,72.0
2022-01-08,1104.0,1976.44,3106.8,2537.6,52.0
2022-01-09,90.0,2070.61,2275.51,2188.68,9.0
2022-01-10,1378.0,2005.15,3287.71,2639.05,60.0
2022-01-11,1379.0,2034.37,3387.74,2705.22,62.0
2022-01-12,837.0,2046.07,3350.04,2700.09,41.0
2022-01-13,206.0,1727.12,1972.19,1843.16,34.0
2022-01-14,937.0,2103.67,3361.04,2738.14,39.0
2022-01-15,831.0,2119.42,3509.72,2817.15,31.0
2022-01-16,107.0,2029.14,2312.51,2144.34,14.0
2022-01-17,1440.0,1959.49,3132.15,2544.59,80.0
2022-01-18,1651.0,1989.37,3263.72,2631.07,66.0
2022-01-19,971.0,2008.36,3052.64,2523.91,64.0
2022-01-20,1308.0,2023.96,2991.01,2503.73,79.0
2022-01-21,994.0,1997.42,2987.8,2487.87,70.0
2022-01-22,1015.0,2034.49,2961.03,2493.29,61.0
2022-01-23,131.0,1969.39,2297.38,2106.99,15.0
2022-01-24,1300.0,2010.5,2890.59,2449.32,77.0
2022-01-25,1420.0,2035.27,3134.54,2592.53,66.0
2022-01-26,32.0,1920.62,2206.88,2076.09,5.0
2022-01-27,1451.0,1989.49,3041.25,2499.47,75.0
2022-01-28,1348.0,2023.09,3092.13,2555.01,73.0
2022-01-29,928.0,2005.65,2881.94,2445.93,60.0
2022-01-30,137.0,2011.42,2309.23,2129.67,13.0
2022-01-31,1479.0,1991.85,3120.57,2547.33,64.0
2022-02-01,1374.0,2101.32,3387.65,2786.86,55.0
2022-02-02,1531.0,1920.35,2770.29,2354.4,67.0
2022-02-03,1525.0,2013.79,2839.95,2420.85,83.0
2022-02-04,1049.0,1943.48,2652.23,2299.01,74.0
2022-02-05,1325.0,2070.43,3029.79,2552.02,59.0
2022-02-06,88.0,2036.53,2425.69,2181.02,10.0
2022-02-07,1002.0,2043.27,3214.41,2638.25,34.0
2022-02-08,1457.0,2034.88,2947.62,2505.79,77.0
2022-02-09,1412.0,2022.78,2776.43,2413.38,74.0
2022-02-10,1468.0,2024.62,2873.46,2454.91,77.0
2022-02-11,1418.0,2023.75,3032.48,2532.91,75.0
2022-02-12,1090.0,2042.23,2954.01,2497.39,58.0
2022-02-13,160.0,1896.56,2216.49,2025.38,15.0
2022-02-14,1550.0,1997.21,2908.03,2448.05,79.0
2022-02-15,1657.0,2002.37,3009.25,2513.58,74.0
2022-02-16,1125.0,1985.46,2844.89,2432.22,75.0
2022-02-17,1002.0,1988.28,2717.56,2356.02,70.0
2022-02-18,1043.0,1977.37,2939.81,2455.6,67.0
2022-02-19,162.0,2274.37,2508.17,2461.96,12.0
2022-02-20,83.0,1844.29,2101.02,1970.67,12.0
2022-02-21,1674.0,2009.28,2874.8,2445.25,75.0
2022-02-22,1800.0,2020.24,3037.5,2537.51,72.0
2022-02-23,1221.0,1991.4,2777.33,2389.69,68.0
2022-02-24,1453.0,1950.85,2710.71,2336.95,83.0
2022-02-25,1087.0,1925.94,2609.06,2270.02,72.0
2022-02-26,1031.0,2056.58,2914.71,2484.29,59.0
2022-02-27,158.0,1859.25,2076.1,1928.46,14.0
2022-02-28,2171.0,1950.46,2764.06,2362.77,83.0
2022-03-01,98.0,2313.83,2834.66,2557.89,12.0
2022-03-02,3191.0,2008.56,2578.54,2317.35,65.0
2022-03-03,2159.0,1945.57,2470.34,2226.74,81.0
2022-03-04,2152.0,1973.9,2557.89,2291.8,84.0
2022-03-05,1924.0,2014.2,2599.5,2308.84,71.0
2022-03-06,175.0,1907.29,2201.15,2032.31,12.0
2022-03-07,3585.0,1952.39,2557.35,2302.94,84.0
2022-03-08,4088.0,2101.48,2730.76,2450.82,84.0
2022-03-09,2525.0,2052.99,2669.83,2406.07,86.0
2022-03-10,2896.0,2110.02,2737.84,2454.82,85.0
2022-03-11,2623.0,2062.01,2693.02,2430.93,85.0
2022-03-12,2653.0,2139.52,2845.66,2527.36,66.0
2022-03-13,471.0,2082.71,2254.38,2143.64,15.0
2022-03-14,5081.0,2091.41,2721.54,2442.93,96.0
2022-03-15,4764.0,2052.89,2623.31,2382.14,79.0
2022-03-16,3904.0,2022.1,2607.57,2362.07,90.0
2022-03-17,3170.0,2106.17,2623.55,2416.89,56.0
2022-03-18,92.0,2574.07,3143.78,2862.87,12.0
2022-03-19,2833.0,2110.01,2702.9,2448.53,63.0
2022-03-20,318.0,2014.72,2203.55,2119.52,12.0
2022-03-21,5268.0,1994.09,2516.56,2306.72,96.0
2022-03-22,4219.0,1968.78,2492.41,2224.41,76.0
2022-03-23,3584.0,2070.61,2462.69,2309.1,90.0
2022-03-24,5509.0,2040.88,2475.7,2273.14,91.0
2022-03-25,3982.0,2060.73,2526.06,2315.72,80.0
2022-03-26,2206.0,2106.97,2677.63,2396.03,55.0
2022-03-27,1213.0,1982.47,2102.51,2049.07,17.0
