Date,WHEAT,SUGAR,COFFEE,COTTON,SOYBEANS
2000-12-05,259.25,9.71,66.5,64.35,500.75
2000-01-06,248.5,5.77,116.85,52.08,468.0
2000-03-06,249.75,5.04,106.3,59.4,508.25
2000-04-06,253.75,5.96,100.85,55.68,531.0
2000-06-06,267.0,8.15,89.15,57.6,530.5
2000-07-06,244.5,8.86,82.85,50.05,470.75
2000-09-06,247.5,10.4,75.25,64.36,485.25
2000-10-06,268.0,10.08,79.45,64.21,485.0
2000-11-06,262.75,9.56,74.7,65.36,474.25
2000-12-06,260.0,9.61,66.15,64.34,507.0
2000-01-07,251.75,5.84,114.15,53.96,471.5
2000-02-07,258.75,5.66,111.7,56.18,506.5
2000-03-07,250.0,5.07,108.4,59.65,502.25
2000-04-07,258.5,5.89,99.6,56.29,538.75
2000-06-07,264.25,8.16,92.05,58.25,522.5
2000-07-07,245.5,8.68,80.8,51.73,473.5
2000-08-07,233.5,10.5,85.4,60.68,434.0
2000-09-07,249.5,10.73,78.0,64.14,480.0
2000-11-07,262.25,9.53,74.6,65.89,475.0
2000-12-07,254.75,9.63,66.35,67.25,503.0
2000-02-08,259.25,5.53,108.55,55.3,500.25
2000-03-08,252.0,5.12,107.4,60.5,505.5
2000-05-08,258.0,6.45,97.15,58.06,547.25
2000-06-08,266.5,8.18,92.55,58.19,521.5
2000-08-08,236.5,10.7,83.7,60.76,442.25
2000-09-08,250.5,10.67,77.4,64.72,495.0
2000-11-08,265.25,9.26,75.3,65.65,474.0
2000-12-08,257.5,9.75,63.65,67.13,511.5
2000-02-09,265.5,5.49,107.7,55.8,503.75
2000-03-09,254.25,5.16,107.2,61.01,507.0
2000-05-09,257.75,6.5,97.45,59.66,545.25
2000-06-09,269.75,8.57,91.85,58.39,520.75
2000-08-09,235.5,10.59,79.5,62.13,440.5
2000-10-09,267.25,10.46,79.95,64.83,483.0
2000-11-09,258.25,8.81,74.0,64.96,467.25
2000-01-10,253.5,5.83,117.55,53.56,466.25
2000-02-10,271.75,5.52,108.75,57.54,513.0
2000-03-10,250.0,5.22,106.1,63.6,500.0
2000-04-10,252.75,5.86,96.65,55.99,532.0
2000-05-10,265.0,6.5,97.25,61.24,560.0
2000-07-10,247.25,8.66,84.0,55.63,473.25
2000-08-10,235.75,10.41,79.6,60.86,445.75
2000-10-10,275.25,10.77,80.75,64.57,485.75
2000-11-10,256.75,9.15,74.15,65.4,463.25
2000-01-11,253.75,5.67,117.8,54.18,467.0
2000-02-11,269.5,5.49,108.8,56.97,505.25
2000-04-11,252.75,5.97,96.55,54.95,528.0
2000-05-11,272.5,6.63,95.9,60.8,559.0
2000-07-11,247.0,8.83,90.1,55.67,471.25
2000-08-11,236.75,10.65,80.65,61.73,452.0
2000-09-11,249.25,10.4,77.75,64.6,495.75
2000-10-11,276.75,10.97,83.15,63.85,478.0
2000-12-11,255.0,9.7,64.1,67.42,511.0
2000-01-12,258.75,5.45,118.95,53.72,472.5
2000-04-12,255.5,6.03,94.2,55.75,537.5
2000-05-12,271.0,6.78,91.8,62.23,551.5
2000-06-12,265.75,8.49,91.15,56.65,510.5
2000-07-12,243.0,9.17,89.7,56.01,474.5
2000-09-12,245.0,10.47,78.65,63.18,495.5
2000-10-12,273.5,10.86,81.3,64.36,474.25
2000-12-12,254.5,9.65,64.2,65.59,507.25
2001-02-01,270.25,10.25,64.7,59.43,462.5
2001-03-01,266.75,9.14,62.75,53.05,457.0
2001-05-01,271.0,8.95,64.5,44.48,436.0
2001-06-01,270.75,8.6,57.9,41.42,455.0
2001-08-01,274.5,7.91,51.25,41.28,509.0
2001-10-01,266.25,6.58,47.4,33.3,452.0
2001-11-01,288.75,6.66,45.2,30.03,435.0
2001-01-02,276.25,10.17,63.4,60.35,495.0
2001-02-02,272.0,10.14,63.2,59.76,468.5
2001-03-02,270.5,9.11,63.3,53.5,455.75
2001-04-02,259.0,8.15,59.5,44.73,432.75
2001-05-02,268.25,8.97,63.2,45.45,441.5
2001-07-02,251.25,8.76,54.9,41.18,491.75
2001-08-02,269.5,7.65,50.45,41.16,493.25
2001-10-02,263.5,6.57,46.75,33.95,453.0
2001-11-02,285.5,6.63,45.4,29.96,433.5
2001-01-03,283.25,10.23,63.45,60.96,497.25
2001-04-03,261.75,8.2,58.7,45.39,430.25
2001-05-03,263.0,9.2,64.6,44.5,442.75
2001-07-03,253.5,8.52,55.0,40.43,488.5
2001-08-03,264.75,7.8,50.4,41.9,492.0
2001-09-03,278.0,7.91,50.5,37.94,479.5
2001-10-03,269.5,6.71,46.0,33.45,452.0
2001-12-03,279.75,7.64,42.2,35.41,447.25
2001-01-04,284.25,10.35,63.35,59.61,492.25
2001-04-04,265.25,8.15,59.25,46.19,437.25
2001-05-04,264.0,8.98,63.65,44.65,444.5
2001-06-04,263.5,8.66,59.45,41.06,453.0
2001-07-04,253.5,8.52,55.0,40.43,488.5
2001-09-04,276.5,7.81,47.5,38.88,478.75
2001-10-04,272.75,6.65,46.5,33.0,451.0
2001-12-04,275.25,7.7,41.5,34.71,444.75
2001-01-05,283.0,10.27,64.35,59.42,489.5
2001-02-05,268.5,10.0,62.7,60.15,462.25
2001-03-05,273.75,9.3,63.7,53.85,456.5
2001-04-05,265.0,8.08,59.1,45.97,437.5
2001-06-05,260.5,8.65,59.7,40.98,453.25
2001-07-05,257.0,8.52,54.0,41.1,496.0
2001-09-05,274.75,7.93,48.5,38.25,473.0
2001-10-05,273.25,6.57,46.65,31.95,452.25
2001-11-05,284.25,6.85,46.85,30.58,435.5
2001-12-05,277.25,7.79,42.1,34.71,442.5
2001-02-06,267.0,10.01,62.2,60.23,464.25
2001-03-06,272.25,9.32,65.0,54.05,461.75
2001-04-06,262.0,8.16,58.1,46.88,436.0
2001-06-06,261.5,8.6,58.4,42.03,461.5
2001-07-06,258.75,8.38,53.85,41.13,495.0
2001-08-06,265.0,7.82,49.85,41.97,501.5
2001-09-06,270.5,7.82,48.65,37.1,464.0
2001-11-06,285.5,7.05,48.0,30.81,432.0
2001-12-06,273.0,7.84,42.0,34.71,441.5
2001-02-07,267.0,9.89,61.75,59.2,463.5
2001-03-07,270.0,9.1,65.8,54.05,457.5
2001-05-07,259.5,8.92,66.0,44.48,441.5
2001-06-07,264.25,8.5,57.7,41.94,461.5
2001-08-07,267.0,7.72,49.7,41.13,508.5
2001-09-07,269.25,7.86,48.5,36.5,463.75
2001-11-07,287.0,7.19,47.3,32.23,439.0
2001-12-07,275.5,7.75,43.0,37.34,445.25
2001-01-08,283.0,10.47,63.85,60.23,491.0
2001-02-08,266.75,9.88,62.0,59.05,452.25
2001-03-08,270.5,9.01,64.15,54.01,455.5
2001-05-08,257.75,9.1,66.4,43.76,447.5
2001-06-08,264.0,8.63,58.15,42.71,466.5
2001-08-08,268.5,7.71,49.65,40.82,518.0
2001-10-08,271.75,6.27,45.9,31.1,454.0
2001-11-08,283.75,7.26,45.75,32.15,434.75
2001-01-09,285.0,10.46,63.8,59.87,495.25
2001-02-09,266.25,9.8,62.65,58.37,456.25
2001-03-09,270.25,9.0,61.7,52.66,456.75
2001-04-09,260.0,8.21,57.6,46.59,441.25
2001-05-09,257.0,9.0,65.55,45.43,447.5
2001-07-09,258.25,8.68,52.95,41.48,503.5
2001-08-09,271.0,7.63,50.1,40.45,514.0
2001-10-09,274.25,6.15,45.35,30.65,451.5
2001-11-09,286.0,7.11,44.7,32.78,441.75
2001-01-10,289.0,10.29,63.35,60.34,490.5
2001-04-10,257.25,8.36,57.35,46.57,432.75
2001-05-10,260.0,9.06,65.8,44.83,447.5
2001-07-10,262.0,8.6,52.5,40.67,509.0
2001-08-10,270.25,7.65,48.4,38.45,519.0
2001-09-10,271.0,7.87,48.35,36.5,464.75
2001-10-10,279.0,6.27,45.35,32.32,448.25
2001-12-10,273.75,7.51,43.5,36.34,443.0
2001-01-11,289.75,10.26,63.6,60.87,479.75
2001-04-11,260.75,8.18,57.35,45.78,437.25
2001-05-11,262.5,9.1,64.95,45.17,450.0
2001-06-11,261.75,8.6,57.0,40.72,471.5
2001-07-11,267.0,8.59,52.5,41.5,513.5
2001-09-11,271.0,7.87,48.35,36.5,464.75
2001-10-11,279.25,6.46,44.65,32.17,447.75
2001-12-11,277.75,7.35,43.9,37.11,437.5
2001-01-12,289.0,10.0,65.0,61.12,479.25
2001-02-12,261.75,9.86,62.3,58.9,453.25
2001-03-12,277.0,8.83,62.05,51.77,459.0
2001-04-12,266.75,8.31,57.6,45.34,435.25
2001-06-12,263.25,8.63,57.65,41.01,473.75
2001-07-12,281.0,8.62,52.1,41.4,525.0
2001-09-12,271.0,7.87,48.35,36.5,464.75
2001-10-12,276.25,6.44,44.7,32.01,435.5
2001-11-12,283.0,7.14,44.7,32.78,445.0
2001-12-12,277.0,7.35,44.35,36.11,432.5
2002-02-01,287.0,6.35,45.45,37.45,426.75
2002-03-01,270.0,5.97,45.85,34.55,446.5
2002-04-01,285.25,5.77,58.5,38.41,475.75
2002-05-01,266.25,5.2,49.5,33.5,460.25
2002-07-01,315.5,5.16,47.8,45.3,549.5
2002-08-01,334.75,5.81,47.5,47.26,568.5
2002-10-01,396.5,6.49,56.55,43.39,542.0
2002-11-01,413.5,7.34,64.0,46.91,568.5
2002-01-02,292.0,7.71,47.35,36.46,418.0
2002-04-02,283.25,5.83,59.35,38.63,473.25
2002-05-02,258.5,5.46,48.85,32.1,459.25
2002-07-02,316.0,5.49,49.9,45.25,544.25
2002-08-02,337.0,5.78,48.1,46.48,561.25
2002-09-02,362.25,5.98,51.5,44.66,559.0
2002-10-02,383.5,6.69,56.95,44.2,537.5
2002-12-02,372.0,7.68,68.8,47.3,578.5
2002-01-03,300.0,7.65,47.5,36.14,423.75
2002-04-03,283.5,5.66,59.45,38.2,461.75
2002-05-03,260.25,5.36,49.0,31.9,459.0
2002-06-03,286.75,5.77,51.2,39.48,505.5
2002-07-03,316.0,5.6,48.15,46.05,556.5
2002-09-03,367.0,6.21,54.25,43.8,559.75
2002-10-03,374.75,6.76,56.45,42.55,538.0
2002-12-03,356.5,7.81,66.85,45.7,564.5
2002-01-04,307.0,7.64,48.55,36.62,424.0
2002-02-04,280.75,6.24,45.5,37.83,434.0
2002-03-04,270.75,5.96,45.75,34.6,443.5
2002-04-04,280.5,5.62,56.8,37.72,459.0
2002-06-04,282.0,5.75,50.85,38.83,509.75
2002-07-04,316.0,5.6,48.15,46.05,556.5
2002-09-04,379.0,6.07,55.95,43.5,563.25
2002-10-04,376.25,6.73,56.0,40.6,539.5
2002-11-04,408.25,7.45,65.25,49.13,575.25
2002-12-04,356.75,7.62,65.8,45.65,566.25
2002-02-05,283.0,6.34,44.85,37.3,432.75
2002-03-05,274.25,6.04,46.8,35.15,449.0
2002-04-05,277.25,5.7,55.0,37.73,465.5
2002-06-05,283.25,5.75,50.15,39.03,513.75
2002-07-05,318.5,5.6,48.15,46.05,569.75
2002-08-05,338.0,5.79,47.15,44.22,559.25
2002-09-05,386.5,6.14,55.0,43.84,565.5
2002-11-05,400.75,7.64,65.9,47.95,578.25
2002-12-05,347.0,7.54,66.9,46.15,562.0
2002-02-06,280.25,6.39,45.1,37.37,428.0
2002-03-06,274.5,6.0,48.25,34.95,447.25
2002-05-06,263.0,5.47,48.8,32.05,460.75
2002-06-06,280.5,5.57,50.25,39.16,513.25
2002-08-06,341.75,5.84,47.35,44.8,564.75
2002-09-06,403.5,6.33,55.5,43.34,565.0
2002-11-06,394.5,7.72,66.15,47.69,580.5
2002-12-06,349.25,7.45,63.4,49.11,563.25
2002-01-07,304.75,7.71,48.25,37.56,429.0
2002-02-07,281.0,6.28,44.8,38.14,431.25
2002-03-07,272.5,6.06,47.4,38.45,451.5
2002-05-07,267.0,5.31,49.0,31.47,461.0
2002-06-07,275.0,5.62,49.15,39.15,507.5
2002-08-07,346.25,5.92,47.35,44.96,560.0
2002-10-07,381.75,6.88,57.75,41.1,539.75
2002-11-07,397.0,7.55,66.55,48.23,574.0
2002-01-08,305.0,7.8,48.55,38.45,435.0
2002-02-08,281.75,6.18,44.55,38.26,429.0
2002-03-08,271.0,6.18,48.45,37.83,458.0
2002-04-08,273.0,5.59,54.05,37.06,458.0
2002-05-08,264.0,5.41,48.4,32.2,467.25
2002-07-08,314.5,5.55,48.5,44.75,573.5
2002-08-08,338.5,5.98,47.9,44.6,557.75
2002-10-08,381.75,7.12,58.25,41.05,535.25
2002-11-08,382.5,7.45,67.85,48.39,563.25
2002-01-09,302.75,8.03,50.85,37.73,440.0
2002-04-09,270.25,5.62,56.1,36.86,461.25
2002-05-09,266.75,5.44,47.3,33.95,473.0
2002-07-09,313.0,5.73,49.3,44.84,587.5
2002-08-09,344.5,5.89,47.55,44.29,568.0
2002-09-09,415.0,6.66,59.3,43.39,573.5
2002-10-09,372.25,7.04,58.8,43.17,523.5
2002-12-09,348.0,7.23,62.2,48.72,562.0
2002-01-10,303.5,7.92,51.3,37.4,433.25
2002-04-10,272.5,5.68,56.05,38.14,460.5
2002-05-10,265.0,5.49,47.5,35.21,468.25
2002-06-10,278.25,5.55,49.5,38.71,500.5
2002-07-10,319.5,5.86,50.0,47.95,584.5
2002-09-10,414.0,6.69,58.25,43.43,581.0
2002-10-10,365.75,6.96,57.4,43.54,524.75
2002-12-10,339.5,7.45,61.9,50.63,564.0
2002-01-11,308.25,7.76,49.55,37.04,445.0
2002-02-11,281.0,6.0,43.1,37.46,431.0
2002-03-11,267.25,6.21,52.85,38.12,458.0
2002-04-11,271.25,5.51,54.95,37.37,458.0
2002-06-11,279.5,5.39,49.35,38.95,500.5
2002-07-11,326.0,5.99,51.9,46.06,576.5
2002-09-11,416.0,6.65,57.5,43.21,591.5
2002-10-11,365.5,6.91,57.35,42.84,528.5
2002-11-11,383.5,7.34,66.1,48.42,574.0
2002-12-11,347.5,7.49,58.25,50.31,568.0
2002-02-12,280.75,6.15,43.0,38.44,436.25
2002-03-12,268.0,6.09,55.4,37.55,456.75
2002-04-12,272.5,5.55,53.2,37.05,461.0
2002-06-12,283.5,5.25,48.9,40.07,493.25
2002-07-12,315.25,5.99,49.85,44.74,578.0
2002-08-12,351.75,5.7,48.45,45.43,590.5
2002-09-12,409.0,6.75,58.75,41.73,578.0
2002-11-12,374.5,7.06,63.75,47.57,569.5
2002-12-12,345.5,7.47,58.05,49.22,576.0
2003-04-01,283.0,7.6,58.3,57.72,573.75
2003-05-01,275.5,7.38,68.15,54.3,625.75
2003-07-01,306.25,6.22,58.8,58.1,626.25
2003-08-01,351.0,7.24,65.05,56.35,537.5
2003-09-01,367.5,6.29,61.45,57.55,595.0
2003-10-01,364.25,6.44,65.15,66.45,687.25
2003-12-01,395.75,6.29,59.6,68.25,761.0
2003-01-02,328.75,7.69,61.65,52.01,584.5
2003-04-02,287.5,7.59,60.15,57.95,586.75
2003-05-02,277.5,7.17,67.0,54.1,626.25
2003-06-02,318.75,6.93,60.0,50.12,612.5
2003-07-02,306.5,6.45,61.5,58.25,628.75
2003-09-02,363.25,6.2,61.9,57.5,579.75
2003-10-02,359.0,6.38,64.5,67.1,697.0
2003-12-02,395.75,6.38,62.0,68.5,773.25
2003-01-03,330.5,7.4,61.25,51.62,582.25
2003-02-03,323.5,8.55,66.15,52.18,568.0
2003-03-03,318.25,8.44,57.5,49.57,576.5
2003-04-03,281.5,7.73,61.4,57.5,585.25
2003-06-03,319.5,6.73,59.6,48.63,610.25
2003-07-03,303.25,6.39,60.5,58.4,626.75
2003-09-03,358.5,6.13,61.75,57.59,586.25
2003-10-03,352.25,6.47,65.1,66.4,678.0
2003-11-03,365.0,5.86,58.65,76.41,790.0
2003-12-03,402.0,6.58,62.5,68.2,778.25
2003-02-04,324.0,8.4,65.05,51.98,570.5
2003-03-04,326.5,8.25,57.0,48.65,572.75
2003-04-04,285.0,7.66,60.8,57.69,590.75
2003-06-04,313.5,6.69,59.3,49.64,615.25
2003-07-04,303.25,6.39,60.5,58.4,626.75
2003-08-04,354.0,7.33,65.0,55.95,539.5
2003-09-04,354.0,5.97,63.15,57.92,605.75
2003-11-04,363.5,5.99,59.75,77.55,757.0
2003-12-04,399.5,6.71,60.95,67.0,769.0
2003-02-05,324.0,8.57,64.25,51.85,563.0
2003-03-05,321.5,8.1,58.3,49.0,568.5
2003-05-05,282.25,6.86,67.4,52.25,623.75
2003-06-05,320.5,6.52,59.05,50.51,618.75
2003-08-05,349.75,7.35,63.25,55.93,542.0
2003-09-05,345.0,6.05,64.55,58.25,608.0
2003-11-05,378.0,5.97,59.45,77.82,765.25
2003-12-05,391.0,6.65,61.9,67.74,760.5
2003-01-06,331.5,7.61,63.25,51.08,582.0
2003-02-06,327.0,8.87,65.65,51.7,562.5
2003-03-06,321.0,8.16,58.35,49.5,562.5
2003-05-06,287.0,7.1,68.7,50.2,625.0
2003-06-06,320.5,6.71,59.4,50.76,631.5
2003-08-06,358.5,7.28,63.9,57.4,540.0
2003-10-06,341.0,6.23,63.2,67.4,684.0
2003-11-06,375.5,6.02,59.7,75.52,757.75
2003-01-07,327.75,7.55,63.5,51.17,585.25
2003-02-07,331.0,8.93,65.8,50.15,555.75
2003-03-07,313.0,8.22,58.65,50.64,564.5
2003-04-07,290.25,7.57,62.25,57.32,598.75
2003-05-07,296.0,6.85,67.85,49.01,623.0
2003-07-07,298.25,6.51,60.15,59.3,620.5
2003-08-07,357.25,6.79,64.45,56.4,543.0
2003-10-07,332.5,6.09,63.3,66.85,687.75
2003-11-07,378.0,6.07,60.35,77.27,743.0
2003-01-08,337.0,7.74,62.85,51.74,589.5
2003-04-08,283.5,7.37,61.2,56.97,601.0
2003-05-08,293.5,6.68,68.0,52.34,621.25
2003-07-08,300.0,6.53,60.75,58.42,613.75
2003-08-08,357.5,6.62,63.7,56.6,548.5
2003-09-08,348.5,6.01,68.5,57.65,605.25
2003-10-08,327.75,6.07,62.65,68.65,678.5
2003-12-08,396.5,6.66,63.85,70.04,770.75
2003-01-09,329.0,7.59,62.7,51.06,586.5
2003-04-09,287.0,7.29,60.8,56.87,604.0
2003-05-09,317.0,6.87,67.7,53.34,636.25
2003-06-09,327.25,6.62,58.9,52.21,625.5
2003-07-09,310.0,6.58,61.6,58.85,619.0
2003-09-09,347.0,5.96,69.2,58.18,615.5
2003-10-09,327.25,6.01,62.2,68.75,692.5
2003-12-09,395.0,6.72,63.5,70.24,787.0
2003-01-10,319.25,7.67,65.05,51.4,564.75
2003-02-10,334.75,9.01,66.8,50.68,564.75
2003-03-10,311.75,8.01,59.15,58.03,566.5
2003-04-10,285.5,7.2,60.45,57.92,601.0
2003-06-10,333.75,6.67,60.3,53.19,633.5
2003-07-10,309.75,6.44,60.0,59.98,614.5
2003-09-10,345.0,6.1,69.1,60.7,616.5
2003-10-10,326.75,5.96,61.2,71.54,713.5
2003-11-10,383.0,6.2,59.1,76.7,757.5
2003-12-10,386.5,6.7,63.0,69.81,785.0
2003-02-11,330.0,8.9,66.1,53.27,572.0
2003-03-11,310.0,8.12,57.35,58.06,572.0
2003-04-11,284.25,7.23,60.45,58.0,600.25
2003-06-11,330.5,6.54,61.25,55.18,629.5
2003-07-11,314.5,6.51,60.2,60.08,620.75
2003-08-11,358.5,6.81,61.1,55.9,556.5
2003-09-11,340.0,6.0,70.35,63.7,637.5
2003-11-11,389.0,6.21,59.3,75.95,777.0
2003-12-11,378.0,6.75,62.0,69.89,766.75
2003-02-12,325.5,8.8,64.8,52.34,563.25
2003-03-12,306.5,7.81,56.85,58.8,566.75
2003-05-12,326.0,7.04,67.75,54.15,642.25
2003-06-12,337.0,6.43,61.35,55.67,624.5
2003-08-12,361.75,6.73,60.45,54.79,571.25
2003-09-12,338.5,6.05,68.45,64.47,648.0
2003-11-12,403.5,6.22,59.0,73.06,769.0
2003-12-12,380.5,6.77,63.0,70.31,776.25
2004-03-01,375.0,6.24,74.4,71.75,962.25
2004-04-01,410.5,6.25,74.1,61.53,1029.5
2004-06-01,388.25,7.22,82.9,58.23,864.0
2004-07-01,330.5,7.77,72.75,46.65,933.5
2004-09-01,317.5,8.17,70.45,53.4,636.5
2004-10-01,303.75,8.9,80.15,48.0,534.5
2004-11-01,306.25,8.46,74.2,43.98,518.0
2004-12-01,286.0,8.9,95.7,47.88,528.0
2004-01-02,405.75,5.67,64.95,75.07,792.5
2004-02-02,385.0,5.72,74.95,68.64,793.0
2004-03-02,374.0,6.16,73.7,69.9,931.0
2004-04-02,416.25,6.36,73.4,62.62,1045.5
2004-06-02,375.0,7.04,83.9,57.38,849.5
2004-07-02,335.0,7.96,70.05,47.25,939.5
2004-08-02,317.0,8.39,66.45,44.3,598.0
2004-09-02,311.25,8.2,70.55,54.0,627.75
2004-11-02,302.25,8.5,75.7,45.15,528.0
2004-12-02,283.5,8.82,94.9,47.4,520.75
2004-02-03,380.5,5.75,74.65,68.9,802.5
2004-03-03,369.5,6.06,71.8,68.5,942.0
2004-05-03,387.25,6.89,67.75,61.5,1041.5
2004-06-03,367.25,7.03,83.1,57.04,806.0
2004-08-03,317.0,8.38,66.8,45.46,599.5
2004-09-03,308.0,8.13,68.3,51.0,614.75
2004-11-03,300.25,8.35,77.15,44.58,524.25
2004-12-03,291.0,8.8,94.9,45.25,525.75
2004-02-04,376.0,5.68,72.6,69.25,805.75
2004-03-04,370.75,6.13,72.6,67.6,932.5
2004-05-04,403.5,6.87,70.1,60.6,1038.25
2004-06-04,370.0,7.19,83.0,57.8,838.5
2004-08-04,318.5,8.15,66.3,44.95,590.0
2004-10-04,302.5,8.93,76.2,49.25,525.25
2004-11-04,303.0,8.43,77.9,43.37,509.5
2004-01-05,398.5,5.7,68.6,75.8,796.75
2004-02-05,381.0,5.58,72.6,68.5,832.25
2004-03-05,366.5,6.19,73.05,68.0,933.75
2004-04-05,414.0,6.31,71.95,62.18,1024.5
2004-05-05,399.0,6.63,70.2,61.93,1034.5
2004-07-05,335.0,7.96,70.05,47.25,939.5
2004-08-05,321.5,8.13,65.9,45.73,609.5
2004-10-05,306.25,9.05,78.15,48.87,524.0
2004-11-05,306.5,8.48,78.3,43.36,505.0
2004-01-06,394.5,5.85,70.05,75.67,796.25
2004-02-06,378.5,5.45,71.8,69.07,840.0
2004-04-06,416.5,6.43,72.8,61.72,1009.0
2004-05-06,394.5,6.78,69.15,63.75,1018.0
2004-07-06,338.5,8.13,68.7,46.5,979.5
2004-08-06,315.75,8.17,67.05,44.9,606.75
2004-09-06,308.0,8.13,68.3,51.0,614.75
2004-10-06,302.0,8.95,77.65,50.35,526.25
2004-12-06,293.0,8.86,94.5,45.8,529.75
2004-01-07,395.5,5.94,68.85,74.04,787.5
2004-04-07,415.0,6.66,73.25,61.68,1016.0
2004-05-07,393.5,6.59,68.1,64.75,1050.5
2004-06-07,363.0,7.19,81.05,56.53,849.0
2004-07-07,341.0,8.22,69.4,46.75,961.5
2004-09-07,305.75,7.89,67.15,52.2,588.0
2004-10-07,302.75,8.9,78.15,46.87,525.75
2004-12-07,287.0,8.7,94.6,45.97,522.0
2004-01-08,394.0,5.76,68.35,75.13,793.5
2004-03-08,360.25,6.22,73.6,65.75,911.5
2004-04-08,414.5,6.78,72.55,61.71,988.0
2004-06-08,363.0,6.95,81.6,55.69,852.0
2004-07-08,334.0,8.16,67.8,44.87,972.5
2004-09-08,309.25,7.92,67.55,53.0,581.5
2004-10-08,303.25,9.02,77.2,47.35,528.5
2004-11-08,308.75,8.6,79.85,43.83,502.0
2004-12-08,287.25,8.74,95.25,44.0,529.25
2004-01-09,385.5,5.93,68.8,74.17,790.0
2004-02-09,382.25,5.36,71.5,67.96,847.5
2004-03-09,363.0,6.31,72.1,62.85,942.0
2004-06-09,360.0,6.93,83.0,56.59,852.0
2004-07-09,330.0,8.27,68.85,47.85,954.0
2004-08-09,316.0,8.08,67.35,44.9,614.5
2004-09-09,311.5,7.75,70.2,52.55,581.25
2004-11-09,304.5,8.51,80.0,44.04,510.5
2004-12-09,290.0,8.66,95.3,42.86,526.5
2004-02-10,384.5,5.44,74.15,64.96,834.75
2004-03-10,359.0,6.35,73.15,64.63,923.5
2004-05-10,378.5,6.38,69.9,64.54,1040.5
2004-06-10,350.5,6.75,83.25,58.17,847.0
2004-08-10,312.0,7.93,67.05,45.05,630.5
2004-09-10,323.0,7.81,70.4,51.25,563.0
2004-11-10,303.5,8.6,81.35,43.65,523.0
2004-12-10,284.0,8.69,94.8,42.31,533.0
2004-02-11,388.5,5.4,74.35,64.94,838.0
2004-03-11,355.0,6.67,74.75,65.93,944.0
2004-05-11,370.0,6.29,70.45,64.15,1053.5
2004-06-11,350.5,6.75,83.25,58.17,847.0
2004-08-11,304.75,7.9,67.1,44.88,637.0
2004-10-11,303.0,9.27,75.85,46.52,539.0
2004-11-11,302.75,8.65,81.45,43.88,520.5
2004-01-12,399.25,5.97,70.8,74.26,816.5
2004-02-12,386.75,5.4,75.15,66.42,822.0
2004-03-12,357.0,6.68,74.65,64.62,954.0
2004-04-12,407.5,6.67,72.05,58.76,967.0
2004-05-12,362.0,6.39,69.65,63.15,991.5
2004-07-12,339.0,8.33,68.65,46.6,937.0
2004-08-12,299.5,7.98,65.55,43.02,687.5
2004-10-12,311.0,9.32,74.5,44.79,513.0
2004-11-12,302.75,8.52,80.5,44.34,523.5
2005-02-01,292.25,8.95,105.8,43.88,507.0
2005-03-01,330.0,9.06,119.05,49.55,605.0
2005-04-01,322.5,8.52,123.95,52.8,614.0
2005-06-01,331.5,8.68,118.05,48.59,685.25
2005-07-01,324.25,9.16,102.1,52.15,673.5
2005-08-01,330.5,9.96,102.15,50.7,673.0
