Date,COFFEE,SUGAR,SOYBEANS,WHEAT,COTTON
2000-07-03,108.4,5.07,502.25,250.0,59.65
2000-07-04,99.6,5.89,538.75,258.5,56.29
2000-07-06,92.05,8.16,522.5,264.25,58.25
2000-07-07,80.8,8.68,473.5,245.5,51.73
2000-07-08,85.4,10.5,434.0,233.5,60.68
2000-07-09,78.0,10.73,480.0,249.5,64.14
2000-07-11,74.6,9.53,475.0,262.25,65.89
2000-07-12,66.35,9.63,503.0,254.75,67.25
2000-08-02,108.55,5.53,500.25,259.25,55.3
2000-08-03,107.4,5.12,505.5,252.0,60.5
2000-08-05,97.15,6.45,547.25,258.0,58.06
2000-08-06,92.55,8.18,521.5,266.5,58.19
2000-08-08,83.7,10.7,442.25,236.5,60.76
2000-08-09,77.4,10.67,495.0,250.5,64.72
2000-08-11,75.3,9.26,474.0,265.25,65.65
2000-08-12,63.65,9.75,511.5,257.5,67.13
2000-09-02,107.7,5.49,503.75,265.5,55.8
2000-09-03,107.2,5.16,507.0,254.25,61.01
2000-09-05,97.45,6.5,545.25,257.75,59.66
2000-09-06,91.85,8.57,520.75,269.75,58.39
2000-09-08,79.5,10.59,440.5,235.5,62.13
2000-09-10,79.95,10.46,483.0,267.25,64.83
2000-09-11,74.0,8.81,467.25,258.25,64.96
2000-10-01,117.55,5.83,466.25,253.5,53.56
2000-10-02,108.75,5.52,513.0,271.75,57.54
2000-10-03,106.1,5.22,500.0,250.0,63.6
2000-10-04,96.65,5.86,532.0,252.75,55.99
2000-10-05,97.25,6.5,560.0,265.0,61.24
2000-10-07,84.0,8.66,473.25,247.25,55.63
2000-10-08,79.6,10.41,445.75,235.75,60.86
2000-10-10,80.75,10.77,485.75,275.25,64.57
2000-10-11,74.15,9.15,463.25,256.75,65.4
2000-11-01,117.8,5.67,467.0,253.75,54.18
2000-11-02,108.8,5.49,505.25,269.5,56.97
2000-11-04,96.55,5.97,528.0,252.75,54.95
2000-11-05,95.9,6.63,559.0,272.5,60.8
2000-11-07,90.1,8.83,471.25,247.0,55.67
2000-11-08,80.65,10.65,452.0,236.75,61.73
2000-11-09,77.75,10.4,495.75,249.25,64.6
2000-11-10,83.15,10.97,478.0,276.75,63.85
2000-11-12,64.1,9.7,511.0,255.0,67.42
2000-12-01,118.95,5.45,472.5,258.75,53.72
2000-12-04,94.2,6.03,537.5,255.5,55.75
2000-12-05,91.8,6.78,551.5,271.0,62.23
2000-12-06,91.15,8.49,510.5,265.75,56.65
2000-12-07,89.7,9.17,474.5,243.0,56.01
2000-12-09,78.65,10.47,495.5,245.0,63.18
2000-12-10,81.3,10.86,474.25,273.5,64.36
2000-12-12,64.2,9.65,507.25,254.5,65.59
2001-01-02,64.7,10.25,462.5,270.25,59.43
2001-01-03,62.75,9.14,457.0,266.75,53.05
2001-01-05,64.5,8.95,436.0,271.0,44.48
2001-01-06,57.9,8.6,455.0,270.75,41.42
2001-01-08,51.25,7.91,509.0,274.5,41.28
2001-01-10,47.4,6.58,452.0,266.25,33.3
2001-01-11,45.2,6.66,435.0,288.75,30.03
2001-02-01,63.4,10.17,495.0,276.25,60.35
2001-02-02,63.2,10.14,468.5,272.0,59.76
2001-02-03,63.3,9.11,455.75,270.5,53.5
2001-02-04,59.5,8.15,432.75,259.0,44.73
2001-02-05,63.2,8.97,441.5,268.25,45.45
2001-02-07,54.9,8.76,491.75,251.25,41.18
2001-02-08,50.45,7.65,493.25,269.5,41.16
2001-02-10,46.75,6.57,453.0,263.5,33.95
2001-02-11,45.4,6.63,433.5,285.5,29.96
2001-03-01,63.45,10.23,497.25,283.25,60.96
2001-03-04,58.7,8.2,430.25,261.75,45.39
2001-03-05,64.6,9.2,442.75,263.0,44.5
2001-03-07,55.0,8.52,488.5,253.5,40.43
2001-03-08,50.4,7.8,492.0,264.75,41.9
2001-03-09,50.5,7.91,479.5,278.0,37.94
2001-03-10,46.0,6.71,452.0,269.5,33.45
2001-03-12,42.2,7.64,447.25,279.75,35.41
2001-04-01,63.35,10.35,492.25,284.25,59.61
2001-04-04,59.25,8.15,437.25,265.25,46.19
2001-04-05,63.65,8.98,444.5,264.0,44.65
2001-04-06,59.45,8.66,453.0,263.5,41.06
2001-04-07,55.0,8.52,488.5,253.5,40.43
2001-04-09,47.5,7.81,478.75,276.5,38.88
2001-04-10,46.5,6.65,451.0,272.75,33.0
2001-04-12,41.5,7.7,444.75,275.25,34.71
2001-05-01,64.35,10.27,489.5,283.0,59.42
2001-05-02,62.7,10.0,462.25,268.5,60.15
2001-05-03,63.7,9.3,456.5,273.75,53.85
2001-05-04,59.1,8.08,437.5,265.0,45.97
2001-05-06,59.7,8.65,453.25,260.5,40.98
2001-05-07,54.0,8.52,496.0,257.0,41.1
2001-05-09,48.5,7.93,473.0,274.75,38.25
2001-05-10,46.65,6.57,452.25,273.25,31.95
2001-05-11,46.85,6.85,435.5,284.25,30.58
2001-05-12,42.1,7.79,442.5,277.25,34.71
2001-06-02,62.2,10.01,464.25,267.0,60.23
2001-06-03,65.0,9.32,461.75,272.25,54.05
2001-06-04,58.1,8.16,436.0,262.0,46.88
2001-06-06,58.4,8.6,461.5,261.5,42.03
2001-06-07,53.85,8.38,495.0,258.75,41.13
2001-06-08,49.85,7.82,501.5,265.0,41.97
2001-06-09,48.65,7.82,464.0,270.5,37.1
2001-06-11,48.0,7.05,432.0,285.5,30.81
2001-06-12,42.0,7.84,441.5,273.0,34.71
2001-07-02,61.75,9.89,463.5,267.0,59.2
2001-07-03,65.8,9.1,457.5,270.0,54.05
2001-07-05,66.0,8.92,441.5,259.5,44.48
2001-07-06,57.7,8.5,461.5,264.25,41.94
2001-07-08,49.7,7.72,508.5,267.0,41.13
2001-07-09,48.5,7.86,463.75,269.25,36.5
2001-07-11,47.3,7.19,439.0,287.0,32.23
2001-07-12,43.0,7.75,445.25,275.5,37.34
2001-08-01,63.85,10.47,491.0,283.0,60.23
2001-08-02,62.0,9.88,452.25,266.75,59.05
2001-08-03,64.15,9.01,455.5,270.5,54.01
2001-08-05,66.4,9.1,447.5,257.75,43.76
2001-08-06,58.15,8.63,466.5,264.0,42.71
2001-08-08,49.65,7.71,518.0,268.5,40.82
2001-08-10,45.9,6.27,454.0,271.75,31.1
2001-08-11,45.75,7.26,434.75,283.75,32.15
2001-09-01,63.8,10.46,495.25,285.0,59.87
2001-09-02,62.65,9.8,456.25,266.25,58.37
2001-09-03,61.7,9.0,456.75,270.25,52.66
2001-09-04,57.6,8.21,441.25,260.0,46.59
2001-09-05,65.55,9.0,447.5,257.0,45.43
2001-09-07,52.95,8.68,503.5,258.25,41.48
2001-09-08,50.1,7.63,514.0,271.0,40.45
2001-09-10,45.35,6.15,451.5,274.25,30.65
2001-09-11,44.7,7.11,441.75,286.0,32.78
2001-10-01,63.35,10.29,490.5,289.0,60.34
2001-10-04,57.35,8.36,432.75,257.25,46.57
2001-10-05,65.8,9.06,447.5,260.0,44.83
2001-10-07,52.5,8.6,509.0,262.0,40.67
2001-10-08,48.4,7.65,519.0,270.25,38.45
2001-10-09,48.35,7.87,464.75,271.0,36.5
2001-10-10,45.35,6.27,448.25,279.0,32.32
2001-10-12,43.5,7.51,443.0,273.75,36.34
2001-11-01,63.6,10.26,479.75,289.75,60.87
2001-11-04,57.35,8.18,437.25,260.75,45.78
2001-11-05,64.95,9.1,450.0,262.5,45.17
2001-11-06,57.0,8.6,471.5,261.75,40.72
2001-11-07,52.5,8.59,513.5,267.0,41.5
2001-11-09,48.35,7.87,464.75,271.0,36.5
2001-11-10,44.65,6.46,447.75,279.25,32.17
2001-11-12,43.9,7.35,437.5,277.75,37.11
2001-12-01,65.0,10.0,479.25,289.0,61.12
2001-12-02,62.3,9.86,453.25,261.75,58.9
2001-12-03,62.05,8.83,459.0,277.0,51.77
2001-12-04,57.6,8.31,435.25,266.75,45.34
2001-12-06,57.65,8.63,473.75,263.25,41.01
2001-12-07,52.1,8.62,525.0,281.0,41.4
2001-12-09,48.35,7.87,464.75,271.0,36.5
2001-12-10,44.7,6.44,435.5,276.25,32.01
2001-12-11,44.7,7.14,445.0,283.0,32.78
2001-12-12,44.35,7.35,432.5,277.0,36.11
2002-01-02,45.45,6.35,426.75,287.0,37.45
2002-01-03,45.85,5.97,446.5,270.0,34.55
2002-01-04,58.5,5.77,475.75,285.25,38.41
2002-01-05,49.5,5.2,460.25,266.25,33.5
2002-01-07,47.8,5.16,549.5,315.5,45.3
2002-01-08,47.5,5.81,568.5,334.75,47.26
2002-01-10,56.55,6.49,542.0,396.5,43.39
2002-01-11,64.0,7.34,568.5,413.5,46.91
2002-02-01,47.35,7.71,418.0,292.0,36.46
2002-02-04,59.35,5.83,473.25,283.25,38.63
2002-02-05,48.85,5.46,459.25,258.5,32.1
2002-02-07,49.9,5.49,544.25,316.0,45.25
2002-02-08,48.1,5.78,561.25,337.0,46.48
2002-02-09,51.5,5.98,559.0,362.25,44.66
2002-02-10,56.95,6.69,537.5,383.5,44.2
2002-02-12,68.8,7.68,578.5,372.0,47.3
2002-03-01,47.5,7.65,423.75,300.0,36.14
2002-03-04,59.45,5.66,461.75,283.5,38.2
2002-03-05,49.0,5.36,459.0,260.25,31.9
2002-03-06,51.2,5.77,505.5,286.75,39.48
2002-03-07,48.15,5.6,556.5,316.0,46.05
2002-03-09,54.25,6.21,559.75,367.0,43.8
2002-03-10,56.45,6.76,538.0,374.75,42.55
2002-03-12,66.85,7.81,564.5,356.5,45.7
2002-04-01,48.55,7.64,424.0,307.0,36.62
2002-04-02,45.5,6.24,434.0,280.75,37.83
2002-04-03,45.75,5.96,443.5,270.75,34.6
2002-04-04,56.8,5.62,459.0,280.5,37.72
2002-04-06,50.85,5.75,509.75,282.0,38.83
2002-04-07,48.15,5.6,556.5,316.0,46.05
2002-04-09,55.95,6.07,563.25,379.0,43.5
2002-04-10,56.0,6.73,539.5,376.25,40.6
2002-04-11,65.25,7.45,575.25,408.25,49.13
2002-04-12,65.8,7.62,566.25,356.75,45.65
2002-05-02,44.85,6.34,432.75,283.0,37.3
2002-05-03,46.8,6.04,449.0,274.25,35.15
2002-05-04,55.0,5.7,465.5,277.25,37.73
2002-05-06,50.15,5.75,513.75,283.25,39.03
2002-05-07,48.15,5.6,569.75,318.5,46.05
2002-05-08,47.15,5.79,559.25,338.0,44.22
2002-05-09,55.0,6.14,565.5,386.5,43.84
2002-05-11,65.9,7.64,578.25,400.75,47.95
2002-05-12,66.9,7.54,562.0,347.0,46.15
2002-06-02,45.1,6.39,428.0,280.25,37.37
2002-06-03,48.25,6.0,447.25,274.5,34.95
2002-06-05,48.8,5.47,460.75,263.0,32.05
2002-06-06,50.25,5.57,513.25,280.5,39.16
2002-06-08,47.35,5.84,564.75,341.75,44.8
2002-06-09,55.5,6.33,565.0,403.5,43.34
2002-06-11,66.15,7.72,580.5,394.5,47.69
2002-06-12,63.4,7.45,563.25,349.25,49.11
2002-07-01,48.25,7.71,429.0,304.75,37.56
2002-07-02,44.8,6.28,431.25,281.0,38.14
2002-07-03,47.4,6.06,451.5,272.5,38.45
2002-07-05,49.0,5.31,461.0,267.0,31.47
2002-07-06,49.15,5.62,507.5,275.0,39.15
2002-07-08,47.35,5.92,560.0,346.25,44.96
2002-07-10,57.75,6.88,539.75,381.75,41.1
2002-07-11,66.55,7.55,574.0,397.0,48.23
2002-08-01,48.55,7.8,435.0,305.0,38.45
2002-08-02,44.55,6.18,429.0,281.75,38.26
2002-08-03,48.45,6.18,458.0,271.0,37.83
2002-08-04,54.05,5.59,458.0,273.0,37.06
2002-08-05,48.4,5.41,467.25,264.0,32.2
2002-08-07,48.5,5.55,573.5,314.5,44.75
2002-08-08,47.9,5.98,557.75,338.5,44.6
2002-08-10,58.25,7.12,535.25,381.75,41.05
2002-08-11,67.85,7.45,563.25,382.5,48.39
2002-09-01,50.85,8.03,440.0,302.75,37.73
2002-09-04,56.1,5.62,461.25,270.25,36.86
2002-09-05,47.3,5.44,473.0,266.75,33.95
2002-09-07,49.3,5.73,587.5,313.0,44.84
2002-09-08,47.55,5.89,568.0,344.5,44.29
2002-09-09,59.3,6.66,573.5,415.0,43.39
2002-09-10,58.8,7.04,523.5,372.25,43.17
2002-09-12,62.2,7.23,562.0,348.0,48.72
2002-10-01,51.3,7.92,433.25,303.5,37.4
2002-10-04,56.05,5.68,460.5,272.5,38.14
2002-10-05,47.5,5.49,468.25,265.0,35.21
2002-10-06,49.5,5.55,500.5,278.25,38.71
2002-10-07,50.0,5.86,584.5,319.5,47.95
2002-10-09,58.25,6.69,581.0,414.0,43.43
2002-10-10,57.4,6.96,524.75,365.75,43.54
2002-10-12,61.9,7.45,564.0,339.5,50.63
2002-11-01,49.55,7.76,445.0,308.25,37.04
2002-11-02,43.1,6.0,431.0,281.0,37.46
2002-11-03,52.85,6.21,458.0,267.25,38.12
2002-11-04,54.95,5.51,458.0,271.25,37.37
2002-11-06,49.35,5.39,500.5,279.5,38.95
2002-11-07,51.9,5.99,576.5,326.0,46.06
2002-11-09,57.5,6.65,591.5,416.0,43.21
2002-11-10,57.35,6.91,528.5,365.5,42.84
2002-11-11,66.1,7.34,574.0,383.5,48.42
2002-11-12,58.25,7.49,568.0,347.5,50.31
2002-12-02,43.0,6.15,436.25,280.75,38.44
2002-12-03,55.4,6.09,456.75,268.0,37.55
2002-12-04,53.2,5.55,461.0,272.5,37.05
2002-12-06,48.9,5.25,493.25,283.5,40.07
2002-12-07,49.85,5.99,578.0,315.25,44.74
2002-12-08,48.45,5.7,590.5,351.75,45.43
2002-12-09,58.75,6.75,578.0,409.0,41.73
2002-12-11,63.75,7.06,569.5,374.5,47.57
2002-12-12,58.05,7.47,576.0,345.5,49.22
2003-01-04,58.3,7.6,573.75,283.0,57.72
2003-01-05,68.15,7.38,625.75,275.5,54.3
2003-01-07,58.8,6.22,626.25,306.25,58.1
2003-01-08,65.05,7.24,537.5,351.0,56.35
2003-01-09,61.45,6.29,595.0,367.5,57.55
2003-01-10,65.15,6.44,687.25,364.25,66.45
2003-01-12,59.6,6.29,761.0,395.75,68.25
2003-02-01,61.65,7.69,584.5,328.75,52.01
2003-02-04,60.15,7.59,586.75,287.5,57.95
2003-02-05,67.0,7.17,626.25,277.5,54.1
2003-02-06,60.0,6.93,612.5,318.75,50.12
2003-02-07,61.5,6.45,628.75,306.5,58.25
2003-02-09,61.9,6.2,579.75,363.25,57.5
2003-02-10,64.5,6.38,697.0,359.0,67.1
2003-02-12,62.0,6.38,773.25,395.75,68.5
2003-03-01,61.25,7.4,582.25,330.5,51.62
2003-03-02,66.15,8.55,568.0,323.5,52.18
2003-03-03,57.5,8.44,576.5,318.25,49.57
2003-03-04,61.4,7.73,585.25,281.5,57.5
2003-03-06,59.6,6.73,610.25,319.5,48.63
2003-03-07,60.5,6.39,626.75,303.25,58.4
2003-03-09,61.75,6.13,586.25,358.5,57.59
2003-03-10,65.1,6.47,678.0,352.25,66.4
2003-03-11,58.65,5.86,790.0,365.0,76.41
2003-03-12,62.5,6.58,778.25,402.0,68.2
2003-04-02,65.05,8.4,570.5,324.0,51.98
2003-04-03,57.0,8.25,572.75,326.5,48.65
2003-04-04,60.8,7.66,590.75,285.0,57.69
2003-04-06,59.3,6.69,615.25,313.5,49.64
2003-04-07,60.5,6.39,626.75,303.25,58.4
2003-04-08,65.0,7.33,539.5,354.0,55.95
2003-04-09,63.15,5.97,605.75,354.0,57.92
2003-04-11,59.75,5.99,757.0,363.5,77.55
2003-04-12,60.95,6.71,769.0,399.5,67.0
2003-05-02,64.25,8.57,563.0,324.0,51.85
2003-05-03,58.3,8.1,568.5,321.5,49.0
2003-05-05,67.4,6.86,623.75,282.25,52.25
2003-05-06,59.05,6.52,618.75,320.5,50.51
2003-05-08,63.25,7.35,542.0,349.75,55.93
2003-05-09,64.55,6.05,608.0,345.0,58.25
2003-05-11,59.45,5.97,765.25,378.0,77.82
2003-05-12,61.9,6.65,760.5,391.0,67.74
2003-06-01,63.25,7.61,582.0,331.5,51.08
2003-06-02,65.65,8.87,562.5,327.0,51.7
2003-06-03,58.35,8.16,562.5,321.0,49.5
2003-06-05,68.7,7.1,625.0,287.0,50.2
2003-06-06,59.4,6.71,631.5,320.5,50.76
2003-06-08,63.9,7.28,540.0,358.5,57.4
2003-06-10,63.2,6.23,684.0,341.0,67.4
2003-06-11,59.7,6.02,757.75,375.5,75.52
2003-07-01,63.5,7.55,585.25,327.75,51.17
2003-07-02,65.8,8.93,555.75,331.0,50.15
2003-07-03,58.65,8.22,564.5,313.0,50.64
2003-07-04,62.25,7.57,598.75,290.25,57.32
2003-07-05,67.85,6.85,623.0,296.0,49.01
2003-07-07,60.15,6.51,620.5,298.25,59.3
2003-07-08,64.45,6.79,543.0,357.25,56.4
2003-07-10,63.3,6.09,687.75,332.5,66.85
2003-07-11,60.35,6.07,743.0,378.0,77.27
2003-08-01,62.85,7.74,589.5,337.0,51.74
2003-08-04,61.2,7.37,601.0,283.5,56.97
2003-08-05,68.0,6.68,621.25,293.5,52.34
2003-08-07,60.75,6.53,613.75,300.0,58.42
2003-08-08,63.7,6.62,548.5,357.5,56.6
2003-08-09,68.5,6.01,605.25,348.5,57.65
2003-08-10,62.65,6.07,678.5,327.75,68.65
2003-08-12,63.85,6.66,770.75,396.5,70.04
2003-09-01,62.7,7.59,586.5,329.0,51.06
2003-09-04,60.8,7.29,604.0,287.0,56.87
2003-09-05,67.7,6.87,636.25,317.0,53.34
2003-09-06,58.9,6.62,625.5,327.25,52.21
2003-09-07,61.6,6.58,619.0,310.0,58.85
2003-09-09,69.2,5.96,615.5,347.0,58.18
2003-09-10,62.2,6.01,692.5,327.25,68.75
2003-09-12,63.5,6.72,787.0,395.0,70.24
2003-10-01,65.05,7.67,564.75,319.25,51.4
2003-10-02,66.8,9.01,564.75,334.75,50.68
2003-10-03,59.15,8.01,566.5,311.75,58.03
2003-10-04,60.45,7.2,601.0,285.5,57.92
2003-10-06,60.3,6.67,633.5,333.75,53.19
2003-10-07,60.0,6.44,614.5,309.75,59.98
2003-10-09,69.1,6.1,616.5,345.0,60.7
2003-10-10,61.2,5.96,713.5,326.75,71.54
2003-10-11,59.1,6.2,757.5,383.0,76.7
2003-10-12,63.0,6.7,785.0,386.5,69.81
2003-11-02,66.1,8.9,572.0,330.0,53.27
2003-11-03,57.35,8.12,572.0,310.0,58.06
2003-11-04,60.45,7.23,600.25,284.25,58.0
2003-11-06,61.25,6.54,629.5,330.5,55.18
2003-11-07,60.2,6.51,620.75,314.5,60.08
2003-11-08,61.1,6.81,556.5,358.5,55.9
2003-11-09,70.35,6.0,637.5,340.0,63.7
2003-11-11,59.3,6.21,777.0,389.0,75.95
2003-11-12,62.0,6.75,766.75,378.0,69.89
2003-12-02,64.8,8.8,563.25,325.5,52.34
2003-12-03,56.85,7.81,566.75,306.5,58.8
2003-12-05,67.75,7.04,642.25,326.0,54.15
2003-12-06,61.35,6.43,624.5,337.0,55.67
2003-12-08,60.45,6.73,571.25,361.75,54.79
2003-12-09,68.45,6.05,648.0,338.5,64.47
2003-12-11,59.0,6.22,769.0,403.5,73.06
2003-12-12,63.0,6.77,776.25,380.5,70.31
2004-01-03,74.4,6.24,962.25,375.0,71.75
2004-01-04,74.1,6.25,1029.5,410.5,61.53
2004-01-06,82.9,7.22,864.0,388.25,58.23
2004-01-07,72.75,7.77,933.5,330.5,46.65
2004-01-09,70.45,8.17,636.5,317.5,53.4
2004-01-10,80.15,8.9,534.5,303.75,48.0
2004-01-11,74.2,8.46,518.0,306.25,43.98
2004-01-12,95.7,8.9,528.0,286.0,47.88
2004-02-01,64.95,5.67,792.5,405.75,75.07
2004-02-02,74.95,5.72,793.0,385.0,68.64
2004-02-03,73.7,6.16,931.0,374.0,69.9
2004-02-04,73.4,6.36,1045.5,416.25,62.62
2004-02-06,83.9,7.04,849.5,375.0,57.38
2004-02-07,70.05,7.96,939.5,335.0,47.25
2004-02-08,66.45,8.39,598.0,317.0,44.3
2004-02-09,70.55,8.2,627.75,311.25,54.0
2004-02-11,75.7,8.5,528.0,302.25,45.15
2004-02-12,94.9,8.82,520.75,283.5,47.4
2004-03-02,74.65,5.75,802.5,380.5,68.9
2004-03-03,71.8,6.06,942.0,369.5,68.5
2004-03-05,67.75,6.89,1041.5,387.25,61.5
2004-03-06,83.1,7.03,806.0,367.25,57.04
2004-03-08,66.8,8.38,599.5,317.0,45.46
2004-03-09,68.3,8.13,614.75,308.0,51.0
2004-03-11,77.15,8.35,524.25,300.25,44.58
2004-03-12,94.9,8.8,525.75,291.0,45.25
2004-04-02,72.6,5.68,805.75,376.0,69.25
2004-04-03,72.6,6.13,932.5,370.75,67.6
2004-04-05,70.1,6.87,1038.25,403.5,60.6
2004-04-06,83.0,7.19,838.5,370.0,57.8
2004-04-08,66.3,8.15,590.0,318.5,44.95
2004-04-10,76.2,8.93,525.25,302.5,49.25
2004-04-11,77.9,8.43,509.5,303.0,43.37
2004-05-01,68.6,5.7,796.75,398.5,75.8
2004-05-02,72.6,5.58,832.25,381.0,68.5
2004-05-03,73.05,6.19,933.75,366.5,68.0
2004-05-04,71.95,6.31,1024.5,414.0,62.18
2004-05-05,70.2,6.63,1034.5,399.0,61.93
2004-05-07,70.05,7.96,939.5,335.0,47.25
2004-05-08,65.9,8.13,609.5,321.5,45.73
2004-05-10,78.15,9.05,524.0,306.25,48.87
2004-05-11,78.3,8.48,505.0,306.5,43.36
2004-06-01,70.05,5.85,796.25,394.5,75.67
2004-06-02,71.8,5.45,840.0,378.5,69.07
2004-06-04,72.8,6.43,1009.0,416.5,61.72
2004-06-05,69.15,6.78,1018.0,394.5,63.75
2004-06-07,68.7,8.13,979.5,338.5,46.5
2004-06-08,67.05,8.17,606.75,315.75,44.9
2004-06-09,68.3,8.13,614.75,308.0,51.0
2004-06-10,77.65,8.95,526.25,302.0,50.35
2004-06-12,94.5,8.86,529.75,293.0,45.8
2004-07-01,68.85,5.94,787.5,395.5,74.04
2004-07-04,73.25,6.66,1016.0,415.0,61.68
2004-07-05,68.1,6.59,1050.5,393.5,64.75
2004-07-06,81.05,7.19,849.0,363.0,56.53
2004-07-07,69.4,8.22,961.5,341.0,46.75
2004-07-09,67.15,7.89,588.0,305.75,52.2
2004-07-10,78.15,8.9,525.75,302.75,46.87
2004-07-12,94.6,8.7,522.0,287.0,45.97
2004-08-01,68.35,5.76,793.5,394.0,75.13
2004-08-03,73.6,6.22,911.5,360.25,65.75
2004-08-04,72.55,6.78,988.0,414.5,61.71
2004-08-06,81.6,6.95,852.0,363.0,55.69
2004-08-07,67.8,8.16,972.5,334.0,44.87
2004-08-09,67.55,7.92,581.5,309.25,53.0
2004-08-10,77.2,9.02,528.5,303.25,47.35
2004-08-11,79.85,8.6,502.0,308.75,43.83
2004-08-12,95.25,8.74,529.25,287.25,44.0
2004-09-01,68.8,5.93,790.0,385.5,74.17
2004-09-02,71.5,5.36,847.5,382.25,67.96
2004-09-03,72.1,6.31,942.0,363.0,62.85
2004-09-06,83.0,6.93,852.0,360.0,56.59
2004-09-07,68.85,8.27,954.0,330.0,47.85
2004-09-08,67.35,8.08,614.5,316.0,44.9
2004-09-09,70.2,7.75,581.25,311.5,52.55
2004-09-11,80.0,8.51,510.5,304.5,44.04
2004-09-12,95.3,8.66,526.5,290.0,42.86
2004-10-02,74.15,5.44,834.75,384.5,64.96
2004-10-03,73.15,6.35,923.5,359.0,64.63
2004-10-05,69.9,6.38,1040.5,378.5,64.54
2004-10-06,83.25,6.75,847.0,350.5,58.17
2004-10-08,67.05,7.93,630.5,312.0,45.05
2004-10-09,70.4,7.81,563.0,323.0,51.25
2004-10-11,81.35,8.6,523.0,303.5,43.65
2004-10-12,94.8,8.69,533.0,284.0,42.31
2004-11-02,74.35,5.4,838.0,388.5,64.94
2004-11-03,74.75,6.67,944.0,355.0,65.93
2004-11-05,70.45,6.29,1053.5,370.0,64.15
2004-11-06,83.25,6.75,847.0,350.5,58.17
2004-11-08,67.1,7.9,637.0,304.75,44.88
2004-11-10,75.85,9.27,539.0,303.0,46.52
2004-11-11,81.45,8.65,520.5,302.75,43.88
2004-12-01,70.8,5.97,816.5,399.25,74.26
2004-12-02,75.15,5.4,822.0,386.75,66.42
2004-12-03,74.65,6.68,954.0,357.0,64.62
2004-12-04,72.05,6.67,967.0,407.5,58.76
2004-12-05,69.65,6.39,991.5,362.0,63.15
2004-12-07,68.65,8.33,937.0,339.0,46.6
2004-12-08,65.55,7.98,687.5,299.5,43.02
2004-12-10,74.5,9.32,513.0,311.0,44.79
2004-12-11,80.5,8.52,523.5,302.75,44.34
2005-01-02,105.8,8.95,507.0,292.25,43.88
2005-01-03,119.05,9.06,605.0,330.0,49.55
2005-01-04,123.95,8.52,614.0,322.5,52.8
2005-01-06,118.05,8.68,685.25,331.5,48.59
2005-01-07,102.1,9.16,673.5,324.25,52.15
2005-01-08,102.15,9.96,673.0,330.5,50.7
